Date,Labor,Coalition
2025-08-01,,
2025-04-16,50.0,50.0
2025-04-11,53.0,47.0
2025-04-14,52.63157894736842,47.368421052631575
2025-04-13,53.5,46.5
2025-04-13,54.50000000000001,45.5
2025-04-10,52.0,48.0
2025-04-10,52.5,47.5
2025-04-04,52.0,48.0
2025-04-04,53.5,46.5
2025-04-03,51.0,49.0
2025-04-01,52.0,48.0
2025-03-30,49.0,51.0
2025-03-30,50.0,50.0
2025-03-30,50.526315789473685,49.473684210526315
2025-03-30,53.0,47.0
2025-03-29,51.0,49.0
2025-03-26,50.2,49.8
2025-03-24,51.0,49.0
2025-03-23,53.0,47.0
2025-03-19,50.0,50.0
2025-03-16,50.0,50.0
2025-03-16,54.50000000000001,45.5
2025-03-15,49.0,51.0
2025-03-13,51.0,49.0
2025-03-11,51.0,49.0
2025-03-09,51.5,48.5
2025-03-07,49.0,51.0
2025-03-06,51.0,49.0
2025-03-02,49.473684210526315,50.526315789473685
2025-03-02,49.5,50.5
2025-02-27,49.0,51.0
2025-02-25,49.5,50.5
2025-02-23,48.0,52.0
2025-02-23,45.0,55.00000000000001
2025-02-23,51.0,49.0
2025-02-16,50.0,50.0
2025-02-16,48.5,51.5
2025-02-14,49.0,51.0
2025-02-12,48.9,51.1
2025-02-11,48.0,52.0
2025-02-09,48.5,51.5
2025-02-07,48.5,51.5
2025-02-03,48.95833333333333,51.041666666666664
2025-02-02,50.0,50.0
2025-02-01,50.0,50.0
2025-01-26,48.0,52.0
2025-01-24,49.0,51.0
2025-01-21,48.0,52.0
2025-01-19,49.0,51.0
2025-01-19,49.473684210526315,50.526315789473685
2025-01-19,48.0,52.0
2025-01-15,49.0,51.0
2025-01-12,48.5,51.5
2025-01-05,47.0,53.0
2024-12-15,49.0,51.0
2024-12-15,49.473684210526315,50.526315789473685
2024-12-15,48.0,52.0
2024-12-08,49.0,51.0
2024-12-08,48.0,52.0
2024-12-06,50.0,50.0
2024-12-01,49.473684210526315,50.526315789473685
2024-12-01,49.0,51.0
2024-11-24,51.0,49.0
2024-11-21,50.0,50.0
2024-11-21,50.0,50.0
2024-11-20,49.0,51.0
2024-11-18,50.526315789473685,49.473684210526315
2024-11-17,49.0,51.0
2024-11-17,49.0,51.0
2024-11-13,50.0,50.0
2024-11-10,49.0,51.0
2024-11-10,49.5,50.5
2024-11-08,49.0,51.0
2024-11-03,48.95833333333333,51.041666666666664
2024-11-03,49.0,51.0
2024-10-27,50.5,49.5
2024-10-25,50.0,50.0
2024-10-20,49.0,51.0
2024-10-20,48.93617021276596,51.06382978723404
2024-10-20,52.0,48.0
2024-10-13,50.0,50.0
2024-10-11,49.0,51.0
2024-10-06,51.041666666666664,48.95833333333333
2024-10-06,50.0,50.0
2024-10-05,50.0,50.0
2024-09-29,49.0,51.0
2024-09-22,49.473684210526315,50.526315789473685
2024-09-22,50.5,49.5
2024-09-20,50.0,50.0
2024-09-19,50.0,50.0
2024-09-15,48.0,52.0
2024-09-15,50.5,49.5
2024-09-08,51.0,49.0
2024-09-07,50.0,50.0
2024-09-07,50.0,50.0
2024-09-01,50.5,49.5
2024-08-30,50.0,50.0
2024-08-29,51.0,49.0
2024-08-28,50.0,50.0
2024-08-27,50.5,49.5
2024-08-27,50.0,50.0
2024-08-25,49.5,50.5
2024-08-24,51.06382978723404,48.93617021276596
2024-08-18,49.0,51.0
2024-08-18,50.5,49.5
2024-08-11,50.0,50.0
2024-08-11,50.0,50.0
2024-08-11,50.0,50.0
2024-08-09,50.0,50.0
2024-08-04,51.5,48.5
2024-07-28,50.53763440860215,49.46236559139785
2024-07-28,50.5,49.5
2024-07-21,49.0,51.0
2024-07-21,49.0,51.0
2024-07-19,51.0,49.0
2024-07-19,48.5,51.5
2024-07-17,51.0,49.0
2024-07-14,48.93617021276596,51.06382978723404
2024-07-14,49.5,50.5
2024-07-13,50.0,50.0
2024-07-07,48.0,52.0
2024-06-30,49.46236559139785,50.53763440860215
2024-06-30,51.0,49.0
2024-06-28,51.0,49.0
2024-06-23,51.0,49.0
2024-06-16,50.0,50.0
2024-06-16,51.06382978723404,48.93617021276596
2024-06-16,50.0,50.0
2024-06-15,51.0,49.0
2024-06-09,53.5,46.5
2024-06-07,50.0,50.0
2024-06-04,50.0,50.0
2024-06-02,50.0,50.0
2024-06-02,52.0,48.0
2024-05-26,48.5,51.5
2024-05-19,50.0,50.0
2024-05-19,49.46236559139785,50.53763440860215
2024-05-19,50.0,50.0
2024-05-19,50.5,49.5
2024-05-18,52.0,48.0
2024-05-14,50.0,50.0
2024-05-12,52.0,48.0
2024-05-05,49.46236559139785,50.53763440860215
2024-05-05,52.0,48.0
2024-04-28,52.0,48.0
2024-04-23,52.0,48.0
2024-04-21,48.95833333333333,51.041666666666664
2024-04-21,50.0,50.0
2024-04-21,52.0,48.0
2024-04-21,52.0,48.0
2024-04-18,51.0,49.0
2024-04-14,50.0,50.0
2024-04-14,49.0,51.0
2024-04-07,51.06382978723404,48.93617021276596
2024-04-07,49.5,50.5
2024-03-31,51.0,49.0
2024-03-27,51.0,49.0
2024-03-24,53.0,47.0
2024-03-24,46.808510638297875,53.191489361702125
2024-03-24,50.0,50.0
2024-03-22,51.0,49.0
2024-03-17,51.5,48.5
2024-03-10,51.0,49.0
2024-03-10,51.5,48.5
2024-03-09,50.526315789473685,49.473684210526315
2024-03-05,52.0,48.0
2024-03-03,53.5,46.5
2024-02-25,49.473684210526315,50.526315789473685
2024-02-25,50.0,50.0
2024-02-24,52.0,48.0
2024-02-23,52.0,48.0
2024-02-18,51.0,49.0
2024-02-18,52.5,47.5
2024-02-11,52.083333333333336,47.91666666666667
2024-02-11,52.0,48.0
2024-02-07,52.0,48.0
2024-02-07,51.2,48.8
2024-02-04,53.0,47.0
2024-02-03,52.0,48.0
2024-01-28,51.06382978723404,48.93617021276596
2024-01-28,50.5,49.5
2024-01-21,52.5,47.5
2024-01-17,52.0,48.0
2024-01-14,51.5,48.5
2024-01-11,50.0,50.0
2024-01-07,49.0,51.0
2023-12-17,50.0,50.0
2023-12-17,50.0,50.0
2023-12-15,52.0,48.0
2023-12-11,51.578947368421055,48.421052631578945
2023-12-11,52.800000000000004,47.2
2023-12-05,51.0,49.0
2023-12-03,55.00000000000001,45.0
2023-12-03,51.0,49.0
2023-11-26,50.526315789473685,49.473684210526315
2023-11-26,52.5,47.5
2023-11-24,50.0,50.0
2023-11-19,49.5,50.5
2023-11-14,51.0,49.0
2023-11-12,51.041666666666664,48.95833333333333
2023-11-12,50.0,50.0
2023-11-05,56.99999999999999,43.0
2023-11-03,52.0,48.0
2023-11-02,53.5,46.5
2023-10-29,51.06382978723404,48.93617021276596
2023-10-29,53.0,47.0
2023-10-22,49.5,50.5
2023-10-12,54.0,46.0
2023-10-10,53.0,47.0
2023-10-06,53.0,47.0
2023-10-04,56.99999999999999,43.0
2023-10-01,52.63157894736842,47.368421052631575
2023-09-29,53.0,47.0
2023-09-24,51.0,49.0
2023-09-22,54.0,46.0
2023-09-17,52.12765957446809,47.87234042553192
2023-09-10,52.5,47.5
2023-09-09,55.50000000000001,44.5
2023-09-04,54.1,45.9
2023-09-03,54.25531914893617,45.744680851063826
2023-09-03,53.0,47.0
2023-09-01,53.0,47.0
2023-08-20,54.25531914893617,45.744680851063826
2023-08-14,55.60000000000001,44.4
2023-08-13,56.00000000000001,44.0
2023-08-06,55.319148936170215,44.680851063829785
2023-07-23,52.63157894736842,47.368421052631575
2023-07-15,59.0,41.0
2023-07-15,55.00000000000001,45.0
2023-07-09,53.68421052631579,46.31578947368421
2023-06-25,55.319148936170215,44.680851063829785
2023-06-24,54.0,46.0
2023-06-11,55.319148936170215,44.680851063829785
2023-06-11,60.0,40.0
2023-06-03,55.00000000000001,45.0
2023-05-28,54.736842105263165,45.26315789473684
2023-05-17,52.0,48.0
2023-05-14,55.78947368421052,44.21052631578947
2023-05-13,55.00000000000001,45.0
2023-05-13,61.0,39.0
2023-04-30,56.38297872340425,43.61702127659575
2023-04-22,56.00000000000001,44.0
2023-04-16,54.736842105263165,45.26315789473684
2023-04-16,61.5,38.5
2023-04-02,55.78947368421052,44.21052631578947
2023-04-01,55.00000000000001,45.0
2023-03-20,54.736842105263165,45.26315789473684
2023-03-16,60.0,40.0
2023-03-05,52.68817204301075,47.31182795698925
2023-03-05,54.50000000000001,45.5
2023-03-04,54.0,46.0
2023-02-26,56.49999999999999,43.5
2023-02-19,54.83870967741935,45.16129032258064
2023-02-19,57.99999999999999,42.0
2023-02-19,58.5,41.5
2023-02-06,57.89473684210527,42.10526315789473
2023-02-04,55.00000000000001,45.0
2023-01-29,56.99999999999999,43.0
2023-01-22,55.78947368421052,44.21052631578947
2023-01-22,60.0,40.0
2022-12-18,54.0,46.0
2022-12-11,53.68421052631579,46.31578947368421
2022-12-04,60.0,40.0
2022-12-03,55.00000000000001,45.0
2022-11-27,54.25531914893617,45.744680851063826
2022-10-30,55.00000000000001,45.0
2022-10-30,57.99999999999999,42.0
2022-10-09,58.5,41.5
2022-09-18,56.49999999999999,43.5
2022-09-03,56.99999999999999,43.0
2022-08-21,61.0,39.0
2022-07-30,56.00000000000001,44.0
2022-06-17,52.2,47.8
2022-06-19,53.0,47.0
2022-05-21,52.1,47.9
