Date,Labor,LNP,Green,ONP,KAP,Other
2024-07-15,26.0,43.0,14.0,13.0,1.0,3.0
2024-05-01,28.0,47.0,12.0,,,13.0
2024-05-01,26.0,43.0,13.0,8.0,1.0,9.0
2024-04-17,27.0,44.0,15.0,10.0,1.0,3.0
2024-03-13,30.0,42.0,13.0,8.0,,
2024-02-13,34.2,37.3,12.2,7.7,3.9,4.7
2023-12-26,34.4,36.2,,,,
2023-12-13,34.0,38.2,11.9,7.8,3.3,4.8
2023-12-01,33.0,37.0,12.0,8.0,,10.0
2023-10-10,33.0,41.0,13.0,8.0,2.0,3.0
2023-09-06,26.0,41.0,14.0,9.0,,10.0
2023-08-01,32.0,38.0,11.0,8.0,1.0,10.0
2023-07-02,34.0,40.0,11.0,,,15.0
2023-04-17,35.0,33.0,12.0,7.0,1.0,11.0
2023-04-05,33.0,39.0,13.0,10.0,2.0,
2022-12-08,34.0,38.0,13.0,11.0,,4.0
2022-12-04,37.0,35.0,11.0,6.0,1.0,10.0
2022-06-30,34.0,38.0,14.0,10.0,1.0,3.0
2022-02-23,39.0,38.0,10.0,8.0,1.0,4.0
2020-10-31,39.6,35.9,9.5,7.1,2.5,5.7
