Date,Labor,LNP,Green,Other
2025-06-30,35.0,35.0,12.0,18.0
2025-06-30,33.0,38.0,14.0,15.0
2025-04-02,29.0,41.0,13.0,17.0
2025-03-30,24.0,41.0,14.0,21.0
2025-03-21,25.0,39.0,15.0,21.0
2025-01-01,22.0,42.0,13.0,23.0
2024-11-20,30.0,43.0,14.0,13.0
2024-11-10,28.0,38.0,13.0,21.0
2024-10-03,30.0,40.0,12.0,18.0
2024-09-18,30.0,40.0,12.0,17.0
2024-09-07,27.0,37.0,14.0,22.0
2024-08-29,28.0,40.0,14.0,18.0
2024-08-05,31.0,40.0,12.0,17.0
2024-07-14,27.0,37.0,15.0,21.0
2024-06-07,35.0,38.0,14.0,13.0
2024-05-19,28.0,37.0,13.0,22.0
2024-03-24,33.0,35.0,13.0,19.0
2024-03-20,36.0,38.0,10.0,16.0
2023-12-12,37.0,36.0,13.0,14.0
2023-12-03,37.0,31.0,11.0,20.0
2023-10-01,39.0,32.0,12.0,17.0
2023-09-14,37.0,34.0,13.0,16.0
2023-08-01,39.0,28.0,13.0,20.0
2023-07-20,33.0,35.5,12.5,19.0
2023-06-01,41.0,26.0,15.0,18.0
2023-05-22,42.0,28.5,12.5,17.0
2023-04-22,42.0,30.0,10.0,17.0
2023-02-18,41.0,30.0,13.0,17.0
2022-11-26,37.0,34.4,11.5,17.1
