Date,Labor,Coalition
2023-07-09,51%,44%
2023-06-25,52%,42%
2023-06-24,54%,46%
2023-06-11,52%,42%
2023-06-11,60%,40%
2023-06-03,55%,45%
2023-05-28,52%,43%
2023-05-17,52%,48%
2023-05-16,61%,39%
2023-05-14,55%,45%
2023-04-22,56%,44%
2023-04-16,61.5%,38.5%
2023-04-02,55%,45%
2023-03-16,60%,40%
2023-03-05,49%,44%
2023-03-05,54.5%,45.5%
2023-03-04,54%,46%
2023-02-26,56.5%,43.5%
2023-02-19,51%,42%
2023-02-19,58.5%,41.5%
2023-02-18,57.9%,42.1%
2023-02-06,55%,40%
2023-02-02,55%,45%
2023-01-29,57%,43%
2023-01-22,60%,40%
2022-12-11,54%,46%
2022-12-11,51%,44%
2022-12-04,60%,40%
2022-12-03,55%,45%
2022-11-27,51%,43%
2022-10-30,57.4%,42.6%
2022-10-30,55%,45%
2022-10-09,58.3%,41.7%
2022-09-18,57%,43%
2022-09-03,57%,43%
2022-08-21,61.3%,38.7%
2022-07-30,56%,44%
2022-06-17,52.2%[d],47.8%
2022-06-19,53%,47%
2022-05-21,52.1%,47.9%
