Date,ÖVP,SPÖ,FPÖ,Grüne,NEOS,KPÖ,BIER
2024-05-21,20.0,21.0,29.0,8.0,12.0,3.0,6.0
2024-05-17,23.0,23.0,28.0,7.0,9.0,4.0,6.0
2024-05-16,20.0,21.0,31.0,8.0,8.0,4.0,6.0
2024-05-16,21.0,20.0,31.0,8.0,8.0,3.0,8.0
2024-05-14,19.0,22.0,30.0,8.0,11.0,3.0,6.0
2024-05-08,20.0,23.0,28.0,10.0,10.0,3.0,5.0
2024-04-29,20.0,23.0,28.0,10.0,10.0,3.0,5.0
2024-04-25,20.0,23.0,29.0,9.0,10.0,3.0,5.0
2024-04-25,20.0,21.0,30.0,9.0,8.0,4.0,7.0
2024-04-01,22.0,22.0,27.0,9.0,9.0,4.0,7.0
2024-04-24,19.0,23.0,29.0,10.0,9.0,4.0,5.0
2024-04-17,19.0,23.0,28.0,10.0,10.0,4.0,5.0
2024-04-10,20.0,21.0,31.0,9.0,9.0,5.0,
2024-04-10,20.0,24.0,27.0,9.0,10.0,4.0,5.0
2024-04-03,20.0,22.0,27.0,10.0,9.0,5.0,6.0
2024-03-27,20.0,21.0,27.0,10.0,10.0,4.0,7.0
2024-03-21,21.0,21.0,30.0,8.0,8.0,5.0,7.0
2024-03-01,21.0,23.0,27.0,8.0,8.0,4.0,7.0
2024-03-20,19.0,23.0,27.0,9.0,9.0,5.0,7.0
2024-03-15,23.0,22.0,27.0,8.0,8.0,5.0,6.0
2024-03-14,21.0,22.0,29.0,9.0,10.0,3.0,5.0
2024-03-13,20.0,22.0,28.0,9.0,10.0,4.0,6.0
2024-03-06,21.0,23.0,26.0,8.0,12.0,3.0,6.0
2024-03-05,22.0,22.0,31.0,9.0,8.0,,
2024-02-29,21.0,22.0,30.0,8.0,8.0,3.0,8.0
2024-02-21,20.0,23.0,26.0,10.0,10.0,3.0,7.0
2024-02-14,20.0,22.0,27.0,9.0,11.0,3.0,7.0
2024-02-07,22.0,23.0,29.0,8.0,11.0,2.0,4.0
2024-02-07,21.0,21.0,28.0,8.0,12.0,3.0,6.0
2024-01-31,23.0,22.0,27.0,8.0,11.0,2.0,6.0
2024-01-28,23.0,23.0,28.0,8.0,9.0,2.0,6.0
2024-01-24,22.0,23.0,26.0,9.0,10.0,2.0,6.0
2024-01-24,21.0,22.0,31.0,9.0,9.0,,
2024-01-24,22.0,22.0,28.0,7.0,10.0,,6.0
2024-01-22,20.0,23.0,31.0,9.0,10.0,4.0,
2024-01-17,23.0,24.0,26.0,10.0,11.0,3.0,
2024-01-12,21.0,25.0,29.0,10.0,10.0,2.0,
2024-01-10,20.0,23.0,32.0,9.0,9.0,,
2024-01-10,21.0,24.0,27.0,10.0,12.0,3.0,
2023-12-27,21.0,23.0,29.0,9.0,11.0,3.0,
2023-12-21,21.0,24.0,30.0,8.0,10.0,2.0,3.0
2023-12-20,21.0,25.0,30.0,9.0,9.0,3.0,
2023-12-13,21.0,24.0,30.0,9.0,10.0,3.0,
2023-12-06,20.0,23.0,30.0,10.0,10.0,,
2023-12-06,19.0,24.0,30.0,9.0,12.0,3.0,
2023-11-29,19.0,24.0,31.0,9.0,13.0,3.0,
2023-11-29,22.0,22.0,32.0,9.0,9.0,4.0,
2023-11-23,20.0,24.0,30.0,8.0,11.0,2.0,3.0
2023-11-22,20.0,26.0,29.0,9.0,10.0,4.0,
2023-11-16,23.0,25.0,29.0,8.0,9.0,,
2023-11-15,20.0,26.0,29.0,9.0,10.0,3.0,
2023-11-09,20.0,23.0,32.0,9.0,10.0,3.0,
2023-11-08,20.0,25.0,29.0,9.0,10.0,4.0,
2023-11-02,21.0,23.0,29.0,9.0,10.0,,
2023-10-30,20.0,24.0,30.0,9.0,11.0,3.0,
2023-10-25,20.0,24.0,29.0,9.0,12.0,3.0,
2023-10-19,21.0,24.0,29.0,9.0,10.0,2.0,4.0
2023-10-18,21.0,24.0,29.0,9.0,11.0,4.0,
2023-10-12,22.0,21.0,32.0,10.0,9.0,3.0,
2023-10-11,21.0,25.0,30.0,9.0,10.0,3.0,
2023-10-05,23.0,23.0,29.0,9.0,9.0,,
2023-10-04,19.0,27.0,30.0,8.0,10.0,2.0,
2023-09-27,21.0,25.0,29.0,9.0,11.0,3.0,
2023-09-20,22.0,24.0,29.0,10.0,9.0,3.0,2.0
2023-09-20,22.0,25.0,28.0,10.0,10.0,3.0,
2023-09-14,23.0,23.0,27.0,9.0,10.0,,
2023-09-14,24.0,21.0,32.0,9.0,9.0,2.0,
2023-09-13,23.0,23.0,29.0,9.0,10.0,3.0,
2023-09-07,23.0,22.0,29.0,10.0,10.0,,
2023-09-06,22.0,23.0,30.0,10.0,8.0,4.0,
2023-09-01,24.0,23.0,27.0,12.0,8.0,3.0,
2023-08-30,22.0,23.0,30.0,10.0,9.0,3.0,
2023-08-08,21.0,22.0,28.0,11.0,10.0,3.0,4.0
2023-08-03,24.0,22.0,30.0,10.0,8.0,,
2023-07-20,24.0,25.0,27.0,9.0,9.0,,
2023-07-12,23.0,23.0,30.0,11.0,8.0,3.0,
2023-07-06,23.0,22.0,32.0,9.0,9.0,,
2023-07-05,21.0,25.0,28.0,10.0,11.0,4.0,
2023-06-29,21.0,23.0,30.0,10.0,8.0,5.0,
2023-06-29,20.0,20.0,28.0,8.0,7.0,4.0,12.0
2023-06-28,22.0,23.0,26.0,10.0,13.0,4.0,
2023-06-22,23.0,24.0,28.0,9.0,9.0,4.0,
2023-06-22,24.0,22.0,30.0,9.0,9.0,4.0,
2023-06-22,23.0,19.0,29.0,8.0,6.0,4.0,11.0
2023-06-21,21.0,23.0,27.0,11.0,11.0,4.0,
2023-06-15,24.0,20.0,30.0,11.0,9.0,5.0,
2023-06-14,23.0,23.0,28.0,11.0,9.0,4.0,
2023-06-07,22.0,20.0,27.0,12.0,11.0,4.0,4.0
2023-06-07,24.0,20.0,30.0,10.0,9.0,,
2023-06-07,24.0,21.0,28.0,11.0,11.0,4.0,
2023-05-31,22.0,20.0,27.0,10.0,14.0,6.0,
2023-05-31,26.0,19.0,31.0,7.0,9.0,3.0,
2023-05-27,22.0,25.0,26.0,10.0,9.0,6.0,
2023-05-27,24.0,26.0,27.0,8.0,8.0,4.0,
2023-05-24,20.0,24.0,26.0,10.0,10.0,8.0,
2023-05-24,23.0,26.0,28.0,8.0,9.0,4.0,
2023-05-24,21.0,25.0,28.0,10.0,12.0,,
2023-05-18,24.0,21.0,27.0,9.0,8.0,7.0,
2023-05-16,22.0,24.0,27.0,10.0,10.0,3.0,4.0
2023-05-16,21.0,25.0,26.0,11.0,11.0,,
2023-05-11,23.0,23.0,29.0,10.0,9.0,,
2023-05-10,21.0,25.0,26.0,12.0,10.0,,
2023-05-04,23.0,20.0,28.0,9.0,9.0,7.0,
2023-05-04,23.0,23.0,30.0,9.0,9.0,,
2023-05-03,21.0,25.0,28.0,10.0,11.0,,
2023-05-01,24.0,22.0,27.0,9.0,8.0,6.0,
2023-04-27,24.0,22.0,29.0,10.0,9.0,3.0,2.0
2023-04-26,22.0,22.0,28.0,9.0,11.0,5.0,
2023-04-26,23.0,20.0,29.0,9.0,8.0,7.0,
2023-04-26,22.0,25.0,27.0,10.0,12.0,,
2019-09-29,37.5,21.2,16.2,13.9,8.1,0.7,0.1
2023-04-19,22.0,26.0,27.0,10.0,13.0,,
2023-04-12,20.0,25.0,28.0,11.0,14.0,,
2023-04-06,22.0,25.0,28.0,9.0,10.0,,
2023-04-05,20.0,23.0,29.0,11.0,13.0,,
2023-03-29,21.0,21.0,29.0,10.0,13.0,,
2023-03-29,20.0,25.0,28.0,10.0,12.0,,
2023-03-29,22.0,16.0,31.0,11.0,13.0,,
2023-03-29,21.0,21.0,29.0,10.0,13.0,,
2023-03-23,23.0,23.0,28.0,10.0,10.0,,
2023-03-23,25.0,24.0,28.0,11.0,9.0,,
2023-03-23,21.0,31.0,25.0,11.0,10.0,,
2023-03-23,23.0,21.0,29.0,10.0,11.0,,4.0
2023-03-22,23.0,23.0,28.0,11.0,11.0,,
2023-03-15,23.0,22.0,27.0,10.0,12.0,,4.0
2023-03-09,22.0,25.0,31.0,10.0,9.0,,
2023-03-09,22.0,26.0,27.0,9.0,10.0,,
2023-03-08,22.0,24.0,27.0,10.0,9.0,,5.0
