Date,Mehrheit
2024-05-17,48.0
2024-05-16,47.0
2024-05-14,48.0
2024-05-08,48.0
2024-04-29,48.0
2024-04-25,48.0
2024-04-25,47.5
2024-04-01,48.0
2024-04-24,47.5
2024-04-17,47.5
2024-04-10,47.5
2024-04-10,47.5
2024-04-03,49.5
2024-03-27,47.5
2024-03-21,50.0
2024-03-01,47.0
2024-03-20,49.5
2024-03-15,49.5
2024-03-14,48.0
2024-03-13,47.5
2024-03-06,48.0
2024-03-05,46.0
2024-02-29,48.5
2024-02-21,48.0
2024-02-14,48.0
2024-02-07,46.5
2024-02-07,48.0
2024-01-31,48.5
2024-01-28,48.5
2024-01-24,48.0
2024-01-24,46.0
2024-01-24,47.5
2024-01-22,46.5
2024-01-17,47.0
2024-01-12,47.5
2024-01-10,46.5
2024-01-10,47.0
2023-12-27,46.5
2023-12-21,46.5
2023-12-20,47.0
2023-12-13,47.0
2023-12-06,46.5
2023-12-06,47.0
2023-11-29,48.0
2023-11-29,47.0
2023-11-23,46.5
2023-11-22,47.0
2023-11-16,47.0
2023-11-15,47.0
2023-11-09,47.0
2023-11-08,46.5
2023-11-02,46.0
2023-10-30,47.0
2023-10-25,47.0
2023-10-19,46.5
2023-10-18,47.0
2023-10-12,47.0
2023-10-11,47.5
2023-10-05,46.5
2023-10-04,47.0
2023-09-27,47.5
2023-09-20,47.0
2023-09-20,47.5
2023-09-14,46.0
2023-09-14,47.5
2023-09-13,47.0
2023-09-07,47.0
2023-09-06,46.5
2023-09-01,47.0
2023-08-30,47.0
2023-08-08,46.0
2023-08-03,47.0
2023-07-20,47.0
2023-07-12,47.5
2023-07-06,47.5
2023-07-05,47.5
2023-06-29,48.5
2023-06-29,47.5
2023-06-28,47.0
2023-06-22,46.5
2023-06-22,47.0
2023-06-22,48.0
2023-06-21,46.5
2023-06-15,49.5
2023-06-14,47.0
2023-06-07,46.0
2023-06-07,46.5
2023-06-07,47.5
2023-05-31,49.5
2023-05-31,46.0
2023-05-27,49.0
2023-05-27,46.5
2023-05-24,49.0
2023-05-24,47.0
2023-05-24,48.0
2023-05-18,48.0
2023-05-16,46.5
2023-05-16,47.0
2023-05-11,47.0
2023-05-10,47.0
2023-05-04,48.0
2023-05-04,47.0
2023-05-03,47.5
2023-05-01,48.0
2023-04-27,47.0
2023-04-26,48.5
2023-04-26,48.0
2023-04-26,48.0
2019-09-29,48.45
2023-04-19,49.0
2023-04-12,49.0
2023-04-06,47.0
2023-04-05,48.0
2023-03-29,47.0
2023-03-29,47.5
2023-03-29,46.5
2023-03-29,47.0
2023-03-23,47.0
2023-03-23,48.5
2023-03-23,49.0
2023-03-23,47.0
2023-03-22,48.0
2023-03-15,47.0
2023-03-09,48.5
2023-03-09,47.0
2023-03-08,48.5
2023-02-22,49.5
2023-02-21,47.5
2023-02-16,48.5
2023-02-16,47.0
2023-02-15,49.5
2023-02-09,47.0
2023-02-08,49.5
2023-02-01,49.5
2023-01-25,49.0
2023-01-19,47.5
2023-01-18,47.5
2023-01-18,49.0
2023-01-11,49.5
2023-01-05,47.0
2023-01-04,49.0
2022-12-28,47.0
2022-12-21,46.5
2022-12-15,47.0
2022-12-14,46.5
2022-12-09,46.0
2022-12-07,46.5
2022-12-07,49.5
2022-12-05,49.0
2022-11-30,47.5
2022-11-23,47.0
2022-11-16,48.0
2022-11-10,46.0
2022-11-10,47.0
2022-11-10,47.5
2022-11-10,47.0
2022-11-09,48.0
2022-11-04,46.0
2022-11-02,47.5
2022-10-28,47.0
2022-10-28,48.0
2022-10-25,47.5
2022-10-19,47.0
2022-10-14,47.5
2022-10-13,48.0
2022-10-12,47.5
2022-10-12,47.0
2022-10-06,46.0
2022-10-05,47.5
2022-09-28,46.0
2022-09-27,47.0
2022-09-20,47.0
2022-09-15,46.5
2022-09-13,47.5
2022-09-08,45.0
2022-09-06,47.0
2022-08-30,46.5
2022-08-23,47.0
2022-08-18,46.5
2022-08-17,47.0
2022-08-11,47.5
2022-08-09,47.0
2022-08-04,45.0
2022-08-02,47.5
2022-07-27,47.0
2022-07-20,47.0
2022-07-16,45.5
2022-07-14,46.5
2022-07-13,47.0
2022-07-06,47.0
2022-07-03,46.5
2022-06-30,46.5
2022-06-28,46.5
2022-06-23,46.0
2022-06-23,46.5
2022-06-21,46.5
2022-06-14,46.0
2022-06-14,46.5
2022-06-11,46.0
2022-06-09,45.5
2022-06-08,46.5
2022-06-01,46.5
2022-05-25,46.5
2022-05-24,47.0
2022-05-19,46.5
2022-05-12,46.0
2022-05-11,45.5
2022-05-05,46.0
2022-05-05,46.0
2022-03-24,44.5
2022-04-28,45.5
2022-04-26,47.0
2022-04-07,45.5
2022-03-24,45.5
2022-03-24,45.0
2022-03-10,45.0
2022-03-01,45.5
2022-02-24,45.0
2022-02-22,47.0
2022-02-10,45.0
2022-01-13,46.0
2021-12-28,47.0
2021-12-16,46.5
2021-12-09,45.5
2021-12-09,47.5
2021-12-09,46.5
2021-11-25,47.0
2021-11-18,46.0
2021-11-11,45.5
2021-10-21,47.0
2021-10-15,47.5
2021-10-15,47.0
2021-10-15,47.0
2021-10-12,48.5
