Date,Ecolo,PS,MR,PVDA-PTB,DéFI,LE,N-VA,Open vld,VB,cd&v,Groen,Vooruit
2023-10-09,13.0,18.8,19.7,16.3,6.9,5.1,5.3,3.3,4.2,0.8,4.2,1.3
2023-09-25,17.9,18.1,21.9,15.3,8.0,6.5,3.6,1.2,2.3,0.6,0.8,1.8
2023-06-06,18.1,18.6,19.9,17.6,8.3,4.3,2.9,1.4,3.1,0.9,1.3,0.6
2023-03-27,15.7,16.8,19.8,19.4,10.2,5.1,3.0,0.8,3.0,0.5,1.8,2.0
2023-01-29,16.0,18.0,16.8,16.7,9.6,2.9,4.5,1.2,2.6,1.0,6.1,1.6
2022-11-29,13.0,21.6,20.3,16.1,10.4,6.1,2.8,0.8,2.5,1.8,1.0,0.3
2022-09-13,15.8,22.7,21.2,12.7,9.6,3.8,,,,,,
2022-06-14,18.0,19.1,22.0,13.6,10.8,3.8,2.8,2.0,2.2,0.6,1.4,0.9
2022-03-22,20.3,15.1,19.9,16.4,10.8,4.9,3.5,1.6,2.3,0.2,3.0,1.0
2021-12-08,19.3,15.1,17.4,15.1,11.3,5.2,3.0,2.9,3.3,1.3,0.6,0.3
2021-09-14,19.1,18.6,18.5,15.1,10.4,3.7,2.6,2.4,1.5,0.6,2.5,0.8
2021-06-01,18.0,17.6,17.9,15.0,11.1,5.3,4.1,2.5,3.1,0.7,2.8,0.5
2021-03-09,18.2,16.8,16.4,16.0,11.4,4.0,2.9,2.8,3.2,1.5,2.4,1.1
2020-12-08,19.5,16.8,15.0,15.1,11.5,5.0,4.9,1.9,3.7,0.3,2.8,1.4
2020-10-08,21.6,19.1,14.0,12.1,11.3,3.2,4.8,2.4,3.7,1.7,3.2,2.3
2020-06-15,19.1,18.2,17.4,12.6,10.9,4.8,4.9,1.4,3.7,1.5,1.8,0.7
2020-03-09,20.3,20.5,17.6,12.2,10.0,3.8,4.1,0.9,3.3,0.9,1.4,1.4
2019-12-06,19.7,18.9,16.2,12.5,12.0,5.1,4.8,2.2,1.9,0.9,2.8,0.5
2019-09-10,21.4,19.2,16.4,11.0,11.0,4.9,3.6,2.4,2.5,0.2,3.1,1.0
2019-05-26,21.6,20.0,17.5,12.3,10.3,5.8,3.2,2.3,1.6,1.3,,
