Date,N-VA,VB,CD&V,Open Vld,Vooruit,Groen,PVDA
2024-05-20,20.6,26.8,12.2,8.2,14.3,6.6,8.9
2024-04-18,20.9,26.0,11.6,10.4,11.5,6.0,12.2
2024-03-18,20.4,27.4,13.1,8.3,11.4,7.8,9.5
2024-02-08,20.6,25.5,10.5,8.0,14.7,8.7,10.9
2024-01-22,22.7,26.6,12.3,7.6,12.8,7.4,9.3
2023-12-11,22.0,25.1,11.7,7.1,13.8,9.2,9.7
2023-11-28,22.0,26.5,11.6,8.8,14.3,7.1,8.7
2023-10-09,20.4,23.3,13.9,7.9,16.1,8.2,8.8
2023-09-25,20.2,25.8,12.2,8.2,15.4,6.4,9.5
2023-06-06,21.8,22.7,10.7,8.3,16.8,7.6,10.3
2023-03-27,21.6,25.0,11.8,9.2,15.5,7.4,8.0
2023-01-29,21.5,24.8,9.6,12.1,15.2,10.3,5.7
2022-11-29,22.0,25.5,9.6,9.3,16.1,8.7,7.4
2022-09-13,21.5,21.6,9.9,11.1,16.8,8.6,8.7
2022-06-14,24.9,22.6,10.2,9.3,14.8,7.9,8.5
2022-03-22,23.4,22.2,11.3,9.8,14.2,8.4,8.9
2021-12-08,21.6,24.5,10.7,10.3,13.9,8.4,8.9
2021-09-14,21.2,23.6,12.6,11.4,12.3,9.6,7.7
2021-06-01,21.8,26.1,10.0,11.4,12.6,8.3,7.8
2021-04-19,21.5,24.7,10.0,11.5,12.0,10.9,7.9
2021-03-09,20.0,23.6,13.2,12.9,12.3,8.2,8.2
2020-12-08,19.9,26.3,12.4,12.0,13.6,8.1,6.6
2020-10-08,22.2,27.1,10.6,10.9,13.7,7.6,6.0
2020-06-15,20.0,27.7,11.8,10.0,12.5,9.4,7.3
2020-04-28,20.3,24.5,11.9,11.6,11.0,11.1,8.2
2020-03-09,20.7,28.0,11.7,10.3,9.6,8.8,9.3
2019-12-06,22.1,27.3,11.4,9.9,8.9,10.7,8.4
2019-09-10,22.7,24.9,11.7,13.3,8.4,11.0,6.2
2019-05-26,25.5,18.6,14.2,13.5,10.8,9.8,5.6
