Date,PS,MR,Ecolo,PTB,LE,DéFI
2024-04-18,25.4,20.8,12.7,16.0,13.9,4.2
2024-03-18,21.3,20.5,11.9,14.9,16.8,4.8
2024-02-08,24.3,19.9,13.8,18.4,13.2,4.1
2023-12-11,23.9,20.0,14.0,14.0,13.8,3.9
2023-10-09,27.2,20.6,11.6,19.2,11.1,4.5
2023-09-25,21.8,19.7,14.9,19.8,13.8,2.7
2023-06-06,25.7,19.8,12.7,18.9,10.3,3.8
2023-03-27,25.5,18.5,12.8,17.6,11.1,4.9
2023-01-29,25.8,19.7,11.3,20.1,9.3,5.4
2022-11-29,23.7,20.4,13.1,17.9,9.1,5.3
2022-09-13,22.9,22.0,13.6,18.4,9.1,5.6
2022-06-14,25.3,19.2,14.4,19.1,8.8,4.2
2022-03-22,22.4,20.1,15.0,19.7,9.5,3.7
2021-12-08,24.9,22.3,15.5,18.2,8.0,4.2
2021-09-14,21.4,20.3,16.7,18.7,10.0,5.1
2021-06-01,24.0,18.7,15.0,19.1,10.8,5.1
2021-03-09,22.8,20.1,16.4,19.0,8.7,3.9
2020-12-08,23.2,20.6,15.6,17.2,10.3,3.7
2020-10-08,21.1,19.2,17.8,18.9,9.7,3.8
2020-06-15,23.7,20.5,15.1,18.7,8.1,4.7
2020-03-09,25.5,19.6,15.5,18.6,7.5,5.1
2019-12-06,23.8,20.5,17.2,16.5,8.8,4.7
2019-09-10,22.9,22.6,16.2,15.5,8.5,5.0
2019-05-26,26.1,20.5,14.9,13.8,10.7,4.1
