Date,N-VA,PS,VB,MR,Ecolo,cd&v,Open vld,PVDA-PTB,Vooruit,Groen,LE,DéFI
2024-03-18,20.0,16.0,27.0,15.0,9.0,11.0,6.0,19.0,10.0,5.0,10.0,2.0
2024-02-08,19.0,16.0,25.0,15.0,10.0,10.0,6.0,21.0,13.0,7.0,7.0,1.0
2023-12-11,21.0,18.0,25.0,14.0,10.0,10.0,5.0,19.0,11.0,7.0,8.0,2.0
2023-10-09,21.0,19.0,21.0,16.0,9.0,10.0,6.0,20.0,16.0,6.0,5.0,1.0
2023-09-25,19.0,16.0,26.0,16.0,10.0,10.0,6.0,20.0,14.0,4.0,8.0,1.0
2023-06-06,20.0,20.0,22.0,15.0,10.0,10.0,6.0,21.0,16.0,5.0,4.0,1.0
2023-03-27,20.0,20.0,24.0,14.0,10.0,10.0,8.0,18.0,14.0,5.0,5.0,2.0
2023-01-29,21.0,19.0,24.0,14.0,10.0,6.0,10.0,17.0,14.0,9.0,4.0,2.0
2022-11-29,20.0,19.0,25.0,15.0,9.0,8.0,7.0,18.0,15.0,7.0,5.0,2.0
2022-09-13,20.0,18.0,20.0,17.0,10.0,9.0,9.0,18.0,15.0,7.0,4.0,3.0
2022-06-14,25.0,19.0,21.0,15.0,11.0,9.0,7.0,20.0,12.0,5.0,4.0,2.0
2022-03-22,23.0,17.0,21.0,15.0,12.0,10.0,7.0,21.0,12.0,6.0,4.0,2.0
2021-12-08,20.0,17.0,24.0,16.0,11.0,10.0,9.0,19.0,11.0,6.0,5.0,2.0
2021-09-14,20.0,16.0,22.0,15.0,13.0,11.0,10.0,18.0,10.0,9.0,4.0,2.0
2021-06-01,20.0,18.0,25.0,14.0,12.0,9.0,10.0,17.0,11.0,7.0,5.0,2.0
2021-03-09,20.0,16.0,22.0,15.0,13.0,11.0,11.0,19.0,11.0,6.0,4.0,2.0
2020-12-08,20.0,17.0,25.0,15.0,12.0,10.0,10.0,17.0,12.0,5.0,5.0,2.0
2020-10-08,21.0,17.0,25.0,14.0,14.0,10.0,10.0,16.0,12.0,5.0,4.0,2.0
2020-06-15,20.0,19.0,26.0,14.0,12.0,10.0,9.0,17.0,10.0,7.0,4.0,2.0
2020-03-09,19.0,19.0,26.0,14.0,13.0,10.0,9.0,19.0,7.0,8.0,4.0,2.0
2019-12-06,20.0,18.0,27.0,14.0,13.0,10.0,8.0,18.0,6.0,9.0,5.0,2.0
2019-09-10,21.0,17.0,25.0,17.0,13.0,11.0,11.0,14.0,6.0,9.0,4.0,2.0
2019-05-26,25.0,20.0,18.0,14.0,13.0,12.0,12.0,12.0,9.0,8.0,5.0,2.0
