Date,GERB,APS,DPS–NN,PP-DB,V,BSP,ITN,Velichie,Other,DPS
2024-10-23,26.5,7.9,7.4,14.9,14.2,7.2,6.1,2.6,6.7,
2024-10-22,26.7,8.1,7.3,14.6,14.3,7.5,6.0,2.6,6.3,
2024-10-22,24.9,7.8,7.0,14.8,15.2,6.5,6.6,3.6,7.9,
2024-10-21,26.1,7.8,7.6,16.2,14.9,7.1,6.2,3.8,4.9,
2024-10-20,27.2,9.3,8.1,16.0,14.9,7.9,5.2,4.1,2.0,
2024-10-17,25.6,8.7,6.5,14.7,14.5,9.8,6.8,4.2,4.1,
2024-10-13,27.7,9.8,5.6,13.9,15.5,10.0,7.9,,3.7,
2024-10-06,25.7,8.3,6.9,16.6,15.4,7.1,6.3,3.2,5.7,
2024-10-01,27.1,9.9,7.5,16.5,15.6,6.2,3.99,3.8,9.8,
2024-09-24,24.8,8.5,5.8,15.1,15.6,6.9,6.9,3.4,7.9,
2024-09-24,26.0,8.6,6.6,15.7,15.4,6.8,5.9,3.5,5.5,
2024-08-23,26.2,,,17.1,13.7,7.4,3.8,2.4,8.0,18.4
2024-08-09,25.2,,,15.2,14.2,7.3,6.2,3.6,10.4,14.5
2024-07-28,25.8,,,17.2,12.3,7.7,5.8,4.2,8.6,14.4
2024-06-25,24.4,,,16.2,13.8,5.3,5.4,5.0,6.7,18.3
2024-06-09,24.7,,,14.3,13.8,7.1,6.0,4.7,7.7,17.1
