Date,GERB,PP-DB,V,DPS-NN,BSP,APS,ITN,MECh,Velichie,Other
2025-06-11,25.0,13.9,14.4,8.7,7.0,5.9,4.5,5.7,5.2,9.7
2025-06-04,25.1,14.5,13.7,16.1,7.2,4.0,5.2,5.6,3.8,4.8
2025-05-18,26.2,13.8,13.5,11.6,6.8,5.8,6.0,5.9,3.9,6.5
2025-04-30,25.4,17.2,13.0,12.9,6.8,6.2,4.3,5.2,4.6,4.5
2025-04-13,27.9,15.0,14.0,10.9,7.1,7.5,6.7,6.5,4.5,5.2
2025-03-30,26.3,16.9,12.5,12.8,6.8,7.4,5.1,5.0,5.0,2.1
2025-03-30,25.8,15.4,12.3,16.0,6.6,5.3,5.1,4.8,3.9,5.1
2025-03-16,26.7,13.6,12.5,10.9,6.9,6.7,5.9,5.7,3.9,7.2
2025-03-02,25.7,16.0,13.0,13.4,6.8,7.5,4.3,4.9,,8.3
2025-02-20,26.5,11.8,12.6,12.5,8.2,5.9,5.2,4.7,3.8,5.0
2025-02-16,28.2,14.8,14.4,10.8,7.2,7.4,6.8,6.3,4.0,5.9
2025-02-03,27.5,15.5,13.1,11.0,6.6,8.4,4.9,4.1,,8.9
2025-01-30,26.6,13.2,13.0,10.3,6.9,7.1,5.9,5.6,3.8,7.6
2025-01-20,27.3,14.1,13.8,11.4,8.4,7.9,6.5,4.2,,4.9
2025-01-12,26.6,13.6,14.2,14.1,8.4,6.8,5.3,4.9,3.6,2.5
2024-12-20,27.5,15.4,14.1,12.5,7.7,6.8,4.8,3.6,,7.6
2024-10-27,26.4,14.2,13.4,11.5,7.6,7.5,6.8,4.6,4.0,4.1
