Date,GERB,PP-DB,V,DPS,BSP,ITN,BV,Levitsata,Other
2024-05-13,26.6,16.1,15.3,15.0,9.1,5.4,,1.4,4.3
2024-05-09,28.4,19.3,14.0,14.4,9.2,3.6,,,4.1
2024-05-02,25.4,17.5,14.6,14.9,8.5,5.2,1.3,1.9,5.6
2024-05-02,26.5,16.4,15.1,15.4,8.4,4.7,,,9.5
2024-04-19,24.9,15.5,14.2,14.4,9.1,4.8,1.7,1.8,6.6
2024-04-18,25.9,16.4,13.8,14.0,9.6,5.2,,,7.7
2024-04-07,25.5,17.1,10.3,11.8,8.7,3.9,,,22.7
2024-04-05,27.4,17.9,14.9,15.2,10.5,5.2,,,8.9
2024-03-08,26.4,19.6,14.8,14.7,10.6,5.1,,,8.8
2024-03-03,27.0,21.9,14.6,11.0,10.9,5.8,,,8.8
2024-03-03,27.9,21.2,10.8,15.0,8.8,3.9,,,8.2
2024-02-04,27.7,20.0,11.5,14.1,9.9,4.4,,,7.7
2024-01-24,24.8,17.8,14.6,13.8,9.6,4.8,1.8,1.9,3.9
2023-12-13,22.9,15.6,13.5,12.2,11.3,5.9,1.5,3.5,3.6
2023-11-30,25.9,21.1,14.4,12.8,11.4,5.8,,,8.6
2023-11-19,26.3,20.1,12.8,14.4,10.5,4.5,,,7.0
2023-11-18,24.7,17.9,15.4,13.3,9.4,4.4,2.0,1.9,3.6
2023-10-08,27.1,20.1,12.7,14.2,9.1,3.2,,,7.0
2023-09-08,24.9,18.3,16.1,13.4,8.7,4.2,2.1,1.9,3.9
2023-08-18,26.2,21.7,12.8,15.1,8.3,5.4,,,7.2
2023-07-24,23.3,18.0,15.4,12.9,9.0,5.4,2.5,2.1,2.0
2023-07-11,24.8,19.1,15.5,13.7,8.6,4.0,1.8,1.9,4.3
2023-07-09,26.4,21.8,14.9,14.5,9.7,4.3,2.0,,6.4
2023-07-07,26.2,21.4,14.5,13.4,9.0,3.7,1.8,1.8,3.7
2023-07-02,27.5,20.9,13.8,17.0,8.9,3.8,,,3.6
2023-06-26,25.1,20.2,15.4,12.6,8.8,4.1,,2.7,7.5
2023-06-20,24.4,20.1,14.8,13.2,9.5,4.8,1.9,1.8,3.6
2023-06-16,24.9,19.4,15.3,13.5,8.9,4.3,2.2,1.9,3.8
2023-05-05,26.8,24.1,14.7,13.9,9.1,4.1,3.2,1.5,2.6
2023-04-02,26.5,24.6,14.2,13.8,8.9,4.1,3.1,2.2,2.6
