Date,GERB,PP-DB,PP,DB,DPS,V,BSP,BV,ITN,Levitsata,Other
2023-04-02,26.5,24.5,,,13.7,14.2,8.9,3.1,4.1,2.2,
2023-03-29,26.4,26.1,,,13.7,13.3,7.3,3.5,3.0,3.6,3.1
2023-03-29,25.9,25.4,,,13.8,13.6,8.2,3.9,2.3,3.1,3.8
2023-03-27,25.8,27.5,,,15.8,13.2,8.5,2.4,2.7,3.7,0.4
2023-03-26,26.2,25.6,,,13.7,12.8,7.4,3.3,2.9,3.7,4.4
2023-03-26,26.5,26.9,,,13.3,13.0,7.2,3.5,3.0,3.3,3.3
2023-03-24,25.9,24.6,,,12.8,12.6,7.8,3.9,2.9,4.1,5.4
2023-03-22,24.7,23.1,,,13.2,14.5,8.6,4.5,3.4,4.3,3.8
2023-03-19,24.7,25.7,,,13.8,12.5,8.1,2.8,2.9,4.0,4.3
2023-03-14,24.8,24.1,,,13.2,12.2,6.2,4.3,3.0,3.1,4.4
2023-03-12,25.6,26.5,,,13.6,12.9,7.6,3.6,3.1,3.5,3.6
2023-03-03,26.6,27.2,,,13.4,12.3,7.3,3.7,3.4,3.2,2.9
2023-02-27,25.2,26.4,,,13.2,11.3,7.4,3.8,3.2,3.6,4.5
2023-02-27,27.4,25.7,,,11.7,10.6,9.7,3.7,3.1,3.9,2.0
2023-02-27,20.4,20.9,,,13.3,11.8,6.6,2.4,1.7,2.3,20.6
2023-02-24,24.6,22.7,,,11.3,12.5,8.9,4.5,3.1,3.5,2.8
2023-02-12,26.1,27.1,,,13.4,12.3,8.6,4.2,3.9,,4.4
2023-02-11,25.6,24.8,,,12.8,11.9,8.9,4.0,3.3,,3.9
2023-02-04,26.6,,16.4,7.3,12.8,10.0,12.2,4.2,3.2,,2.3
2022-12-20,22.6,,16.2,8.3,12.2,10.0,9.6,2.6,2.2,,16.3
2022-12-13,27.6,,20.9,7.7,12.3,11.8,10.0,5.1,,,4.7
2022-12-12,25.2,,19.0,7.4,11.5,8.9,10.2,5.2,2.7,,4.5
2022-12-08,25.8,,19.2,7.3,11.6,11.3,9.0,4.0,3.1,,3.3
2022-11-06,25.5,,20.8,8.0,13.1,10.5,9.4,4.5,3.1,1.3,2.9
2022-10-02,24.48,,19.52,7.19,13.29,9.83,8.98,4.47,3.71,0.97,5.4
