Date,GERB,ITN,BSP,DPS,DB,ISMV,V,Other
2021-07-11,23.2,23.8,13.2,10.6,12.5,4.9,3.0,3.2
2021-07-07,21.5,21.8,16.4,11.1,12.0,5.4,3.2,3.1
2021-07-03,20.5,21.3,15.9,11.3,12.4,5.1,3.1,4.1
2021-07-07,20.3,21.3,15.9,11.5,12.2,6.1,3.1,2.1
2021-07-06,22.6,22.1,16.0,10.9,10.6,5.3,,8.0
2021-07-05,21.4,20.8,15.8,11.2,12.8,4.8,2.8,4.6
2021-07-02,22.5,21.7,20.6,11.1,10.0,5.1,2.2,2.0
2021-06-30,21.4,20.5,15.8,10.5,11.3,5.3,2.3,6.4
2021-06-27,21.4,19.7,14.5,10.5,12.2,5.0,2.4,6.4
2021-06-25,21.8,20.8,18.7,10.5,13.8,6.0,2.7,1.1
2021-06-23,22.5,18.2,17.1,11.6,9.1,4.3,1.4,6.2
2021-06-18,21.7,20.2,16.1,10.9,11.2,5.0,2.3,5.7
2021-06-15,22.4,21.7,18.7,11.4,11.1,5.4,,4.4
2021-06-15,21.4,24.0,21.3,11.2,7.2,6.9,1.5,1.4
2021-06-11,21.0,21.2,15.9,11.9,12.1,5.8,2.7,3.5
2021-06-10,21.0,19.4,14.1,10.3,11.5,4.8,2.8,8.0
2021-06-07,20.3,18.2,14.4,9.9,11.9,5.3,2.8,10.9
2021-06-06,24.1,17.1,16.9,11.3,8.9,4.1,1.5,7.6
2021-05-27,23.7,19.8,19.3,10.6,13.3,4.8,2.0,2.0
2021-05-21,23.8,20.9,18.0,10.5,11.4,4.4,1.9,5.5
2021-05-14,22.8,20.1,16.1,11.2,11.6,5.6,2.6,6.9
2021-04-23,23.2,22.3,18.1,10.3,13.1,6.5,1.9,1.4
2021-04-14,27.2,23.2,13.8,10.4,12.0,4.3,,
2021-04-04,25.8,17.4,14.8,10.4,9.3,4.6,2.4,4.7
