Date,GERB,BSP,DPS,OP,DB,ITN,ISMV,Other
2021-03-01,28.5,23.2,12.5,3.7,5.7,13.3,4.5,6.8
2021-02-26,27.5,24.2,10.7,4.0,4.2,15.2,5.0,6.1
2021-02-24,24.6,18.9,8.5,2.7,7.6,13.0,3.9,20.8
2021-02-19,28.9,24.1,11.1,3.8,6.2,12.9,4.0,6.4
2021-02-12,25.8,21.9,12.4,4.2,6.8,13.1,4.7,8.4
2021-01-31,28.6,20.9,11.9,3.4,10.7,15.5,5.3,3.8
2021-01-31,25.5,22.5,11.2,4.3,8.0,18.1,6.6,3.8
2021-01-19,27.6,24.9,10.3,4.0,6.0,11.8,4.1,10.0
2021-01-15,25.6,21.4,12.2,5.1,6.9,13.8,5.0,7.6
2020-12-21,29.0,26.2,8.6,3.2,7.3,12.2,5.9,7.6
2020-12-17,24.2,25.7,10.8,4.7,3.4,17.0,4.8,7.8
2020-12-12,28.8,25.6,8.4,5.4,6.0,14.0,3.7,8.1
2020-11-29,33.5,20.8,13.2,12.7,5.2,6.2,2.5,4.8
2020-11-11,33.6,21.6,12.3,12.0,5.1,6.1,2.6,5.7
2020-11-03,26.6,25.1,8.7,5.5,8.4,11.4,5.7,5.4
2020-10-27,27.1,26.3,8.3,2.8,7.6,18.6,3.9,4.3
2020-10-16,22.9,21.8,10.4,3.4,12.2,16.1,3.5,8.9
2020-10-16,32.7,23.6,12.4,11.3,4.7,6.1,2.7,5.3
2020-10-10,24.1,23.6,10.2,3.8,8.8,15.9,3.9,8.1
2020-10-09,19.1,19.8,10.1,3.4,7.3,12.6,3.7,21.4
2020-09-30,22.8,21.8,11.0,4.2,10.5,16.6,5.1,7.7
2020-09-26,27.4,27.2,9.9,2.7,11.8,13.5,3.1,4.4
2020-09-26,24.6,25.5,11.7,2.8,10.0,17.0,4.2,4.2
2020-09-11,18.6,19.0,10.7,3.8,7.3,11.7,3.1,22.6
2020-09-05,23.8,23.4,10.4,3.9,9.9,15.9,4.0,7.5
2020-08-25,27.7,24.5,9.2,4.4,7.0,15.7,4.5,4.0
2020-08-11,38.9,18.9,12.2,11.7,4.8,5.3,1.9,4.5
2020-08-10,24.2,22.9,9.8,4.1,10.1,14.9,4.4,8.4
2020-08-07,20.0,19.1,9.4,3.2,7.9,10.9,3.3,24.1
2020-08-05,30.1,19.7,10.8,4.3,10.1,13.9,5.0,3.9
2020-08-03,26.3,24.7,10.5,5.0,12.8,13.8,2.5,4.5
2020-08-03,23.3,20.7,9.6,4.6,10.1,23.0,4.0,4.7
2020-07-01,27.4,25.7,8.5,4.4,3.2,8.6,1.8,17.9
2020-07-30,26.7,19.2,8.3,4.1,12.3,18.8,5.9,3.9
2020-07-01,37.4,21.4,7.7,7.5,4.2,9.1,2.6,5.8
2020-06-01,29.0,23.1,7.9,3.8,3.2,7.0,2.4,21.3
2020-06-25,37.5,20.4,11.2,10.1,3.4,3.8,1.7,10.5
2020-06-03,34.1,25.6,9.8,3.7,8.5,9.8,,8.5
2020-05-05,33.4,19.6,10.3,6.3,5.9,14.6,,8.2
2020-02-28,29.4,25.7,13.3,5.8,2.7,12.9,,8.3
2020-02-27,35.2,24.0,10.5,9.0,3.1,3.7,1.6,11.5
2020-02-10,30.6,27.3,10.1,3.9,6.0,10.7,,9.4
2020-01-13,35.5,28.2,11.0,11.0,3.2,3.6,,7.5
2019-12-12,29.8,25.0,10.7,7.3,7.0,11.8,,6.2
2019-11-28,29.4,29.4,8.2,5.9,10.6,10.6,,4.7
2019-11-28,28.6,25.4,12.7,6.3,7.9,12.7,,3.2
2019-11-15,35.6,27.5,10.3,5.1,4.6,7.6,,7.3
2019-09-16,29.6,25.8,11.8,6.6,5.6,11.4,,6.3
2019-06-19,34.9,33.0,9.1,6.8,6.0,,,6.4
2019-06-12,36.7,29.1,10.9,7.6,5.1,,,8.8
2017-03-26,32.65,27.19,8.99,9.07,5.36,,,12.59
