Date,LPC,CPC,BQ,NDP,GPC,PPC
2025-06-13,44.2,32.2,6.3,11.4,3.2,1.7
2025-06-06,42.6,32.8,6.5,12.0,3.9,1.3
2025-06-05,42.0,39.0,6.0,8.0,3.0,1.0
2025-06-04,44.0,32.0,5.0,13.0,3.0,3.0
2025-05-30,41.0,40.0,7.0,8.0,,
2025-05-30,41.7,36.4,6.5,10.5,3.4,1.1
2025-05-23,40.4,38.6,5.9,9.8,3.7,1.3
2025-05-22,42.0,39.0,6.0,8.0,3.0,2.0
2025-05-21,41.0,40.0,7.0,8.0,3.0,1.0
2025-05-16,41.4,39.6,4.7,8.5,3.9,1.3
2025-05-09,41.5,40.5,5.1,7.8,3.3,1.3
2025-05-02,41.8,39.2,5.8,7.9,3.2,1.3
2025-04-28,43.8,41.3,6.3,6.3,1.3,0.7
