Date,LPC,CPC,NDP,BQ,GPC,CA,PC
2004-06-24,34.0,30.0,20.0,12.0,4.0,,
2004-06-24,32.6,31.8,19.0,11.2,4.9,,
2004-06-23,32.0,31.0,17.0,12.0,6.0,,
2004-06-23,34.0,33.0,15.0,13.0,5.0,,
2004-06-23,34.0,30.0,21.0,12.0,3.0,,
2004-06-22,34.0,31.0,21.0,12.0,3.0,,
2004-06-22,33.0,33.0,18.0,11.0,5.0,,
2004-06-21,34.0,31.0,21.0,10.0,4.0,,
2004-06-20,34.0,28.0,16.0,13.0,6.0,,
2004-06-20,33.0,33.0,18.0,12.0,5.0,,
2004-06-18,34.0,29.0,22.0,10.0,5.0,,
2004-06-17,29.0,32.0,16.0,12.0,7.0,,
2004-06-16,32.0,32.0,21.0,12.0,4.0,,
2004-06-16,32.0,34.0,19.0,12.0,3.0,,
2004-06-16,34.0,35.0,16.0,12.0,4.0,,
2004-06-16,35.0,34.0,17.0,11.0,3.0,,
2004-06-13,31.0,32.0,17.0,12.0,6.0,,
2004-06-13,33.0,34.0,18.0,11.0,5.0,,
2004-06-10,33.0,34.0,18.0,11.0,5.0,,
2004-06-09,32.0,37.0,17.0,10.0,5.0,,
2004-06-09,30.0,34.0,19.0,12.0,,,
2004-06-08,33.0,37.0,15.0,10.0,5.0,,
2004-06-08,32.0,31.0,16.0,11.0,7.0,,
2004-06-07,31.0,35.0,16.0,11.0,6.0,,
2004-06-07,33.0,30.0,19.0,12.0,5.0,,
2004-06-07,32.0,34.0,20.0,11.0,4.0,,
2004-06-03,32.0,31.0,17.0,11.0,6.0,,
2004-06-03,37.0,34.0,17.0,9.0,3.0,,
2004-06-02,35.0,32.0,19.0,9.0,4.0,,
2004-06-01,37.0,29.0,19.0,11.0,5.0,,
2004-05-31,35.0,30.0,17.0,12.0,5.0,,
2004-05-31,36.0,25.0,22.0,13.0,5.0,,
2004-05-30,36.0,26.0,20.0,13.0,5.0,,
2004-05-30,34.0,30.0,16.0,11.0,6.0,,
2004-05-29,34.0,31.0,19.0,12.0,3.0,,
