Date,CPC,LPC,NDP,BQ,GPC
2011-05-01,36.0,19.0,33.0,5.0,6.0
2011-05-01,33.9,21.0,31.2,6.4,6.0
2011-05-01,37.1,20.5,31.6,5.7,3.8
2011-05-01,36.0,19.0,30.0,6.0,6.0
2011-04-30,34.6,20.4,31.4,5.4,6.3
2011-04-30,35.0,19.0,33.0,5.0,7.0
2011-04-30,37.0,22.7,30.6,5.5,3.2
2011-04-29,37.0,18.0,32.0,7.0,7.0
2011-04-29,46.0,17.0,26.0,7.0,4.0
2011-04-29,38.0,23.3,29.6,5.2,3.1
2011-04-29,37.0,19.0,33.0,6.0,4.0
2011-04-28,36.0,21.0,31.0,7.0,4.0
2011-04-28,38.0,18.0,33.0,6.0,4.0
2011-04-28,34.5,20.0,29.7,6.3,6.9
2011-04-28,36.4,22.0,31.2,5.7,4.0
2011-04-27,35.0,22.0,30.0,5.0,7.0
2011-04-27,34.8,22.3,27.5,6.1,6.8
2011-04-27,36.6,21.9,30.4,6.0,4.1
2011-04-26,34.0,22.9,28.1,6.6,6.5
2011-04-26,34.0,22.0,31.0,6.0,7.0
2011-04-26,37.8,22.9,27.8,5.8,4.7
2011-04-26,35.0,22.0,30.0,7.0,5.0
2011-04-25,33.9,24.0,27.9,6.0,6.8
2011-04-25,38.4,24.9,23.9,6.4,5.3
2011-04-24,33.7,23.7,28.0,6.2,7.2
2011-04-24,39.2,25.6,23.6,6.5,3.6
2011-04-23,38.6,25.9,23.2,7.2,3.7
2011-04-21,39.0,22.0,25.0,7.0,6.0
2011-04-21,37.8,26.1,23.7,7.4,3.5
2011-04-20,43.0,21.0,24.0,6.0,4.0
2011-04-20,36.0,23.0,25.0,6.0,6.0
2011-04-20,39.0,26.7,22.1,7.5,3.4
2011-04-20,34.4,24.7,24.7,6.5,7.8
2011-04-19,39.1,28.4,19.8,7.7,3.9
2011-04-18,39.8,30.2,17.3,8.6,3.1
2011-04-17,39.0,28.0,17.0,9.0,6.0
2011-04-17,39.0,24.0,22.0,9.0,6.0
2011-04-17,37.4,24.9,20.0,7.8,8.4
2011-04-17,36.0,28.0,19.0,8.0,7.0
2011-04-17,39.8,29.8,17.4,8.6,3.4
2011-04-17,38.0,26.0,22.0,8.0,5.0
2011-04-16,36.0,25.0,25.0,9.0,5.0
2011-04-16,39.0,28.3,18.4,9.6,3.6
2011-04-15,37.0,29.0,20.0,8.0,5.0
2011-04-15,38.8,28.8,19.2,8.5,3.4
2011-04-14,36.0,25.0,22.0,7.0,8.0
2011-04-14,35.3,27.8,18.0,7.1,9.6
2011-04-14,38.7,28.8,18.6,9.0,3.7
2011-04-13,38.9,31.1,18.3,7.5,3.1
2011-04-12,33.8,28.8,19.1,7.8,9.0
2011-04-12,39.9,30.4,16.3,9.1,3.8
2011-04-11,45.0,24.0,16.0,8.0,7.0
2011-04-11,39.0,28.0,17.0,9.0,7.0
2011-04-11,39.7,31.2,16.8,7.8,4.0
2011-04-10,40.0,28.0,15.0,8.0,8.0
2011-04-10,41.2,30.4,15.2,7.8,4.6
2011-04-09,39.5,31.6,14.7,8.1,4.8
2011-04-08,36.0,25.0,18.0,9.0,9.0
2011-04-08,40.5,31.7,13.2,9.2,4.0
2011-04-07,41.0,26.0,19.0,9.0,4.0
2011-04-07,36.2,27.7,16.6,8.3,8.5
2011-04-07,40.6,31.1,14.7,8.7,3.4
2011-04-06,38.0,26.0,20.0,8.0,9.0
2011-04-06,39.6,30.4,17.2,8.3,3.2
2011-04-05,38.0,25.0,20.0,8.0,8.0
2011-04-05,38.0,27.0,21.0,8.0,6.0
2011-04-05,37.0,27.8,16.1,6.9,9.3
2011-04-05,39.7,29.9,17.4,8.3,3.8
2011-04-04,39.8,30.2,16.5,8.3,4.0
2011-04-03,35.0,28.0,17.0,10.0,8.0
2011-04-03,42.3,28.4,16.4,8.0,3.8
2011-04-02,37.0,26.0,18.0,10.0,8.0
2011-04-02,40.7,29.4,16.9,8.0,4.0
2011-04-01,41.3,30.3,16.0,8.5,3.7
2011-03-31,36.9,26.2,17.2,8.5,8.7
2011-03-31,39.4,31.7,16.1,8.5,4.4
2011-03-30,39.1,32.7,15.9,8.7,3.7
2011-03-29,38.4,28.7,19.6,9.1,4.1
2011-03-28,36.0,27.0,20.0,9.0,8.0
2011-03-27,38.0,24.0,19.0,10.0,7.0
2011-03-27,41.0,24.0,19.0,10.0,6.0
2011-03-24,39.0,25.0,19.0,10.0,7.0
2011-03-24,39.0,23.0,19.0,9.0,7.0
2011-03-24,35.3,28.1,14.2,9.7,10.6
2011-03-23,43.0,24.0,16.0,10.0,6.0
2011-03-20,34.0,28.0,17.0,10.0,9.0
2011-03-16,34.1,25.7,16.4,10.2,10.4
2011-03-15,38.6,27.6,19.9,10.1,3.8
2011-03-10,36.0,23.0,18.0,10.0,10.0
2011-03-09,40.0,27.0,16.0,11.0,5.0
2011-03-09,39.0,23.0,17.0,9.0,9.0
2011-03-08,35.2,27.8,14.9,8.8,10.1
2011-02-27,36.0,28.0,15.0,9.0,9.0
2011-02-27,43.0,27.0,13.0,10.0,5.0
2011-02-23,38.0,23.0,19.0,11.0,8.0
2011-02-22,32.4,27.3,14.8,10.5,11.9
2011-02-18,39.0,26.0,18.0,9.0,6.0
2011-02-14,39.7,26.6,18.9,9.9,4.9
2011-02-13,37.0,27.0,14.0,10.0,10.0
2011-02-10,39.0,25.0,18.0,9.0,10.0
2011-02-09,37.3,24.8,14.2,9.9,10.7
2011-02-02,34.0,29.0,16.0,11.0,10.0
2011-01-26,35.4,27.9,14.8,9.7,9.8
2011-01-24,35.0,27.0,18.0,10.0,9.0
2011-01-24,35.0,28.0,19.0,10.0,8.0
