Date,LPC,CPC,NDP,BQ,GPC
2019-10-20,31.7,32.5,20.8,7.2,6.0
2019-10-20,31.6,32.2,18.3,7.9,6.1
2019-10-20,32.0,31.0,19.0,7.0,8.0
2019-10-20,34.2,30.0,18.3,5.0,8.1
2019-10-20,31.4,31.3,17.8,6.6,9.1
2019-10-19,31.0,33.0,18.0,7.0,6.0
2019-10-19,34.0,32.0,16.0,8.0,8.0
2019-10-19,31.0,31.5,18.8,7.0,9.5
2019-10-19,31.7,31.4,17.4,6.6,9.1
2019-10-18,31.7,29.9,17.5,9.0,8.3
2019-10-18,33.0,33.0,18.0,8.0,6.0
2019-10-18,32.8,31.9,18.3,7.2,5.5
2019-10-18,32.6,30.3,18.4,7.1,9.3
2019-10-18,31.0,31.0,18.0,7.0,9.0
2019-10-17,33.0,31.0,14.0,9.0,8.0
2019-10-17,34.0,30.0,19.0,6.0,8.0
2019-10-17,31.0,32.5,17.6,5.5,7.9
2019-10-17,32.1,31.9,18.8,7.6,5.8
2019-10-17,31.5,31.6,19.0,6.2,9.5
2019-10-16,29.0,33.0,21.0,8.0,7.0
2019-10-16,30.0,29.0,20.0,7.0,8.0
2019-10-16,31.9,30.9,18.6,7.6,7.0
2019-10-16,31.5,32.5,18.9,6.0,9.2
2019-10-15,30.9,30.6,18.3,7.9,7.7
2019-10-15,31.9,32.5,18.8,5.9,9.4
2019-10-15,29.0,33.0,19.0,8.0,8.0
2019-10-15,31.2,31.8,18.4,6.4,6.8
2019-10-14,30.7,31.1,17.2,8.1,8.5
2019-10-13,30.0,32.0,20.0,7.0,8.0
2019-10-13,30.7,32.3,16.6,7.8,8.3
2019-10-13,32.3,32.1,19.2,5.9,9.3
2019-10-12,31.5,32.3,19.7,6.2,9.0
2019-10-11,33.2,32.1,18.1,5.9,8.9
2019-10-10,32.0,32.0,18.0,6.0,9.0
2019-10-10,29.0,31.0,19.0,7.0,10.0
2019-10-10,28.9,31.7,16.6,7.6,9.4
2019-10-10,35.4,33.2,15.3,5.3,8.8
2019-10-10,35.0,31.0,15.0,6.0,10.0
2019-10-10,29.0,34.0,17.0,7.0,9.0
2019-10-10,30.5,31.7,13.1,5.4,12.8
2019-10-09,28.0,33.0,20.0,9.0,7.0
2019-10-09,30.2,32.2,15.1,7.2,9.8
2019-10-09,36.9,33.2,14.1,5.1,8.2
2019-10-08,31.0,31.0,18.0,7.0,11.0
2019-10-08,28.0,35.0,13.0,7.0,12.0
2019-10-08,31.7,32.0,14.3,6.1,10.3
2019-10-08,35.6,34.8,13.4,5.2,9.1
2019-10-07,32.6,33.1,13.2,6.5,10.1
2019-10-07,34.6,34.8,13.5,5.1,9.8
2019-10-07,35.0,34.0,15.0,7.0,7.0
2019-10-07,35.0,33.0,13.0,5.0,10.0
2019-10-06,33.1,33.3,13.3,6.3,9.7
2019-10-06,34.3,33.4,15.0,5.1,9.6
2019-10-05,35.0,33.0,16.0,5.0,8.0
2019-10-05,36.7,32.7,15.0,4.9,8.0
2019-10-04,36.2,32.6,15.6,5.8,7.4
2019-10-03,34.3,34.8,11.4,5.8,9.1
2019-10-03,36.3,34.3,13.8,5.9,8.2
2019-10-02,32.0,34.0,14.0,5.0,11.0
2019-10-02,33.4,36.4,11.9,5.7,9.0
2019-10-02,32.9,35.2,14.9,5.5,9.9
2019-10-01,34.0,31.0,12.0,6.0,12.0
2019-10-01,33.5,36.0,11.6,5.3,10.0
2019-10-01,34.2,33.9,15.2,4.5,10.2
2019-09-30,33.3,36.1,11.6,5.3,10.0
2019-09-30,32.2,34.5,14.3,4.4,11.1
2019-09-30,34.0,34.0,14.0,5.0,11.0
2019-09-30,30.0,37.0,14.0,7.0,8.0
2019-09-30,34.0,37.0,15.0,5.0,7.0
2019-09-29,34.4,34.1,10.9,5.6,10.5
2019-09-29,32.7,34.0,13.2,4.1,12.6
2019-09-29,33.4,31.1,11.4,3.0,13.4
2019-09-28,34.0,33.7,11.7,5.8,10.1
2019-09-28,32.5,34.2,13.0,4.6,12.6
2019-09-27,32.6,34.1,14.4,3.8,13.2
2019-09-26,36.0,33.0,15.0,5.0,9.0
2019-09-26,33.4,35.6,10.7,5.6,9.7
2019-09-26,34.4,33.7,15.0,4.4,10.5
2019-09-26,35.0,33.0,15.0,5.0,10.0
2019-09-25,34.4,35.8,10.7,5.5,9.2
2019-09-25,35.5,33.6,14.5,4.7,9.5
2019-09-25,35.0,31.0,14.0,5.0,10.0
2019-09-24,35.2,35.5,10.8,5.2,9.3
2019-09-24,35.3,35.4,12.7,5.5,8.8
2019-09-24,34.0,33.0,13.0,5.0,11.0
2019-09-24,35.0,34.0,12.0,5.0,10.0
2019-09-23,34.4,35.9,11.2,4.8,9.6
2019-09-23,35.1,33.5,12.9,5.7,10.1
2019-09-23,30.0,35.0,15.0,6.0,11.0
2019-09-23,32.0,36.0,15.0,4.0,11.0
2019-09-22,33.7,35.8,,,
2019-09-22,33.1,34.3,12.8,5.8,10.6
2019-09-22,32.0,35.3,10.9,4.9,10.3
2019-09-22,32.0,34.0,15.0,4.0,10.0
2019-09-21,33.9,34.8,11.4,4.9,10.7
2019-09-21,33.0,33.0,11.0,6.0,11.0
2019-09-21,32.9,35.5,14.0,5.3,9.5
2019-09-20,30.0,37.0,15.0,6.0,8.0
2019-09-20,35.9,34.2,10.9,4.8,10.4
2019-09-20,32.0,36.8,13.7,5.4,9.0
2019-09-19,36.8,34.2,10.1,4.7,9.8
2019-09-19,34.2,37.4,12.8,3.5,9.3
2019-09-18,37.2,34.4,9.8,4.4,10.1
2019-09-18,35.0,37.8,11.8,4.0,7.7
2019-09-17,35.5,37.2,13.6,4.0,7.0
2019-09-17,34.0,33.0,12.0,5.0,11.0
2019-09-16,36.8,34.8,9.7,4.5,9.4
2019-09-16,34.9,35.9,15.4,4.7,6.5
2019-09-16,33.0,36.0,13.0,5.0,9.0
2019-09-15,36.5,35.0,9.6,4.3,9.9
2019-09-15,34.0,34.4,16.4,4.4,7.8
2019-09-15,35.0,32.0,14.0,4.0,11.0
2019-09-14,35.2,32.3,16.6,3.8,9.6
