Date,CPC,LPC,NDP,BQ,GPC,PPC
2021-09-19,31.2,32.4,17.5,7.5,4.5,6.6
2021-09-19,33.0,29.4,16.2,6.9,2.9,10.3
2021-09-19,32.0,32.0,19.0,7.0,4.0,6.0
2021-09-19,30.4,33.4,18.1,6.0,2.1,9.3
2021-09-19,32.0,31.0,19.0,7.0,4.0,6.0
2021-09-19,27.3,32.6,18.0,7.3,3.9,9.9
2021-09-18,30.0,31.0,19.0,7.0,4.0,7.0
2021-09-18,26.9,32.1,18.5,7.2,4.4,10.0
2021-09-18,30.5,30.8,21.0,6.5,4.7,5.6
2021-09-18,30.5,31.9,19.0,6.4,2.5,8.9
2021-09-18,31.0,32.0,21.0,6.0,3.0,6.0
2021-09-18,32.0,31.0,21.0,7.0,3.0,4.0
2021-09-18,32.0,30.0,20.0,7.0,3.0,5.0
2021-09-17,27.7,30.6,20.0,7.3,4.5,9.1
2021-09-17,29.2,31.3,20.9,6.4,3.9,7.3
2021-09-17,30.8,31.0,19.9,6.6,2.5,8.4
2021-09-17,32.0,33.0,21.0,6.0,2.0,5.0
2021-09-17,33.0,32.0,19.0,7.0,2.0,6.0
2021-09-16,30.6,30.4,18.5,7.0,4.1,8.5
2021-09-16,30.4,31.9,20.3,5.8,3.2,7.5
2021-09-16,31.9,29.5,19.5,6.4,3.0,8.8
2021-09-16,30.0,34.0,21.0,6.0,3.0,5.0
2021-09-16,31.0,31.0,21.0,7.0,4.0,5.0
2021-09-15,30.4,32.1,18.4,6.3,3.8,8.2
2021-09-15,30.3,31.9,21.2,6.4,3.2,6.7
2021-09-15,32.0,30.2,18.9,6.4,2.9,8.7
2021-09-15,31.0,33.0,22.0,5.0,3.0,5.0
2021-09-14,31.8,31.8,19.1,6.4,3.3,6.9
2021-09-14,31.2,30.5,21.4,6.2,3.7,6.8
2021-09-14,31.4,31.4,17.5,7.0,3.3,8.7
2021-09-13,32.2,31.2,19.4,6.2,3.1,7.3
2021-09-13,30.0,34.0,20.0,7.0,3.0,5.0
2021-09-13,31.2,32.3,18.9,6.4,3.8,6.7
2021-09-13,29.5,33.5,16.4,7.5,3.3,9.1
2021-09-13,32.0,32.0,21.0,7.0,4.0,3.0
2021-09-13,32.0,32.0,20.0,7.0,3.0,5.0
2021-09-13,32.0,29.0,19.0,6.0,5.0,5.0
2021-09-12,32.0,32.0,20.0,7.0,4.0,5.0
2021-09-12,28.0,33.0,22.0,7.0,4.0,4.0
2021-09-12,31.9,30.3,20.3,6.0,3.7,7.0
