Date,LPC,PC,NDP
1972-10-16,46.0,31.0,23.0
1972-10-01,45.0,30.0,19.0
1972-09-01,44.0,31.0,21.0
1972-09-01,42.0,33.0,21.0
1972-08-01,42.0,32.0,15.0
1972-06-01,39.0,35.0,17.0
1972-05-01,39.0,35.0,19.0
1972-02-01,40.0,30.0,22.0
1971-12-01,37.0,33.0,21.0
1971-10-01,38.0,32.0,23.0
1971-08-01,42.0,24.0,24.0
1971-06-01,44.0,26.0,24.0
1971-05-01,42.0,28.0,23.0
1971-02-01,51.0,24.0,17.0
1970-12-01,59.0,22.0,13.0
1970-10-01,42.0,31.0,20.0
1970-08-01,47.0,27.0,19.0
1970-06-01,47.0,26.0,20.0
1970-04-01,40.0,28.0,22.0
1970-02-01,43.0,27.0,19.0
1969-11-01,42.0,28.0,20.0
1969-10-01,40.0,29.0,24.0
1969-08-01,39.0,29.0,24.0
1969-06-01,41.0,30.0,22.0
1969-04-01,47.0,28.0,18.0
1969-02-01,51.0,27.0,15.0
1968-11-01,52.0,27.0,14.0
1968-09-01,46.0,32.0,16.0
1968-06-25,45.37,31.43,16.96
