Date,PC,LPC,NDP
1979-05-16,37.5,37.5,19.0
1979-05-10,40.9,39.6,14.5
1979-05-01,40.0,40.0,17.0
1979-04-20,40.2,38.4,16.0
1979-04-05,38.0,43.0,17.0
1979-03-01,41.0,41.0,15.0
1979-03-01,40.0,42.0,14.0
1979-02-01,37.0,42.0,17.0
1979-02-01,38.0,39.0,19.0
1979-01-06,40.0,39.0,17.0
1978-12-01,40.0,38.0,18.0
1978-11-01,45.0,35.0,18.0
1978-10-01,42.0,37.0,17.0
1978-09-09,38.0,41.0,17.0
1978-08-01,35.0,45.0,15.0
1978-07-01,34.0,42.0,19.0
1978-05-01,39.0,43.0,15.0
1978-04-01,41.0,41.0,14.0
1978-03-01,34.0,45.0,17.0
1978-02-01,34.0,45.0,17.0
1977-12-01,34.0,42.0,19.0
1977-11-01,34.0,44.0,18.0
1977-10-01,32.0,49.0,15.0
1977-09-01,30.0,49.0,18.0
1977-08-01,29.0,50.0,17.0
1977-07-01,27.0,51.0,18.0
1977-06-01,27.0,51.0,18.0
1977-05-01,32.0,47.0,17.0
1977-04-01,34.0,44.0,18.0
1977-03-01,36.0,42.0,17.0
1977-02-01,37.0,41.0,17.0
1977-01-01,45.0,35.0,16.0
1976-12-01,47.0,33.0,16.0
1976-11-01,42.0,35.0,17.0
1976-10-01,44.0,33.0,17.0
1976-09-01,45.0,33.0,16.0
1976-08-01,47.0,29.0,17.0
1976-07-01,46.0,31.0,17.0
1976-06-01,44.0,34.0,16.0
1976-05-01,43.0,31.0,21.0
1976-04-01,46.0,31.0,17.0
1976-03-01,43.0,34.0,17.0
1976-02-01,37.0,38.0,19.0
1976-01-01,37.0,39.0,17.0
1975-12-01,36.0,38.0,19.0
1975-11-01,32.0,38.0,22.0
1975-10-01,33.0,40.0,20.0
1975-07-01,36.0,39.0,17.0
1975-06-01,33.0,41.0,17.0
1975-05-01,35.0,41.0,18.0
1975-04-01,32.0,44.0,17.0
1975-03-01,31.0,47.0,16.0
1975-02-01,30.0,47.0,17.0
1975-01-01,31.0,46.0,17.0
1974-12-01,32.0,44.0,16.0
1974-11-01,33.0,45.0,16.0
1974-10-01,29.0,48.0,15.0
1974-09-01,28.0,48.0,16.0
1974-07-08,35.46,43.15,15.44
