Date,LPC,CA,PC,BQ,NDP
1993-10-20,44.0,19.0,16.0,12.0,7.0
1993-10-20,43.0,17.0,17.0,14.0,7.0
1993-10-14,40.0,16.0,22.0,13.0,7.0
1993-10-06,37.0,18.0,22.0,12.0,8.0
1993-09-28,39.0,17.0,25.0,12.0,6.0
1993-09-26,38.0,14.0,26.0,12.0,8.0
1993-09-23,37.0,13.0,30.0,10.0,8.0
1993-09-23,34.0,15.0,28.0,12.0,7.0
1993-09-22,36.0,13.0,31.0,11.0,7.0
1993-09-16,35.0,11.0,35.0,11.0,6.0
1993-09-14,33.0,11.0,36.0,10.0,8.0
1993-09-09,33.0,11.0,34.0,11.0,10.0
1993-09-09,37.0,10.0,35.0,8.0,8.0
1993-09-03,33.0,11.0,34.0,11.0,10.0
1993-08-16,40.0,7.0,36.0,6.0,8.0
1993-08-05,39.0,9.0,35.0,,7.0
1993-07-13,43.0,7.0,33.0,8.0,8.0
1993-06-28,39.0,7.0,35.0,7.0,9.0
1993-04-17,39.0,,31.0,,13.0
1993-04-02,39.0,,32.0,,13.0
1993-03-15,42.0,7.0,29.0,,13.0
1993-02-15,49.0,8.0,21.0,3.0,16.0
1993-01-30,46.0,,18.0,,17.0
1992-12-06,42.0,12.0,17.0,9.0,18.0
1992-12-05,40.0,15.0,15.0,12.0,18.0
1992-11-16,47.0,11.0,22.0,,14.0
1992-09-14,44.0,8.0,21.0,,18.0
1992-07-11,42.0,10.0,22.0,6.0,18.0
1992-06-06,44.0,11.0,17.0,6.0,21.0
1992-05-26,36.0,12.0,20.0,7.0,22.0
1992-04-11,36.0,15.0,16.0,9.0,22.0
1992-03-07,40.0,14.0,12.0,10.0,22.0
1992-02-05,39.0,14.0,16.0,8.0,22.0
1992-01-11,39.0,,12.0,,24.0
1991-12-07,38.0,12.0,23.0,9.0,16.0
1991-12-05,40.0,15.0,15.0,12.0,18.0
1991-11-09,37.0,11.0,14.0,11.0,25.0
1991-10-07,39.0,16.0,15.0,10.0,19.0
1991-09-11,32.0,14.0,17.0,9.0,25.0
1991-09-07,38.0,12.0,16.0,7.0,26.0
1991-08-22,39.0,13.0,13.0,8.0,25.0
1991-07-01,37.0,13.0,17.0,8.0,23.0
1991-06-08,35.0,16.0,15.0,,23.0
1991-06-02,34.0,15.0,16.0,6.0,27.0
1991-05-07,30.0,17.0,16.0,8.0,26.0
1991-05-04,34.0,13.0,14.0,,28.0
1991-04-13,32.0,16.0,14.0,10.0,26.0
1991-03-20,34.0,7.0,17.0,4.0,34.0
1991-03-09,39.0,7.0,16.0,7.0,30.0
1991-02-23,29.0,11.0,19.0,9.0,30.0
1991-02-09,35.0,8.0,12.0,,34.0
1991-01-21,32.0,7.0,20.0,4.0,35.0
1991-01-05,31.0,9.0,12.0,5.0,41.0
1990-12-22,34.0,,15.0,,36.0
1990-12-08,32.0,8.0,14.0,8.0,36.0
1990-11-19,30.0,11.0,14.0,10.0,32.0
1990-11-10,34.0,,17.0,,38.0
1990-10-13,31.0,9.0,15.0,4.0,38.0
1990-09-19,39.0,,18.0,,33.0
1990-09-15,39.0,7.0,15.0,4.0,32.0
1990-08-11,46.0,6.0,20.0,5.0,22.0
1990-07-14,50.0,,19.0,,19.0
1990-06-16,50.0,7.0,17.0,,23.0
1990-06-12,50.0,,23.0,,17.0
1990-05-05,47.0,7.0,18.0,,24.0
1990-04-07,49.0,6.0,16.0,,24.0
1990-04-02,53.0,,15.0,,23.0
1990-03-10,50.0,5.0,17.0,,25.0
1990-02-10,47.0,4.0,19.0,,27.0
1990-01-13,48.0,,22.0,,23.0
1989-12-21,40.0,3.0,23.0,,30.0
1989-11-11,42.0,,26.0,,25.0
1989-10-05,44.0,,28.0,,22.0
1989-09-09,41.0,,30.0,,24.0
1989-07-08,38.0,,31.0,,25.0
1989-06-21,39.0,,34.0,,25.0
1989-05-30,37.0,,34.0,,26.0
1989-05-20,40.0,,32.0,,25.0
1989-03-30,29.0,,44.0,,23.0
1989-03-25,33.0,,39.0,,24.0
1989-01-07,26.0,,48.0,,23.0
1988-12-03,28.0,,49.0,,20.0
1988-11-21,31.92,2.09,43.02,,20.38
