Date,LPC,CA,PC,NDP,BQ
1997-05-28,39.0,19.0,20.0,11.0,9.0
1997-05-27,36.0,19.0,24.0,11.0,10.0
1997-05-27,41.0,18.0,19.0,11.0,10.0
1997-05-25,38.0,18.0,21.0,11.0,10.0
1997-05-15,45.0,16.0,20.0,10.0,8.0
1997-05-15,40.0,18.0,25.0,9.0,7.0
1997-05-14,40.0,16.0,23.0,10.0,10.0
1997-05-12,46.0,14.0,19.0,9.0,11.0
1997-05-08,42.0,18.0,19.0,11.0,9.0
1997-05-04,48.0,15.0,16.0,10.0,8.0
1997-04-25,47.0,13.0,18.0,13.0,13.0
1997-04-22,44.0,15.0,20.0,11.0,8.0
1997-03-31,41.0,17.0,18.0,12.0,11.0
1997-03-31,47.0,12.0,16.0,12.0,12.0
1997-03-16,52.0,,18.0,,10.0
1997-01-27,45.0,11.0,19.0,10.0,11.0
1996-12-02,47.0,11.0,18.0,11.0,11.0
1996-11-01,50.0,11.0,14.0,11.0,13.0
1996-10-28,52.0,14.0,13.0,9.0,12.0
1996-10-10,55.0,12.0,15.0,8.0,7.0
1996-09-29,51.0,11.0,17.0,9.0,10.0
1996-09-09,50.0,11.0,18.0,9.0,10.0
1996-07-28,57.0,12.0,12.0,9.0,9.0
1996-06-02,53.0,13.0,16.0,,
1996-04-15,56.0,13.0,11.0,8.0,11.0
1996-03-25,54.0,16.0,11.0,8.0,
1996-02-13,55.0,13.0,11.0,8.0,13.0
1996-01-26,53.0,16.0,13.0,9.0,7.0
1995-12-13,49.0,16.0,11.0,10.0,10.0
1995-12-11,51.0,12.0,15.0,9.0,12.0
1995-11-26,52.0,15.0,13.0,9.0,9.0
1995-11-01,56.0,12.0,14.0,8.0,8.0
1995-09-24,58.0,14.0,12.0,7.0,8.0
1995-09-11,54.0,13.0,16.0,8.0,9.0
1995-07-26,55.0,12.0,14.0,9.0,7.0
1995-07-10,56.0,12.0,15.0,8.0,8.0
1995-06-30,58.0,11.0,13.0,8.0,8.0
1995-05-30,57.0,13.0,11.0,8.0,
1995-03-12,62.0,12.0,8.0,5.0,11.0
1995-02-12,55.0,14.0,8.0,8.0,
1995-01-23,54.0,14.0,9.0,6.0,10.0
1995-01-15,58.0,12.0,11.0,5.0,14.0
1994-11-07,63.0,11.0,8.0,5.0,12.0
1994-10-01,62.0,13.0,6.0,4.0,8.0
1994-09-07,60.0,10.0,12.0,5.0,12.0
1994-06-13,59.0,14.0,10.0,6.0,12.0
1994-06-01,55.0,16.0,8.0,7.0,9.0
1994-05-09,58.0,14.0,10.0,5.0,12.0
1994-04-27,56.0,18.0,6.0,5.0,
1994-04-11,55.0,17.0,9.0,6.0,13.0
1994-03-22,58.0,18.0,7.0,4.0,10.0
1994-03-13,56.0,17.0,8.0,6.0,11.0
1994-02-24,58.0,20.0,5.0,4.0,9.0
1994-02-14,58.0,17.0,7.0,4.0,12.0
1994-01-17,57.0,18.0,7.0,5.0,12.0
1993-12-14,56.0,17.0,8.0,7.0,11.0
1993-10-25,41.24,18.69,16.04,6.88,13.52
