Date,UCP,NDP,Green,Alberta,Liberal,WLC,WIP,RPA
2025-05-25,48.0,34.0,2.0,2.0,9.0,0.0,,2.0
2025-05-21,58.0,32.0,,,,,,
2025-05-21,52.0,38.0,1.0,1.0,3.0,,0.0,
2025-04-14,43.0,47.0,,6.0,,,,
2025-03-18,51.0,39.0,2.0,,3.0,,1.0,
2025-01-26,51.0,36.0,2.0,3.0,5.0,1.0,,
2024-09-28,50.0,43.0,2.0,1.0,,,,
2024-08-05,48.0,40.0,3.0,4.0,3.0,2.0,,
2024-07-11,47.0,46.0,1.0,4.0,,,2.0,
2024-06-28,54.0,40.0,,,,,,
2024-05-25,47.0,43.0,,6.0,,,,
2024-03-24,46.0,44.0,1.0,4.0,1.0,1.0,,
2024-03-21,55.0,40.0,,2.0,,,,
2024-03-13,52.0,45.0,,,,,,
2024-03-11,49.0,41.0,,6.0,,,,
2024-02-12,49.0,42.0,,5.0,,,,
2024-01-22,51.0,40.0,,,,,,
2024-01-15,50.0,43.0,,3.0,,,,
2023-12-01,53.0,40.0,,3.0,2.0,,,
2023-10-30,46.0,47.0,,5.0,,,,
2023-09-18,49.0,39.0,2.0,4.0,3.0,1.0,,
2023-05-29,52.63,44.05,0.76,0.71,0.24,0.24,0.05,0.01
