Date,NDP,BCU,Green,Con
2024-10-18,44.0,,12.0,41.0
2024-10-18,42.0,,10.0,45.0
2024-10-18,44.0,,11.0,42.0
2024-10-17,45.0,,9.0,42.0
2024-10-17,40.0,,12.0,45.0
2024-10-17,43.0,,10.0,45.0
2024-10-17,42.7,,10.8,43.4
2024-10-16,40.0,,12.0,43.0
2024-10-16,42.0,,12.0,41.0
2024-10-15,46.0,,9.0,42.0
2024-10-15,40.0,,11.0,44.0
2024-10-14,39.0,,12.0,44.0
2024-10-14,45.0,,11.0,41.0
2024-10-14,42.0,,12.0,40.0
2024-10-14,42.0,,14.0,39.0
2024-10-13,40.0,,10.0,45.0
2024-10-13,45.0,,12.0,40.0
2024-10-12,42.0,,14.0,41.0
2024-10-12,40.0,,10.0,46.0
2024-10-11,40.0,,10.0,45.0
2024-10-10,46.0,,10.0,41.0
2024-10-10,39.0,,12.0,45.0
2024-10-10,42.0,,14.0,40.0
2024-10-09,41.0,,11.0,44.0
2024-10-08,42.0,,9.0,45.0
2024-10-07,43.0,,9.0,44.0
2024-10-07,41.0,,13.0,41.0
2024-10-07,47.0,,9.0,42.0
2024-10-07,47.0,,10.0,41.0
2024-10-06,44.0,,10.0,38.0
2024-10-06,43.0,,8.0,44.0
2024-10-05,44.0,,10.0,42.0
2024-10-04,43.0,,9.0,44.0
2024-10-03,41.0,,10.0,43.0
2024-10-03,41.0,,11.0,44.0
2024-10-02,45.0,,9.0,44.0
2024-10-02,41.0,,11.0,43.0
2024-10-01,42.0,,11.0,43.0
2024-10-01,41.0,,11.0,44.0
2024-09-30,43.0,,9.0,44.0
2024-09-30,43.0,,10.0,46.0
2024-09-29,43.0,,9.0,44.0
2024-09-28,42.0,,9.0,46.0
2024-09-27,42.0,,10.0,44.0
2024-09-26,43.0,,9.0,43.0
2024-09-26,43.0,,12.0,40.0
2024-09-25,43.0,,9.0,43.0
2024-09-24,42.0,,9.0,44.0
2024-09-23,43.0,,10.0,45.0
2024-09-22,45.0,,10.0,44.0
2024-09-16,44.0,,11.0,42.0
2024-09-15,44.0,,7.0,46.0
2024-09-11,44.0,,10.0,42.0
2024-09-09,45.0,,12.0,40.0
2024-08-30,43.0,,10.0,44.0
2024-08-29,43.6,,11.2,42.7
2024-08-17,36.0,12.0,11.0,39.0
2024-08-16,42.0,10.0,10.0,37.0
2024-08-14,43.0,12.0,10.0,35.0
2024-08-05,42.0,10.0,8.0,39.0
2024-07-27,36.0,15.0,9.0,31.0
2024-07-25,41.0,9.0,10.0,38.0
2024-07-06,37.3,10.3,11.9,36.6
2024-06-01,40.0,9.0,9.0,41.0
2024-06-27,40.0,9.0,10.0,38.0
2024-06-19,40.0,11.0,15.0,33.0
2024-05-27,41.0,16.0,11.0,30.0
2024-05-25,47.0,13.0,7.0,32.0
2024-05-15,42.0,12.0,12.0,32.0
2024-05-14,36.8,13.4,9.5,37.7
2024-05-11,38.0,14.0,9.0,36.0
2024-05-09,40.0,13.0,10.0,34.0
2024-05-02,35.0,16.0,12.0,37.0
2024-04-24,37.7,14.9,5.8,38.5
2024-04-17,45.0,15.0,11.0,27.0
2024-04-03,38.0,16.0,11.0,34.0
2024-03-24,43.0,18.0,11.0,26.0
2024-03-19,39.6,14.5,9.6,34.2
2024-03-06,43.0,22.0,12.0,22.0
2024-01-24,46.0,17.0,11.0,25.0
2024-01-16,51.0,15.0,10.0,23.0
2023-12-01,42.0,20.0,12.0,25.0
2023-11-28,44.0,17.0,9.0,26.0
2023-10-09,43.0,22.0,12.0,21.0
2023-09-19,48.0,20.0,12.0,19.0
2023-09-18,42.0,19.0,10.0,25.0
2023-08-31,34.8,21.5,12.7,26.6
2023-07-04,44.0,27.0,11.0,16.0
2023-06-03,47.0,29.0,14.0,
2023-05-03,46.0,33.0,16.0,4.0
2023-03-13,45.0,31.0,16.0,
2023-02-06,44.0,36.0,16.0,2.0
2023-01-23,47.0,28.0,10.0,12.0
2022-12-03,47.0,32.0,14.0,
2022-10-11,44.0,35.0,15.0,4.0
2022-09-22,40.0,34.0,17.0,
2022-07-24,44.0,28.0,12.0,12.0
2022-06-13,42.0,31.0,15.0,10.0
2022-03-15,44.0,29.0,14.0,9.0
2022-02-14,46.0,38.0,13.0,2.0
2022-01-12,44.0,31.0,16.0,6.0
2021-11-08,50.0,30.0,16.0,
2021-10-03,45.0,27.0,14.0,11.0
2021-06-07,50.0,24.0,18.0,7.0
2021-05-30,42.0,31.0,19.0,6.0
2021-03-01,47.0,28.0,15.0,8.0
2020-11-30,48.0,26.0,14.0,11.0
2020-10-24,47.7,33.8,15.1,1.9
