Date,NDP,BCU,Green,Con
2024-10-09,41.0,,11.0,44.0
2024-10-08,42.0,,9.0,45.0
2024-10-07,43.0,,9.0,44.0
2024-10-07,41.0,,13.0,41.0
2024-10-07,47.0,,9.0,42.0
2024-10-06,44.0,,10.0,38.0
2024-10-06,43.0,,8.0,44.0
2024-10-05,44.0,,10.0,42.0
2024-10-04,43.0,,9.0,44.0
2024-10-03,41.0,,10.0,43.0
2024-10-03,41.0,,11.0,44.0
2024-10-02,45.0,,9.0,44.0
2024-10-02,41.0,,11.0,43.0
2024-10-01,42.0,,11.0,43.0
2024-10-01,41.0,,11.0,44.0
2024-09-30,43.0,,9.0,44.0
2024-09-30,43.0,,10.0,46.0
2024-09-29,43.0,,9.0,44.0
2024-09-28,42.0,,9.0,46.0
2024-09-27,42.0,,10.0,44.0
2024-09-26,43.0,,9.0,43.0
2024-09-26,43.0,,12.0,40.0
2024-09-25,43.0,,9.0,43.0
2024-09-24,42.0,,9.0,44.0
2024-09-23,43.0,,10.0,45.0
2024-09-22,45.0,,10.0,44.0
2020-10-24,47.7,33.8,15.1,1.9
