Date,PC,Liberal,Green,PA,NDP
2024-10-03,37.0,44.0,14.0,2.0,
2024-09-17,39.0,41.0,13.0,4.0,
2024-08-17,33.0,44.0,17.0,1.0,4.0
2024-07-31,36.0,36.0,14.0,5.0,10.0
2024-05-30,34.0,37.0,13.0,1.0,13.0
2024-02-22,34.0,40.0,15.0,2.0,8.0
2023-11-27,35.0,41.0,10.0,2.0,13.0
2023-08-21,36.0,38.0,16.0,1.0,8.0
2023-05-17,34.0,34.0,19.0,2.0,10.0
2023-02-25,37.0,35.0,17.0,2.0,9.0
2022-12-23,22.0,40.0,15.0,9.0,12.0
2022-11-27,30.0,39.0,18.0,2.0,10.0
2022-08-24,30.0,41.0,14.0,5.0,11.0
2022-06-13,31.0,36.0,14.0,5.0,13.0
2022-05-19,34.0,34.0,17.0,4.0,9.0
2022-04-11,36.6,38.8,14.2,1.2,8.6
2022-03-15,31.0,32.0,15.0,13.0,9.0
2022-02-27,34.0,31.0,16.0,5.0,11.0
2022-01-10,26.0,37.0,16.0,10.0,8.0
2021-12-14,29.0,36.0,16.0,5.0,11.0
2021-11-24,28.0,38.0,14.0,5.0,13.0
2021-11-06,20.5,39.8,17.9,12.0,
2021-10-03,31.0,31.0,12.0,12.0,13.0
2021-08-17,33.0,29.0,22.0,5.0,11.0
2021-06-07,36.0,31.0,17.0,12.0,4.0
2021-05-31,39.0,28.0,18.0,6.0,8.0
2021-03-18,38.0,31.0,17.0,5.0,6.0
2021-02-17,35.0,32.0,20.0,6.0,6.0
2020-11-22,41.0,28.0,20.0,4.0,6.0
2020-09-14,39.3,34.4,15.2,9.2,1.7
