Date,PC,Libéral,NDP,Vert,Autres
2024-10-31,45.0,25.0,26.0,4.0,0.0
2024-10-29,38.0,26.0,29.0,5.0,2.0
2024-08-14,53.0,24.0,19.0,4.0,1.0
2024-05-29,50.0,23.0,22.0,3.0,2.0
2024-02-17,49.0,25.0,20.0,5.0,1.0
2023-11-21,52.0,21.0,22.0,3.0,1.0
2023-08-14,47.0,23.0,24.0,4.0,2.0
2023-05-16,39.0,31.0,24.0,5.0,1.0
2023-02-23,46.0,25.0,24.0,4.0,2.0
2022-11-28,42.0,27.0,25.0,5.0,1.0
2022-08-23,43.0,30.0,22.0,4.0,1.0
2022-06-13,46.0,21.0,27.0,3.0,2.0
2022-05-22,42.0,27.0,25.0,4.0,1.0
2022-04-21,39.0,31.0,23.0,,7.0
2022-03-15,47.0,25.0,22.0,2.0,5.0
2022-02-23,44.0,27.0,20.0,6.0,2.0
2022-01-12,38.0,28.0,26.0,1.0,6.0
2021-11-24,41.0,23.0,27.0,5.0,3.0
2021-11-21,42.0,26.0,24.0,5.0,3.0
2021-10-03,39.0,21.0,32.0,4.0,5.0
2021-08-17,38.43,36.67,20.94,2.14,1.41
