Date,PC,NPD,Libéral,Vert,Autres
2025-02-21,42.0,17.0,31.0,6.0,4.0
2025-02-21,43.0,19.0,31.0,6.0,2.0
2025-02-20,46.0,21.0,25.0,4.0,4.0
2025-02-20,47.0,18.0,26.0,8.0,
2025-02-20,45.0,17.0,31.0,5.0,2.0
2025-02-20,40.0,19.0,29.0,7.0,5.0
2025-02-19,44.0,17.0,31.0,7.0,2.0
2025-02-19,38.0,21.0,29.0,6.0,6.0
2025-02-18,47.0,17.0,27.0,9.0,
2025-02-18,46.0,16.0,30.0,7.0,2.0
2025-02-18,39.0,21.0,28.0,5.0,6.0
2025-02-17,48.0,16.0,28.0,5.0,3.0
2025-02-17,41.0,18.0,30.0,5.0,6.0
2025-02-16,45.0,18.0,28.0,7.0,2.0
2025-02-16,47.0,20.0,26.0,8.0,
2025-02-16,46.0,18.0,27.0,7.0,2.0
2025-02-16,41.0,18.0,31.0,6.0,5.0
2025-02-15,41.0,21.0,28.0,6.0,3.0
2025-02-15,45.0,18.0,30.0,5.0,2.0
2025-02-15,43.0,17.0,30.0,6.0,3.0
2025-02-14,43.0,19.0,29.0,6.0,3.0
2025-02-13,44.0,17.0,31.0,6.0,2.0
2025-02-13,44.0,17.0,29.0,6.0,4.0
2025-02-13,45.0,15.0,31.0,4.0,4.0
2025-02-12,44.1,18.9,27.7,4.7,4.6
2025-02-12,45.0,17.0,29.0,6.0,2.0
2025-02-12,42.0,17.0,31.0,6.0,4.0
2025-02-11,49.0,19.0,24.0,9.0,
2025-02-11,41.0,16.0,32.0,7.0,4.0
2025-02-10,50.0,19.0,22.0,9.0,
2025-02-10,40.0,19.0,30.0,6.0,4.0
2025-02-10,44.0,17.0,32.0,5.0,2.0
2025-02-09,51.0,18.0,23.0,8.0,
2025-02-09,47.0,17.0,26.0,6.0,
2025-02-09,41.0,18.0,31.0,6.0,4.0
2025-02-09,44.0,19.0,31.0,4.0,2.0
2025-02-09,44.0,18.0,26.0,7.0,4.0
2025-02-08,44.0,20.0,28.0,5.0,3.0
2025-02-08,41.0,21.0,25.0,7.0,5.0
2025-02-07,39.0,20.0,28.0,7.0,5.0
2025-02-06,46.0,21.0,24.0,5.0,4.0
2025-02-06,39.0,22.0,29.0,5.0,6.0
2025-02-06,46.0,16.0,30.0,7.0,2.0
2025-02-05,42.0,19.0,29.0,5.0,5.0
2025-02-04,45.0,16.0,29.0,5.0,5.0
2025-02-03,44.0,15.0,30.0,5.0,7.0
2025-02-03,43.0,21.0,26.0,5.0,5.0
2025-02-02,45.0,21.0,28.0,5.0,2.0
2025-02-02,43.0,17.0,29.0,5.0,6.0
2025-02-02,47.0,17.0,23.0,8.0,
2025-02-01,42.0,17.0,29.0,6.0,5.0
2025-02-01,43.0,16.0,31.0,5.0,5.0
2025-01-31,43.0,19.0,29.0,5.0,4.0
2025-01-31,49.0,19.0,22.0,9.0,1.0
2025-01-30,38.0,20.0,30.0,6.0,5.0
2025-01-30,50.0,20.0,24.0,3.0,3.0
2022-06-02,40.82,23.74,23.85,5.96,5.62
