Date,SP,NDP,Buffalo,Green,PC,Progress,United
2024-10-28,53.0,39.5,0.8,1.8,1.0,0.2,4.0
2024-10-27,46.0,49.0,,2.1,,,
2024-10-27,46.0,48.0,,,,,
2024-10-25,46.0,49.0,,,,,
2024-10-24,45.0,49.0,,,,,
2024-10-20,45.0,50.0,,,,,
2024-10-24,49.0,43.0,1.0,,,,3.0
2024-10-09,51.0,43.0,,3.0,,,
2024-10-03,45.0,40.0,1.0,1.0,2.0,1.0,1.0
2024-09-17,50.0,40.0,,,,,
2024-09-12,48.0,49.0,,,,,
2024-08-20,49.0,42.0,,,,,5.0
2024-07-26,47.0,48.0,,,,,
2024-03-12,50.0,38.0,,1.0,,,6.0
2024-02-08,47.0,49.0,,,,,
2023-12-01,52.0,39.0,,,,3.0,
2023-10-06,51.0,45.0,,,,,
2023-07-14,45.0,36.0,2.0,2.0,10.0,2.0,3.0
2023-04-13,46.0,37.0,3.0,2.0,6.0,3.0,2.0
2022-06-13,57.0,34.0,,1.0,,2.0,
2022-03-15,54.0,36.0,,2.0,,2.0,
2022-02-23,53.0,37.0,3.0,2.0,2.0,1.0,
2022-01-12,48.0,39.0,,1.0,,2.0,
2021-10-03,52.0,35.0,,1.0,,2.0,
2021-06-07,57.0,31.0,,3.0,,2.0,
2021-03-08,41.5,36.3,4.5,3.9,7.3,6.2,
2020-11-30,58.0,27.0,,3.0,,1.0,
2020-10-26,60.7,31.8,2.6,2.3,1.9,0.1,
