Date,CPC,LPC,NDP,BQ,PPC,GPC
2023-09-15,34.9,28.9,22.2,7.1,1.8,4.7
2023-09-12,41,26,18,8,3,3
2023-09-08,34.0,29.0,21.8,7.1,2.6,5.2
2023-09-06,39,27,19,8,2,4
2023-09-04,37,31,17,8,1,3
2023-09-04,40,26,19,6,3,4
2023-09-01,32.4,31.5,20.7,7.0,2.5,5.7
2023-08-27,38,29,18,8,2,4
2023-08-25,33.1,29.7,21.7,6.9,2.1,6.3
2023-08-23,41,28,15,7,3,4
2023-08-23,38,26,19,7,4,4
2023-08-18,34.1,29.5,19.8,7.2,2.4,6.8
2023-08-17,39.1,29.6,16.6,6.7,2.0,4.7
2023-08-11,38,31,18,7,1,5
2023-08-11,35.4,29.0,19.4,6.8,1.8,6.7
2023-08-07,37,28,19,8,3,4
2023-08-04,37,27,20,7,3,6
2023-07-28,36.4,28.5,17.3,7.0,3.3,6.0
2023-07-25,38,28,18,7,4,5
2023-07-21,35.4,28.6,19.6,7.1,2.3,5.9
2023-07-14,35.3,29.3,19.0,6.8,2.3,6.5
2023-07-10,37,28,17,7,3,5
2023-07-08,37,30,17,6,3,5
2023-07-07,37,30,19,7,2,6
2023-06-30,35.8,29.6,18.9,6.4,2.4,6.1
2023-06-27,34,29,20,7,5,5
2023-06-23,32,30,21,8,3,5
2023-06-23,35,29,20,7,3,6
2023-06-20,37,32,16,8,2,3
2023-06-16,35,30,21,7,3,5
2023-06-11,35,28,21,7,4,4
2023-06-09,32,30,23,6,3,5
2023-06-08,35,29,21,5,2,5
2023-06-03,37,29,20,8,2,4
2023-06-02,32.4,29.3,23.8,6.8,2.7,3.8
2023-05-29,31,33,19,8,2,6
2023-05-26,33,28,24,7,3,4
2023-05-19,34,27,24,7,3,5
2023-05-12,33,30,18,7,5,5
2023-05-12,36,27,22,7,4,4
2023-05-08,33,32,20,7,2,5
2023-05-06,36,30,17,6,3,4
2023-05-05,35.2,27.7,21.7,7.1,3.4,4.3
2023-05-03,33,31,19,7,5,4
2023-04-28,35,30,20,6,3,5
2023-04-23,36,30,19,7,2,4
2023-04-21,34,31,21,6,3,4
2023-04-14,34,31,21,6,3,5
2023-04-10,34,30,21,8,3,3
2023-04-07,35.8,30.6,18.1,5.5,3.4,5.3
2023-03-31,36,28,20,6,4,5
2023-03-30,35.9,28.9,18.1,6.5,1.8,6.8
2023-03-24,34.8,28.9,19.0,6.3,4.4,5.3
2023-03-21,33,31,18,8,5,4
2023-03-17,34,27,20,9,5,5
2023-03-13,35,29,20,8,2,4
2023-03-13,31.4,28.2,25.0,6.0,3.6,4.8
2023-03-12,32,33,19,9,2,4
2023-03-10,36.9,30.8,15.2,6.2,3.3,4.8
2023-03-10,34,29,19,7,6,3
2023-03-10,32.8,28.4,20.6,8.9,3.5,5.0
2023-03-04,36,29,18,8,4,3
2023-03-03,34,30,20,9,3,5
2023-02-27,33,34,18,8,1,3
