Date,HDZ Coalition,River Of Justice,DP,Most-HS,Možemo!,RF,Fokus,Ozbiljno,Other,Undecided
2024-04-17,34.3,25.4,9.6,8.0,9.1,0.8,2.3,2.2,8.3,
2024-03-25,29.8,19.4,7.9,7.6,7.0,,,0.0,16.1,12.2
2024-03-20,30.0,23.900000000000002,7.7,7.1,9.0,1.0,1.1,1.1,6.1,13.0
2024-03-17,27.3,22.6,7.9,8.7,8.7,,,0.0,14.9,10.1
2024-03-10,28.700000000000003,21.199999999999996,7.7,7.9,7.8,1.0,1.0,1.3,7.3,16.1
2024-02-23,28.7,13.9,6.9,7.0,7.6,,,0.0,17.2,18.1
2024-02-20,27.5,19.9,8.5,8.7,8.1,,1.0,1.1,7.5,17.7
2024-02-04,25.6,18.6,8.4,9.1,8.9,1.0,1.0,1.3,7.3,18.8
2024-01-27,27.8,19.0,7.9,8.1,8.3,1.1,1.6,2.2,4.4,18.2
2024-01-25,29.1,13.5,7.6,6.6,6.7,,,0.0,17.9,18.6
2024-01-10,28.099999999999998,18.5,7.8,9.4,8.7,1.0,1.5,2.3,4.2,18.5
2023-12-22,32.3,15.100000000000001,8.4,7.5,6.8,,,1.3,8.9,19.7
2023-12-10,27.2,18.7,7.9,8.8,9.2,1.7,1.4,2.1,4.2,18.8
2023-11-24,32.6,13.7,7.9,8.1,7.9,,,0.0,11.8,18.0
2023-11-20,26.4,18.7,8.3,8.1,9.9,1.5,1.5,1.2,6.7,17.7
2023-11-12,26.5,18.3,8.4,8.4,11.0,1.7,1.4,2.1,5.5,16.7
2023-10-25,33.4,15.1,7.7,9.2,8.2,,,0.0,9.8,16.6
2023-10-20,26.9,19.2,7.3,7.9,10.9,1.9,1.3,1.0,7.2,16.4
2023-10-08,26.700000000000003,18.7,7.5,8.2,11.4,1.8,1.0,1.2,7.0,16.5
2023-09-25,32.9,13.6,6.5,8.9,9.0,,,2.0,10.2,16.9
2023-09-20,26.8,18.7,7.4,8.3,11.2,1.1,1.3,1.0,7.699999999999999,16.5
2023-09-10,26.5,19.1,7.8,9.6,11.0,1.2,1.1,1.0,5.8,16.9
2023-08-25,31.1,13.2,6.5,8.7,10.4,,,4.4,8.8,16.9
2023-08-06,25.2,18.599999999999998,7.7,8.8,11.2,1.4,1.0,2.2,7.3,16.6
2023-07-25,33.6,13.1,7.1,9.4,10.6,,,1.7,9.1,15.4
2023-07-09,25.5,21.0,7.5,9.8,9.7,1.4,1.2,1.1,6.1,16.7
2023-07-04,28.1,19.200000000000003,7.5,10.2,8.8,1.1,1.4,3.3,3.4,17.0
2023-06-25,31.700000000000003,12.7,7.2,8.9,10.0,,1.0,2.1,8.1,18.3
2023-06-04,26.2,21.4,7.1,9.5,9.4,2.0,1.2,1.1,5.9,16.2
2023-05-27,27.8,15.3,7.5,10.7,9.5,,,2.1,0.0,27.1
2023-05-25,34.0,15.6,6.9,8.5,9.0,,,1.3,7.4,17.3
2023-05-20,26.8,21.499999999999996,6.2,9.7,9.7,1.2,1.2,1.3,5.7,15.8
2023-05-07,25.9,20.7,6.6,10.200000000000001,9.2,1.6,1.5,1.1,6.3,16.9
2023-04-28,26.6,18.599999999999998,7.4,11.8,10.0,1.7,1.4,4.0,2.4,16.1
2023-04-25,33.300000000000004,15.4,6.0,8.7,8.8,,,1.9,8.9,17.0
2023-04-20,26.1,21.2,6.1,10.1,9.7,1.8,1.3,2.0,5.9,15.8
2023-04-09,25.8,20.599999999999998,6.7,9.700000000000001,9.4,1.8,1.5,1.1,6.7,16.7
2023-04-01,26.900000000000002,16.6,7.7,11.399999999999999,9.8,2.0,1.2,3.9,3.6,16.9
2023-03-24,32.4,15.8,6.4,8.4,7.2,,,1.8,8.8,19.2
2023-03-20,27.1,20.4,6.8,9.3,9.8,1.6,1.2,1.1,7.3,15.4
2023-03-05,26.7,19.8,6.8,10.3,9.8,1.3,1.3,2.1,5.4,16.5
2023-02-25,27.3,18.1,7.5,11.8,9.6,1.5,,4.7,2.2,16.8
2023-02-24,32.5,16.7,5.7,9.0,8.6,,1.5,1.5,9.4,15.1
2023-02-05,27.5,19.4,6.3,10.2,9.7,1.4,1.4,2.6,5.1,16.4
2023-02-01,28.4,18.5,7.2,11.4,9.9,1.5,,4.4,2.6,16.1
2023-01-25,33.6,14.999999999999998,6.3,10.0,8.0,,,3.5,7.1,16.5
2023-01-08,26.4,19.0,6.1,10.1,10.1,1.3,1.4,2.7,6.6000000000000005,16.3
2022-12-30,27.8,16.8,7.0,11.2,10.0,1.4,,3.5,4.8,17.5
2022-12-23,33.9,13.8,6.8,9.1,7.5,1.6,,2.1,7.5,17.7
2022-12-04,26.9,19.5,5.9,9.0,10.2,1.9,1.3,2.6,7.300000000000001,15.4
2022-11-26,26.6,16.9,7.0,11.4,10.3,1.4,,3.8,4.9,17.7
2022-11-25,33.4,12.7,5.8,9.9,8.6,,1.5,3.0,7.6,17.5
2022-11-20,25.7,20.0,5.5,8.5,10.8,1.2,1.2,2.5,6.5,18.1
2022-11-06,24.7,20.0,6.1,10.6,10.0,1.2,1.4,1.3,7.4,17.3
2022-10-29,26.200000000000003,17.3,7.1,11.4,10.4,1.2,,3.8,4.7,17.9
2022-10-25,34.1,14.399999999999999,6.2,8.9,7.9,,1.9,2.9,11.4,12.3
2022-10-20,24.6,20.4,5.4,9.3,11.2,1.2,1.3,2.7,6.0,17.9
2022-10-09,24.4,20.4,6.0,9.2,10.6,,1.4,1.4,8.8,17.8
2022-09-26,31.400000000000002,13.2,5.7,8.6,8.4,1.8,2.0,3.2,12.5,13.2
2022-09-24,27.0,17.0,7.2,11.799999999999999,9.7,1.0,,4.5,4.2,17.6
2022-09-20,25.2,20.5,5.7,9.7,10.9,1.2,1.4,2.3,5.2,17.9
2022-09-04,24.2,20.6,5.5,9.4,10.6,,1.6,1.3,8.7,18.1
