Date,HDZ,SDP,DP,DOMiNO,PiP,Možemo,Most,HS,Fokus,IDS,NPS,RF,Centar,HSS,HSU,HNS
2025-06-08,29.1,23.8,2.3,2.2,0.5,9.8,5.5,0.6,0.3,1.1,1.1,0.3,1.5,0.7,0.6,0.6
2025-05-24,29.6,23.5,2.7,,,9.7,6.2,,,2.7,,,,,,
2025-05-01,27.5,23.2,2.2,1.5,,7.9,6.1,1.1,,1.6,,,1.2,1.0,1.9,
2025-04-25,25.8,25.2,4.3,2.5,,10.6,5.7,,,,,,,,,
2025-04-06,25.8,26.4,2.5,2.4,1.0,10.2,7.0,0.5,0.6,1.1,1.2,0.8,1.1,1.0,,1.1
2025-03-31,27.5,23.5,2.0,1.6,,7.9,6.4,1.0,,1.6,,,1.0,,2.3,
2025-03-25,26.9,25.0,3.7,,,11.3,5.8,,,,,,,,,
2025-03-20,25.4,26.0,2.0,1.9,0.9,9.3,6.9,0.5,0.6,1.3,1.3,0.6,1.0,1.2,0.5,0.9
2025-03-09,26.1,26.3,2.2,1.8,0.5,10.2,6.8,0.4,0.4,1.5,1.4,0.6,0.9,1.4,0.4,1.0
2025-03-03,26.9,22.1,1.8,1.5,,7.0,6.4,,,,,,,,3.1,
2025-02-25,26.3,25.7,2.7,,,9.7,6.0,,,,,,,,,
2025-02-20,25.9,23.6,2.2,2.0,1.1,9.2,6.8,0.8,1.0,1.1,1.1,1.1,1.2,1.2,0.8,1.0
2025-02-09,26.0,23.5,2.4,2.1,0.5,9.9,6.5,0.4,0.7,1.2,1.2,0.8,1.1,1.3,0.8,1.1
2025-02-01,28.9,21.7,1.9,2.2,,7.1,6.1,1.0,,1.5,,,1.4,,2.8,
2025-01-25,27.3,24.3,1.5,1.5,,10.6,6.3,,,,,,,,,
2025-01-10,26.6,23.1,2.5,,0.7,9.1,6.9,0.6,0.9,1.2,1.0,1.0,1.3,1.2,0.7,1.0
2024-12-24,27.8,22.6,2.5,,,9.6,7.9,,,,,,,,2.5,
2024-12-20,26.6,22.9,2.9,2.9,0.7,9.2,6.8,0.4,1.0,1.5,0.8,0.8,1.2,1.1,0.9,1.1
2024-12-03,29.8,21.1,3.1,2.8,,6.9,6.2,1.4,,1.6,,,1.5,,2.7,
2024-11-25,29.4,21.5,4.9,,,10.7,7.1,,,,,,,,,
2024-11-20,26.8,22.8,3.0,1.8,0.6,8.9,6.5,0.6,0.9,1.5,0.8,1.1,1.9,1.5,1.0,1.0
2024-11-10,26.7,22.2,3.5,1.3,0.6,9.0,6.4,0.6,1.1,1.3,0.8,1.1,1.9,1.0,1.1,1.1
2024-10-25,29.8,21.6,3.0,,,9.4,7.3,,,,,,,,,
2024-10-20,27.5,22.5,3.1,2.1,0.6,8.7,6.1,0.6,0.7,1.4,0.9,0.8,1.7,1.0,0.8,0.9
2024-10-06,26.9,21.6,4.5,1.9,,8.6,6.1,,,1.7,,1.6,1.1,,1.1,
2024-10-01,30.1,20.9,4.9,,,7.1,6.2,1.2,,1.8,,,2.0,,1.8,
2024-09-25,30.3,20.4,5.4,,,10.4,6.7,,,,,,,,,
2024-09-08,27.3,21.2,4.6,,,8.4,7.0,0.9,1.0,1.3,0.6,0.8,1.3,1.1,0.8,1.0
2024-08-29,30.3,20.8,7.0,,,6.9,6.2,1.2,0.9,1.8,,,2.0,,1.4,
2024-08-23,29.9,19.6,6.4,,,10.2,7.1,,,,,,,,,
2024-08-04,28.5,22.2,6.7,,1.0,9.1,6.0,0.7,1.0,1.5,,1.2,0.8,0.9,0.5,0.6
2024-07-31,30.3,20.6,7.5,,,7.1,6.0,1.1,1.4,1.6,,,2.1,,1.4,
2024-07-25,30.2,19.0,7.5,,,8.5,7.0,,,,,,,,,
2024-07-07,30.7,25.9,7.1,,0.8,10.3,6.6,0.3,1.4,1.3,0.5,0.8,0.3,0.6,0.5,0.8
2024-07-01,30.0,21.1,7.6,,,7.4,5.9,1.1,1.2,1.5,,,2.1,,1.3,
2024-06-25,31.5,20.5,7.8,,,9.1,7.7,,,,,,,,,
2024-06-07,29.8,22.3,8.4,,1.2,9.2,6.7,0.5,1.4,2.0,,0.8,1.0,1.0,0.6,0.7
2024-05-24,30.5,20.2,7.4,,,11.1,8.6,,,,,,,,,
2024-05-12,29.5,23.2,8.3,,1.2,9.3,5.6,0.7,1.3,1.1,1.0,1.0,1.1,1.4,1.2,0.8
2024-04-25,28.5,22.2,10.1,,,12.3,8.3,,,,,,,,,
2024-04-17,34.42,25.4,9.56,,,9.1,8.02,,2.25,2.25,1.22,0.8,,,,
