Date,HDZ,SDP,DP,Most,Možemo,Fokus,SD
2023-01-08,26.4,14.8,6.1,9.1,10.1,1.4,1.7
2022-12-30,24.7,14.7,7.0,9.1,10.0,-,2.2
2022-12-23,30.7,12.3,6.8,8.0,7.5,-,-
2022-12-04,26.9,15.4,5.9,9.0,10.2,1.3,1.5
2022-11-26,23.5,14.9,7.0,9.4,10.3,-,2.5
2022-11-25,29.9,11.7,5.8,8.3,8.6,1.5,-
2022-11-20,25.7,15.7,5.5,8.5,10.8,1.2,1.5
2022-11-06,24.7,16.5,6.1,9.5,10.0,1.4,1.3
2022-10-29,23.1,15.2,7.1,9.5,10.4,-,2.6
2022-10-25,28.4,12.7,6.2,8.9,7.9,1.9,-
2022-10-20,24.6,16.2,5.4,9.3,11.2,1.3,1.6
2022-10-09,24.4,16.7,6.0,9.2,10.6,1.4,1.4
2022-09-26,28.1,13.2,5.7,8.6,8.4,2.0,-
2022-09-24,23.9,15.0,7.2,9.7,9.7,-,3.3
2022-09-20,25.2,16.7,5.7,8.7,10.9,1.4,1.3
2022-09-04,24.2,16.6,5.5,9.4,10.6,1.6,1.3
2022-08-30,25.9,14.8,6.9,9.2,9.9,-,3.0
2022-08-25,30.1,13.2,4.0,9.2,9.0,2.5,-
2022-08-07,27.1,16.1,5.8,8.4,10.6,1.3,1.0
2022-08-02,26.2,15.5,6.7,9.1,10.7,-,3.7
2022-07-25,29.1,13.9,5.1,8.2,9.9,1.5,-
2022-07-10,27.3,17.5,5.5,8.4,11.6,-,-
2022-06-24,29.3,12.8,6.3,9.1,8.9,-,-
2022-06-05,26.7,16.6,5.1,9.2,12.3,1.1,-
2022-05-27,24.9,16.7,5.1,9.9,14.3,-,-
2022-05-25,30.0,14.1,5.6,10.2,10.2,-,-
2022-05-20,26.4,17.7,4.6,9.1,12.0,1.1,-
2022-05-08,26.1,17.5,4.8,9.2,12.6,1.2,-
2022-04-25,28.6,15.9,4.8,9.0,9.1,-,-
2022-04-24,25.2,17.0,5.7,9.7,12.3,1.3,-
2022-04-10,25.4,17.1,4.7,10.3,12.8,1.2,-
2022-03-25,28.1,14.0,5.6,10.1,10.7,1.2,-
2022-03-20,25.0,16.1,6.5,10.2,12.2,1.3,-
2022-03-06,25.2,17.0,6.3,10.6,12.5,1.3,-
2022-02-25,26.9,13.7,6.4,12.4,12.9,-,-
2022-02-06,26.2,17.9,4.3,11.1,12.9,1.5,-
2022-01-25,30.4,13.5,6.0,8.8,9.4,1.6,-
2022-01-09,26.1,16.9,3.7,12.4,13.3,1.4,-
2021-12-24,29.7,13.1,5.3,10.6,8.8,1.3,-
2021-12-05,27.1,16.1,4.9,8.5,14.2,1.6,-
2021-11-25,29.5,13.2,4.8,9.4,10.3,-,-
2021-11-20,27.5,15.7,4.5,8.0,15.4,1.5,-
2021-11-07,27.4,16.0,5.0,8.0,15.9,1.3,-
2021-10-25,30.9,12.2,4.5,8.2,11.2,-,-
2021-10-20,27.3,15.9,4.1,6.8,16.1,1.5,-
2021-10-10,27.6,16.1,3.7,6.7,17.1,1.3,-
2021-09-23,30.8,13.4,5.2,8.3,13.6,1.1,-
2021-09-20,27.1,17.1,3.9,8.5,16.1,1.7,-
2021-09-05,27.3,17.9,3.8,7.7,17.2,1.9,-
2021-08-25,30.0,12.7,5.0,8.9,15.6,1.5,-
2021-07-26,29.8,14.3,7.7,7.6,14.9,1.6,-
2021-07-11,27.4,18.7,6.4,4.8,16.9,1.3,-
2021-07-07,30.9,15.2,8.4,7.4,13.5,1.7,-
2021-06-25,30.7,13.4,6.4,6.8,12.6,1.1,-
2021-06-06,26.8,18.9,8.2,5.4,13.4,1.4,-
2021-05-25,30.5,15.2,7.3,6.7,9.4,1.3,-
2021-05-09,26.7,19.6,8.2,7.1,9.1,1.0,-
2021-04-23,29.3,15.1,6.6,7.7,8.7,-,-
2021-04-20,27.1,18.7,7.7,7.0,9.0,1.0,-
2021-04-04,26.8,19.3,7.9,7.6,8.2,1.3,-
2021-03-25,29.1,16.0,6.2,7.3,9.4,-,-
2021-03-20,27.3,18.8,8.1,7.5,8.7,1.2,-
2021-03-07,27.0,19.5,7.5,7.2,8.3,1.5,-
2021-02-25,30.9,17.2,6.8,8.0,9.3,-,-
2021-02-07,27.7,19.9,7.2,7.3,8.3,-,-
2021-01-25,31.1,16.6,7.3,7.8,9.6,1.5,-
2021-01-10,28.0,19.6,6.3,7.4,8.4,-,-
2020-12-24,30.8,16.2,9.4,8.3,8.6,1.8,-
2020-12-06,29.2,20.5,7.9,8.7,6.4,-,-
2020-11-25,31.5,17.6,7.5,7.4,6.5,-,-
2020-11-08,29.1,19.8,7.3,8.6,7.6,-,-
2020-10-26,32.5,18.7,8.4,7.3,6.7,-,-
2020-10-08,30.4,18.2,8.2,8.4,9.0,-,-
2020-09-25,33.7,17.1,7.9,6.2,8.2,-,-
2020-09-06,32.8,18.4,7.8,7.6,8.9,-,-
2020-08-25,33.1,16.4,6.1,7.0,8.6,-,-
2020-08-06,32.9,18.1,8.6,8.3,11.0,-,-
2020-07-25,30.2,18.4,6.9,8.2,8.7,-,-
2020-07-05,37.3,24.9,10.9,7.4,7.0,4.0,[n]
