Date,Red,M,Blue
2024-11-10,89.0,7.0,79.0
2024-11-03,90.0,6.0,79.0
2024-10-27,88.0,6.0,81.0
2024-10-21,88.0,6.0,81.0
2024-10-13,89.0,8.0,78.0
2024-09-30,89.0,7.0,79.0
2024-09-27,88.0,7.0,80.0
2024-09-22,91.0,9.0,75.0
2024-09-15,89.0,10.0,76.0
2024-09-10,87.0,7.0,81.0
2024-09-08,88.0,8.0,79.0
2024-09-01,90.0,10.0,75.0
2024-08-25,89.0,11.0,75.0
2024-08-18,92.0,12.0,71.0
2024-08-14,83.0,11.0,81.0
2024-08-11,89.0,12.0,74.0
2024-06-23,88.0,12.0,75.0
2024-06-16,89.0,11.0,75.0
2024-06-12,83.0,11.0,81.0
2024-06-09,91.0,10.0,74.0
2024-06-03,88.0,12.0,75.0
2024-06-02,88.0,11.0,76.0
2024-05-26,88.0,13.0,74.0
2024-05-14,85.0,12.0,78.0
2024-05-19,88.0,12.0,75.0
2024-05-14,81.0,8.0,86.0
2024-05-12,88.0,10.0,77.0
2024-05-05,89.0,10.0,77.0
2024-04-29,85.0,10.0,80.0
2024-04-28,91.0,11.0,73.0
2024-04-21,88.0,14.0,73.0
2024-04-14,92.0,12.0,68.0
2024-04-07,92.0,11.0,72.0
2024-03-31,88.0,12.0,75.0
2024-03-25,89.0,10.0,76.0
2024-03-17,88.0,11.0,76.0
2024-03-13,90.0,12.0,73.0
2024-03-10,88.0,12.0,75.0
2024-03-02,87.0,14.0,74.0
2024-02-25,86.0,14.0,75.0
2024-02-18,87.0,13.0,75.0
2024-02-11,85.0,12.0,78.0
2024-02-05,88.0,10.0,77.0
2024-01-31,89.0,10.0,80.0
2024-01-28,90.0,11.0,74.0
2024-01-21,91.0,11.0,73.0
2024-01-14,91.0,12.0,72.0
2023-12-22,90.0,10.0,75.0
2023-12-17,87.0,10.0,78.0
2023-12-13,87.0,11.0,77.0
2023-12-10,86.0,11.0,78.0
2023-12-03,86.0,13.0,76.0
2023-11-19,87.0,14.0,74.0
2023-11-15,85.0,12.0,78.0
2023-11-12,87.0,13.0,75.0
2023-11-05,89.0,14.0,72.0
2023-10-29,88.0,12.0,75.0
2023-10-22,87.0,14.0,74.0
2023-10-15,86.0,14.0,75.0
2023-10-08,86.0,15.0,74.0
2023-10-01,84.0,13.0,78.0
2023-09-29,88.0,13.0,74.0
2023-09-24,85.0,14.0,76.0
2023-09-17,88.0,13.0,74.0
2023-09-10,90.0,15.0,70.0
2023-09-03,89.0,16.0,70.0
2023-08-27,90.0,15.0,70.0
2023-08-23,90.0,13.0,70.0
2023-08-20,88.0,14.0,73.0
2023-08-13,91.0,12.0,72.0
2023-08-06,93.0,12.0,70.0
2023-06-25,87.0,13.0,75.0
2023-06-18,88.0,13.0,74.0
2023-06-13,85.0,12.0,78.0
2023-06-11,86.0,15.0,74.0
2023-05-28,88.0,13.0,74.0
2023-05-21,87.0,12.0,76.0
2023-05-14,92.0,11.0,72.0
2023-05-07,92.0,11.0,72.0
2023-04-30,91.0,13.0,71.0
2023-04-26,88.0,12.0,75.0
2023-04-23,92.0,15.0,68.0
2023-04-17,92.0,14.0,69.0
2023-04-10,88.0,15.0,72.0
2023-04-03,89.0,15.0,71.0
2023-03-28,85.0,16.0,74.0
2023-03-26,89.0,13.0,73.0
2023-03-19,86.0,15.0,74.0
2023-03-12,86.0,14.0,75.0
2023-03-05,81.0,14.0,80.0
2023-02-26,86.0,15.0,74.0
2023-02-20,86.0,13.0,76.0
2023-02-19,89.0,13.0,73.0
2023-02-12,88.0,13.0,74.0
2023-02-05,85.0,14.0,76.0
2023-01-29,88.0,14.0,73.0
2023-01-22,89.0,14.0,72.0
2023-01-15,89.0,15.0,71.0
2023-01-08,91.0,16.0,68.0
2022-12-22,90.0,14.0,71.0
2022-12-18,89.0,16.0,70.0
2022-12-11,89.0,12.0,74.0
2022-12-04,89.0,12.0,74.0
2022-11-27,87.0,15.0,73.0
2022-11-01,87.0,16.0,72.0
