Date,Government,Opposition
2025-01-12,61.0,114.0
2024-12-23,62.0,113.0
2024-12-15,60.0,115.0
2024-12-10,63.0,112.0
2024-12-10,58.0,117.0
2024-12-08,59.0,116.0
2024-12-01,63.0,112.0
2024-11-24,58.0,117.0
2024-11-17,58.0,117.0
2024-11-13,66.0,109.0
2024-11-10,59.0,116.0
2024-11-06,57.0,118.0
2024-11-03,61.0,114.0
2024-10-27,65.0,110.0
2024-10-21,61.0,114.0
2024-10-13,62.0,113.0
2024-09-30,65.0,110.0
2024-09-27,61.0,114.0
2024-09-22,64.0,111.0
2024-09-15,63.0,112.0
2024-09-10,59.0,116.0
2024-09-08,64.0,111.0
2024-09-01,65.0,110.0
2024-08-25,69.0,106.0
2024-08-18,70.0,105.0
2024-08-14,62.0,113.0
2024-08-11,67.0,108.0
2024-06-23,62.0,113.0
2024-06-16,63.0,112.0
2024-06-12,60.0,115.0
2024-06-09,61.0,114.0
2024-06-03,61.0,114.0
2024-06-02,62.0,113.0
2024-05-26,62.0,113.0
2024-05-14,62.0,113.0
2024-05-19,63.0,112.0
2024-05-14,55.0,120.0
2024-05-12,60.0,115.0
2024-05-05,63.0,112.0
2024-04-29,56.0,119.0
2024-04-28,63.0,112.0
2024-04-21,69.0,106.0
2024-04-14,65.0,110.0
2024-04-07,66.0,109.0
2024-03-31,66.0,109.0
2024-03-25,61.0,114.0
2024-03-17,64.0,111.0
2024-03-13,66.0,109.0
2024-03-10,67.0,108.0
2024-03-02,70.0,105.0
2024-02-25,73.0,102.0
2024-02-18,72.0,103.0
2024-02-11,70.0,105.0
2024-02-05,64.0,111.0
2024-01-31,66.0,109.0
2024-01-28,73.0,102.0
2024-01-21,69.0,106.0
2024-01-14,71.0,104.0
2023-12-22,65.0,110.0
2023-12-17,67.0,108.0
2023-12-13,60.0,115.0
2023-12-10,67.0,108.0
2023-12-03,66.0,109.0
2023-11-19,70.0,105.0
2023-11-15,60.0,115.0
2023-11-12,66.0,109.0
2023-11-05,73.0,102.0
2023-10-29,68.0,107.0
2023-10-22,70.0,105.0
2023-10-15,66.0,109.0
2023-10-08,71.0,104.0
2023-10-01,73.0,102.0
2023-09-29,64.0,111.0
2023-09-24,73.0,102.0
2023-09-17,71.0,104.0
2023-09-10,75.0,100.0
2023-09-03,75.0,100.0
2023-08-27,76.0,99.0
2023-08-23,72.0,103.0
2023-08-20,76.0,99.0
2023-08-13,73.0,102.0
2023-08-06,72.0,103.0
2023-06-25,70.0,105.0
2023-06-18,72.0,103.0
2023-06-13,66.0,109.0
2023-06-11,72.0,103.0
2023-05-28,72.0,103.0
2023-05-21,70.0,105.0
2023-05-14,69.0,106.0
2023-05-07,68.0,107.0
2023-04-30,68.0,107.0
2023-04-26,66.0,109.0
2023-04-23,75.0,100.0
2023-04-17,75.0,100.0
2023-04-10,71.0,104.0
2023-04-03,71.0,104.0
2023-03-28,70.0,105.0
2023-03-26,72.0,103.0
2023-03-19,73.0,102.0
2023-03-12,71.0,104.0
2023-03-05,68.0,107.0
2023-02-26,76.0,99.0
2023-02-20,69.0,106.0
2023-02-19,77.0,98.0
2023-02-12,71.0,104.0
2023-02-05,74.0,101.0
2023-01-29,74.0,101.0
2023-01-22,77.0,98.0
2023-01-15,81.0,94.0
2023-01-08,83.0,92.0
2022-12-22,83.0,92.0
2022-12-18,84.0,91.0
2022-12-11,86.0,89.0
2022-12-04,90.0,85.0
2022-11-27,87.0,88.0
2022-11-01,89.0,86.0
