Date,VVD,D66,PVV,CDA,SP,PvdA,GL,FvD,PvdD,CU,Volt,JA21,SGP,DENK,50+,BBB,BIJ1,BVNL,NSC
2023-09-25,27.0,9.0,18.0,4.0,5.0,21.0,21.0,3.0,7.0,5.0,3.0,3.0,3.0,3.0,0.0,13.0,1.0,0.0,25.0
2023-09-22,24.0,7.0,17.0,6.0,4.0,24.0,24.0,5.0,6.0,4.0,4.0,2.0,2.0,2.0,1.0,14.0,0.0,1.0,27.0
2023-09-11,25.0,6.0,14.0,4.0,5.0,27.0,27.0,4.0,7.0,4.0,4.0,1.0,4.0,2.0,1.0,14.0,0.0,0.0,28.0
2023-09-09,26.0,7.0,15.0,6.0,4.0,23.0,23.0,5.0,7.0,3.0,3.0,2.0,2.0,2.0,0.0,16.0,0.0,1.0,28.0
2023-09-04,26.0,10.0,15.0,5.0,3.0,20.0,20.0,3.0,9.0,5.0,3.0,3.0,3.0,3.0,0.0,15.0,0.0,0.0,27.0
2023-09-02,25.0,7.0,15.0,6.0,4.0,23.0,23.0,5.0,7.0,3.0,3.0,1.0,2.0,2.0,0.0,18.0,0.0,1.0,28.0
2023-08-26,25.0,7.0,15.0,5.0,5.0,24.0,24.0,5.0,7.0,3.0,3.0,3.0,2.0,2.0,0.0,14.0,0.0,1.0,29.0
2023-08-24,22.0,7.0,13.0,3.0,5.0,28.0,28.0,3.0,8.0,4.0,3.0,3.0,4.0,3.0,0.0,13.0,0.0,0.0,31.0
2023-08-19,28.0,8.0,19.0,8.0,8.0,26.0,26.0,5.0,9.0,4.0,4.0,3.0,3.0,2.0,1.0,21.0,0.0,1.0,
2023-07-24,28.0,10.0,19.0,6.0,6.0,27.0,27.0,4.0,7.0,5.0,4.0,4.0,3.0,3.0,0.0,24.0,0.0,0.0,
2023-07-17,25.0,9.0,15.0,5.0,7.0,28.0,28.0,4.0,9.0,5.0,8.0,6.0,4.0,2.0,0.0,21.0,1.0,1.0,
2023-07-16,25.0,9.0,15.0,7.0,7.0,25.0,25.0,5.0,8.0,4.0,6.0,6.0,3.0,2.0,1.0,25.0,1.0,1.0,
2023-07-16,25.0,8.0,15.0,7.0,6.0,28.0,28.0,5.0,7.0,4.0,6.0,6.0,3.0,2.0,1.0,25.0,1.0,1.0,
2023-07-01,20.0,10.0,14.0,6.0,8.0,11.0,14.0,5.0,10.0,4.0,6.0,7.0,3.0,2.0,1.0,27.0,1.0,1.0,
2023-06-26,28.0,12.0,15.0,8.0,7.0,9.0,11.0,3.0,10.0,5.0,5.0,6.0,3.0,3.0,1.0,23.0,1.0,0.0,
2023-06-17,20.0,10.0,13.0,6.0,7.0,11.0,14.0,5.0,10.0,4.0,7.0,6.0,3.0,2.0,1.0,29.0,1.0,1.0,
2023-06-12,22.0,10.0,12.0,6.0,8.0,11.0,12.0,4.0,8.0,5.0,7.0,8.0,4.0,2.0,1.0,28.0,1.0,1.0,
2023-05-29,29.0,11.0,14.0,6.0,6.0,9.0,13.0,4.0,10.0,5.0,4.0,6.0,3.0,3.0,1.0,25.0,1.0,0.0,
2023-05-20,18.0,10.0,10.0,7.0,7.0,11.0,14.0,5.0,9.0,4.0,7.0,6.0,3.0,2.0,1.0,34.0,1.0,1.0,
2023-05-15,24.0,9.0,13.0,5.0,7.0,11.0,12.0,3.0,12.0,5.0,6.0,7.0,4.0,2.0,2.0,27.0,0.0,1.0,
2023-05-06,18.0,10.0,10.0,7.0,7.0,11.0,14.0,5.0,9.0,4.0,6.0,6.0,3.0,2.0,1.0,35.0,1.0,1.0,
2023-04-24,26.0,10.0,11.0,6.0,8.0,10.0,12.0,4.0,11.0,5.0,5.0,5.0,3.0,3.0,0.0,30.0,1.0,0.0,
2023-04-22,17.0,10.0,9.0,7.0,7.0,12.0,15.0,5.0,9.0,4.0,6.0,6.0,3.0,1.0,1.0,36.0,1.0,1.0,
2023-04-17,19.0,10.0,13.0,7.0,7.0,12.0,13.0,3.0,9.0,4.0,7.0,8.0,3.0,2.0,1.0,31.0,1.0,0.0,
2023-04-01,18.0,10.0,9.0,6.0,7.0,12.0,15.0,5.0,9.0,4.0,5.0,6.0,3.0,1.0,2.0,36.0,1.0,1.0,
