Date,VVD,D66,PVV,PvdA-GL,CDA,SP,FvD,PvdD,CU,Volt,JA21,SGP,DENK,50+,BBB,BIJ1,BVNL
2023-06-26,0.181,0.077,0.096,0.127,0.051,0.048,0.022,0.063,0.037,0.036,0.04,0.019,0.022,0.007,0.145,0.012,
2023-06-12,0.137,0.066,0.08,0.149,0.042,0.051,0.027,0.055,0.033,0.047,0.055,0.026,0.014,0.007,0.175,0.007,0.007
2023-05-29,0.19,0.073,0.091,0.14300000000000002,0.041,0.041,0.027,0.063,0.033,0.026,0.038,0.022,0.021,0.007,0.162,0.012,
2023-05-15,0.149,0.059,0.086,0.147,0.032,0.045,0.019,0.079,0.036,0.043,0.049,0.026,0.016,0.015,0.168,0.003,0.01
2023-04-24,0.168,0.067,0.07,0.14600000000000002,0.042,0.05,0.025,0.069,0.036,0.033,0.032,0.023,0.022,0.004,0.191,0.007,
2023-04-17,0.118,0.062,0.08,0.158,0.046,0.046,0.023,0.06,0.028,0.045,0.053,0.024,0.016,0.008,0.193,0.008,0.004
2023-03-27,0.172,0.077,0.078,0.14400000000000002,0.046,0.049,0.03,0.051,0.025,0.029,0.043,0.023,0.024,0.009,0.179,0.008,
2023-03-15,0.112,0.063,0.057,0.17099999999999999,0.066,0.042,0.031,0.048,0.037,0.03,0.044,0.025,0.006,0.023,0.192,,0.01
2023-02-27,0.186,0.094,0.105,0.128,0.06,0.054,0.03,0.057,0.031,0.028,0.057,0.023,0.024,0.008,0.094,0.009,
2023-02-13,0.148,0.076,0.114,0.162,0.048,0.056,0.031,0.062,0.033,0.024,0.066,0.028,0.019,0.005,0.09,0.007,0.004
2023-01-30,0.185,0.098,0.112,0.129,0.071,0.051,0.035,0.061,0.031,0.026,0.068,0.021,0.02,0.006,0.065,0.007,
2023-01-16,0.15,0.081,0.115,0.14,0.039,0.064,0.029,0.054,0.036,0.033,0.076,0.031,0.024,0.003,0.075,0.01,0.008
2022-12-19,0.169,0.087,0.118,0.15000000000000002,0.06,0.053,0.023,0.05,0.033,0.034,0.06,0.026,0.019,0.006,0.084,0.01,
2022-12-12,0.129,0.073,0.114,0.15200000000000002,0.043,0.056,0.025,0.062,0.037,0.035,0.084,0.034,0.01,0.01,0.085,0.012,0.003
2022-11-28,0.172,0.11,0.12,0.14,0.054,0.057,0.014,0.058,0.031,0.031,0.058,0.02,0.02,0.006,0.079,0.013,
2022-11-14,0.136,0.078,0.116,0.158,0.046,0.057,0.032,0.052,0.041,0.026,0.074,0.028,0.015,0.012,0.084,0.01,0.008
2022-10-24,0.173,0.103,0.134,0.131,0.05,0.055,0.019,0.064,0.029,0.03,0.057,0.023,0.021,0.005,0.076,0.011,
2022-10-17,0.132,0.08,0.124,0.151,0.044,0.062,0.032,0.065,0.034,0.034,0.067,0.032,0.017,0.007,0.091,0.012,0.01
2022-09-26,0.161,0.1,0.125,0.15,0.057,0.048,0.024,0.064,0.03,0.02,0.052,0.023,0.022,0.006,0.094,0.009,
2022-09-12,0.146,0.096,0.107,0.153,0.041,0.051,0.038,0.049,0.033,0.036,0.078,0.026,0.016,0.008,0.099,0.011,0.01
2022-08-29,0.171,0.113,0.115,0.126,0.058,0.048,0.027,0.058,0.034,0.015,0.061,0.023,0.022,0.006,0.101,0.007,
2022-07-25,0.187,0.11,0.115,0.121,0.056,0.051,0.028,0.061,0.034,0.021,0.042,0.023,0.027,0.005,0.096,0.009,
2022-07-18,0.14,0.087,0.1,0.138,0.039,0.059,0.028,0.064,0.036,0.032,0.058,0.029,0.022,0.011,0.115,0.012,0.009
2022-06-27,0.194,0.102,0.103,0.136,0.058,0.059,0.036,0.053,0.033,0.029,0.039,0.024,0.027,0.007,0.078,0.008,
