Date,PVV,PvdA-GL,VVD,NSC,D66,BBB,CDA,SP,DENK,PvdD,FvD,SGP,CU,Volt,JA21
2024-06-06,43.0,25.0,19.0,8.0,10.0,8.0,10.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0
2024-06-01,42.0,25.0,19.0,7.0,10.0,8.0,10.0,6.0,3.0,4.0,5.0,3.0,3.0,4.0,1.0
2024-05-27,48.0,24.0,19.0,11.0,10.0,7.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,1.0
2024-05-18,45.0,25.0,18.0,7.0,10.0,8.0,10.0,6.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0
2024-05-12,47.0,26.0,18.0,8.0,10.0,6.0,7.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,1.0
2024-05-04,46.0,25.0,17.0,8.0,10.0,8.0,9.0,7.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0
2024-04-29,45.0,23.0,20.0,11.0,11.0,8.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0
2024-04-19,50.0,25.0,15.0,8.0,10.0,7.0,9.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
2024-03-25,49.0,24.0,20.0,11.0,10.0,6.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0
2024-03-22,49.0,25.0,15.0,9.0,10.0,7.0,9.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
2024-03-08,49.0,25.0,15.0,10.0,10.0,7.0,9.0,7.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0
2024-02-26,49.0,25.0,19.0,11.0,11.0,8.0,6.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0
2024-02-12,49.0,25.0,17.0,9.0,9.0,7.0,7.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,1.0
2024-02-09,52.0,25.0,13.0,11.0,10.0,8.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0
2024-02-03,50.0,25.0,13.0,15.0,10.0,7.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0
2024-01-29,45.0,25.0,19.0,18.0,11.0,6.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0
2024-01-20,49.0,23.0,12.0,17.0,10.0,9.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
2023-12-22,48.0,22.0,13.0,18.0,11.0,9.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
2023-12-18,47.0,22.0,18.0,19.0,9.0,8.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,0.0
2023-12-11,43.0,23.0,16.0,20.0,10.0,8.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,4.0,0.0
2023-12-02,42.0,22.0,16.0,19.0,11.0,10.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
2023-11-22,37.0,25.0,24.0,20.0,9.0,7.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0
