Date,VVD,D66,PVV,CDA,SP,PvdA,GL,FvD,PvdD,CU,Volt,JA21,SGP,DENK,50+,BBB,BIJ1,BVNL
2023-01-16,15.0%,8.1%,11.5%,3.9%,6.4%,5.9%,8.1%,2.9%,5.4%,3.6%,3.3%,7.6%,3.1%,2.4%,0.3%,7.5%,1.0%,0.8%
2022-12-19,16.9%,8.7%,11.8%,6.0%,5.3%,7.0%,8.0%,2.3%,5.0%,3.3%,3.4%,6.0%,2.6%,1.9%,0.6%,8.4%,1.0%,–
2022-12-12,12.9%,7.3%,11.4%,4.3%,5.6%,6.8%,8.4%,2.5%,6.2%,3.7%,3.5%,8.4%,3.4%,1.0%,1.0%,8.5%,1.2%,0.3%
2022-11-28,17.2%,11.0%,12.0%,5.4%,5.7%,6.5%,7.5%,1.4%,5.8%,3.1%,3.1%,5.8%,2.0%,2.0%,0.6%,7.9%,1.3%,–
2022-11-14,13.6%,7.8%,11.6%,4.6%,5.7%,6.7%,9.1%,3.2%,5.2%,4.1%,2.6%,7.4%,2.8%,1.5%,1.2%,8.4%,1.0%,0.8%
2022-10-24,17.3%,10.3%,13.4%,5.0%,5.5%,6.9%,6.2%,1.9%,6.4%,2.9%,3.0%,5.7%,2.3%,2.1%,0.5%,7.6%,1.1%,–
2022-10-17,13.2%,8.0%,12.4%,4.4%,6.2%,7.1%,8.0%,3.2%,6.5%,3.4%,3.4%,6.7%,3.2%,1.7%,0.7%,9.1%,1.2%,1.0%
2022-09-26,16.1%,10.0%,12.5%,5.7%,4.8%,7.8%,7.2%,2.4%,6.4%,3.0%,2.0%,5.2%,2.3%,2.2%,0.6%,9.4%,0.9%,–
2022-09-12,14.6%,9.6%,10.7%,4.1%,5.1%,7.4%,7.9%,3.8%,4.9%,3.3%,3.6%,7.8%,2.6%,1.6%,0.8%,9.9%,1.1%,1.0%
2022-08-29,17.1%,11.3%,11.5%,5.8%,4.8%,5.5%,7.1%,2.7%,5.8%,3.4%,1.5%,6.1%,2.3%,2.2%,0.6%,10.1%,0.7%,–
2022-07-25,18.7%,11.0%,11.5%,5.6%,5.1%,5.8%,6.3%,2.8%,6.1%,3.4%,2.1%,4.2%,2.3%,2.7%,0.5%,9.6%,0.9%,–
2022-07-18,14.0%,8.7%,10.0%,3.9%,5.9%,6.3%,7.5%,2.8%,6.4%,3.6%,3.2%,5.8%,2.9%,2.2%,1.1%,11.5%,1.2%,0.9%
2022-06-27,19.4%,10.2%,10.3%,5.8%,5.9%,6.3%,7.3%,3.6%,5.3%,3.3%,2.9%,3.9%,2.4%,2.7%,0.7%,7.8%,0.8%,–
2022-06-13,15.3%,8.7%,9.5%,5.5%,6.2%,7.2%,7.6%,2.9%,5.5%,3.8%,3.7%,6.7%,3.1%,2.1%,0.4%,7.7%,1.5%,0.3%
2022-05-30,20.7%,9.3%,10.8%,7.2%,5.5%,6.9%,6.8%,3.2%,5.8%,4.0%,3.5%,4.4%,2.2%,2.5%,0.7%,4.8%,0.7%,–
2022-05-27,19.0%,8.0%,10.0%,6.0%,4.0%,9.0%,8.0%,3.0%,5.0%,4.0%,4.0%,4.0%,3.0%,3.0%,1.0%,8.0%,1.0%,–
2022-05-16,17.4%,8.3%,9.7%,5.2%,5.3%,6.7%,8.7%,3.3%,5.3%,4.1%,3.3%,6.6%,2.7%,2.1%,0.7%,5.5%,1.0%,1.0%
