Date,Left,S&D,G/EFA,Renew,EPP,ECR,PfE,ESN,NI,Other
2025-05-22,49,130,40,76,179,79,100,35,23,9.0
2025-05-20,58,134,35,79,183,75,95,38,23,
2025-04-27,53,131,37,73,179,81,101,37,28,
2025-04-25,58,130,33,79,176,79,102,37,24,2.0
2025-03-29,55,129,33,85,175,78,103,33,25,4.0
2025-03-27,52,131,41,73,177,79,99,33,24,11.0
2025-02-28,54,131,34,85,174,79,104,31,24,4.0
2025-01-30,48,130,43,81,185,77,93,29,24,10.0
2025-01-25,49,131,36,85,177,81,104,29,22,6.0
2024-12-24,49,131,37,84,179,76,104,29,25,6.0
2024-12-02,43,131,41,83,186,73,100,27,24,12.0
2024-11-30,53,134,36,81,183,77,100,29,24,3.0
2024-10-31,52,137,34,82,183,76,98,28,28,2.0
2024-10-07,44,136,41,79,186,74,96,26,29,9.0
2024-09-30,46,141,40,73,185,82,93,27,31,2.0
2024-08-31,45,140,44,72,186,80,92,26,32,3.0
2024-08-12,44,137,45,77,191,73,88,25,31,9.0
2024-06-06,46,136,53,77,188,78,84,25,33,
