Date,Government,Opposition
2024-02-16,48.60000000000001,51.39999999999999
2024-02-06,49.4,50.6
2024-01-12,47.8,52.2
2024-01-02,48.5,51.5
2023-12-10,47.4,52.6
2023-11-28,46.7,53.3
2023-11-03,45.8,54.2
2023-10-31,45.1,54.9
2023-10-06,47.2,52.8
2023-10-03,46.7,53.3
2023-09-08,47.7,52.3
2023-09-05,48.1,51.9
2023-08-11,48.5,51.5
2023-08-01,46.9,53.1
2023-07-15,50.199999999999996,49.800000000000004
2023-07-04,50.199999999999996,49.800000000000004
2023-06-15,50.6,49.4
2023-06-06,52.0,48.0
2023-05-12,51.0,49.0
2023-05-02,50.6,49.4
2023-04-02,49.400000000000006,50.599999999999994
