Date,KOK,PS,SDP,KESK,VAS,VIHR,SFP,KD,LIIK
2024-09-13,20.6,15.6,22.0,12.0,8.9,8.3,4.2,4.1,1.8
2024-09-03,21.9,16.7,22.3,10.8,9.3,8.2,3.6,4.1,1.6
2024-08-16,20.2,15.0,20.9,12.9,10.1,8.0,4.3,4.2,2.2
2024-08-06,21.6,15.9,20.4,11.9,10.9,8.9,3.6,3.7,1.0
2024-07-12,20.8,15.6,20.8,11.8,10.0,8.2,4.6,3.8,2.2
2024-07-02,21.2,15.3,20.1,12.2,11.6,8.3,3.9,3.7,1.9
2024-06-14,20.0,14.9,21.2,12.2,9.9,8.4,4.5,4.3,2.3
2024-06-04,22.3,14.8,23.0,11.5,9.5,8.0,3.7,3.7,0.8
2024-05-17,19.9,16.2,22.7,12.1,9.0,7.8,3.4,4.2,2.2
2024-05-07,21.3,15.6,24.4,11.5,8.8,7.7,3.4,4.0,1.8
2024-04-12,19.9,17.8,21.6,11.3,9.3,8.1,3.8,4.1,2.0
2024-04-02,20.6,17.4,21.7,12.0,9.5,8.3,3.4,3.6,1.7
2024-03-15,20.7,18.9,19.6,11.7,9.0,8.1,3.8,3.9,2.3
2024-03-05,21.6,18.0,19.8,12.2,9.0,8.9,3.7,3.1,1.9
2024-02-16,21.3,19.6,19.6,11.1,8.9,8.1,3.6,4.1,1.7
2024-02-06,22.4,20.0,20.4,10.8,8.5,8.2,3.4,3.6,1.4
2024-01-12,21.7,18.0,20.5,10.1,8.4,8.9,3.8,4.3,2.0
2024-01-02,22.9,17.6,21.0,10.1,8.6,7.7,3.9,4.1,2.1
2023-12-10,21.4,17.9,20.8,9.9,9.1,8.5,4.1,4.0,2.2
2023-11-28,22.6,17.0,22.3,10.5,8.6,8.4,3.5,3.6,1.9
2023-11-03,20.6,17.2,21.5,10.2,9.1,8.8,4.1,3.9,2.1
2023-10-31,20.2,17.3,23.5,10.4,8.5,8.7,4.2,3.4,2.2
2023-10-06,21.0,18.0,20.7,10.1,9.1,8.4,4.2,4.0,1.8
2023-10-03,21.5,17.5,20.8,10.7,9.8,9.1,4.0,3.7,1.2
2023-09-08,21.0,18.4,21.6,9.8,8.3,8.6,4.2,4.1,1.8
2023-09-05,21.2,18.5,21.4,11.5,8.0,7.7,4.4,4.0,1.3
2023-08-11,21.4,19.0,21.5,9.5,8.0,8.1,4.4,3.7,2.0
2023-08-01,19.8,19.2,22.8,10.7,8.5,8.0,3.9,4.0,1.4
2023-07-15,22.0,19.8,19.4,9.8,8.1,8.0,4.5,3.9,2.1
2023-07-04,22.1,20.2,20.6,10.0,7.8,8.6,4.1,3.8,1.2
2023-06-15,21.3,20.9,19.2,10.2,8.0,7.7,4.4,4.0,2.0
2023-06-06,22.5,21.0,19.6,9.7,7.5,7.3,4.5,4.0,1.7
2023-05-12,21.4,21.0,19.0,10.1,7.8,7.7,4.5,4.1,1.9
2023-05-02,21.6,20.6,19.9,10.2,7.5,7.5,4.3,4.1,2.0
2023-04-02,20.8,20.1,19.9,11.3,7.1,7.0,4.3,4.2,2.4
