Date,PCF,LFI,PS,EELV,EAC,PA,ENS,LR,RN,REC
2024-06-01,3.0,9.0,13.0,6.0,0.5,2.0,14.5,7.5,32.0,5.0
2024-06-01,2.5,7.5,14.0,6.0,0.5,2.0,15.5,7.0,33.5,6.0
2024-05-31,3.0,8.5,13.0,7.0,0.5,2.0,16.0,6.5,32.5,5.0
2024-05-31,3.0,8.5,13.5,5.5,0.5,2.0,14.5,7.0,32.0,5.5
2024-05-31,3.0,7.0,14.0,6.5,0.5,2.0,15.5,7.0,33.5,6.5
2024-05-30,2.0,6.0,14.0,5.0,1.0,2.0,15.0,7.0,33.0,6.0
2024-05-30,2.0,8.0,13.5,5.0,0.5,2.5,15.5,7.0,30.0,6.0
2024-05-30,3.0,8.0,13.5,5.5,0.5,1.5,14.5,7.0,33.0,5.5
2024-05-30,2.0,8.0,14.5,6.0,0.5,1.5,16.0,7.0,33.0,5.0
2024-05-30,3.0,7.0,14.0,6.5,0.5,1.5,16.0,7.0,33.5,6.5
2024-05-29,2.0,6.0,14.0,5.0,,2.0,15.0,7.0,32.0,7.0
2024-05-29,3.0,8.0,14.0,5.5,0.5,1.0,14.5,7.0,32.5,5.0
2024-05-29,3.0,7.0,14.0,6.5,0.5,1.5,16.0,7.0,33.5,6.5
2024-05-28,3.0,8.5,14.0,5.0,0.5,1.0,15.0,7.5,32.0,5.0
2024-05-28,2.5,7.5,14.0,6.0,0.5,1.0,15.5,7.0,34.0,6.0
2024-05-27,3.0,8.5,14.0,5.0,0.5,1.0,14.5,7.0,32.0,5.0
2024-05-27,2.0,7.5,14.5,5.5,0.5,1.0,16.0,7.5,33.5,6.0
2024-05-25,2.0,8.0,13.0,6.0,1.0,2.0,15.5,7.0,33.0,5.5
2024-05-24,2.5,7.0,13.5,6.0,0.5,1.5,15.0,7.0,34.0,4.0
2024-05-24,2.0,7.5,14.5,5.0,0.5,1.5,16.0,7.5,33.0,6.5
2024-05-24,2.0,7.0,13.0,5.0,1.0,1.0,15.0,8.0,32.0,7.0
2024-05-23,2.0,7.0,15.0,5.0,0.5,2.0,16.0,7.5,33.0,6.0
2024-05-22,2.0,8.0,14.0,5.0,0.5,2.0,16.0,6.5,29.0,6.0
2024-05-22,2.0,7.0,13.0,5.0,,1.0,16.0,8.0,32.0,7.0
2024-05-22,2.0,7.5,15.0,5.5,0.5,1.5,16.0,7.5,32.5,6.0
2024-05-21,1.0,6.5,14.0,7.0,1.0,1.5,17.0,6.5,32.0,6.0
2024-05-21,2.0,7.5,15.0,5.5,0.5,1.5,16.5,7.5,32.0,6.0
2024-05-17,1.5,7.5,13.0,7.5,1.0,1.0,15.5,7.5,32.0,5.5
2024-05-17,2.5,7.0,14.5,5.5,1.0,1.5,16.5,8.0,32.0,6.0
2024-05-17,2.5,8.0,14.5,5.0,0.5,1.0,15.0,7.5,31.5,5.5
2024-05-16,2.5,8.0,13.0,6.5,1.0,2.0,17.0,6.0,31.0,6.0
