Date,EXG,NFP,DVG,ENS,LR,DVD,RN,REC,DIV
2024-06-24,1.0,27.0,1.0,20.0,2.0,7.0,33.0,2.0,1.5
2024-06-24,1.0,29.5,1.0,20.5,7.0,7.0,36.0,1.0,3.0
2024-06-22,1.5,29.0,1.0,21.0,7.0,7.0,35.5,1.0,3.0
2024-06-21,1.0,27.0,2.0,20.0,10.0,10.0,36.0,1.5,1.5
2024-06-21,1.0,29.0,1.0,21.5,6.5,6.5,35.0,1.5,3.5
2024-06-20,1.0,26.0,1.0,21.0,2.0,6.0,33.0,3.0,3.5
2024-06-20,1.5,29.5,1.0,19.5,1.5,7.0,31.5,2.0,1.5
2024-06-20,2.0,28.0,3.0,19.0,1.0,7.0,33.0,3.5,2.0
2024-06-20,1.0,28.0,1.0,22.0,3.0,6.0,35.0,1.0,3.0
2024-06-20,1.0,29.0,1.0,22.0,6.0,6.0,34.0,2.0,4.0
2024-06-20,,27.0,2.0,20.0,2.0,7.0,35.0,2.0,4.0
2024-06-19,1.0,30.0,3.0,19.0,2.5,7.0,32.0,2.5,3.0
2024-06-17,1.5,28.0,3.0,18.0,2.0,5.0,33.0,3.0,2.0
2024-06-14,1.0,26.0,3.5,19.0,1.5,7.0,35.0,3.0,3.0
2024-06-13,1.0,25.0,2.0,20.0,2.0,7.0,33.0,3.0,5.0
2024-06-13,1.0,28.5,3.0,18.0,2.5,7.0,29.5,3.5,2.0
2024-06-12,1.0,28.0,5.0,18.0,2.0,6.5,31.0,4.0,4.5
2024-06-12,1.0,25.0,3.0,19.0,1.0,9.0,32.0,4.0,5.0
2024-06-11,1.0,25.0,5.0,18.0,1.5,9.0,35.0,4.0,1.0
2024-06-10,1.0,23.0,4.0,18.0,2.0,8.0,33.0,5.0,4.0
2024-06-10,3.0,22.0,9.0,19.0,9.0,9.0,34.0,4.0,
2022-06-19,1.19,26.16,3.3,25.8,11.3,1.92,18.68,4.25,3.8
