Date,Macron Approve,Macron Disapprove,Macron Unsure
2022-11-17,0.35,0.62,0.03
2022-06-23,0.38,0.61,0.01
2022-02-24,0.42,0.58,0.0
2022-02-24,0.51,0.49,0.0
2022-02-17,0.39,0.59,0.02
2022-02-16,0.41,0.57,0.02
2022-02-12,0.43,0.54,0.03
2022-02-12,0.35,0.6,0.05
2022-01-28,0.4,0.6,0.0
2022-01-27,0.51,0.49,0.0
2022-01-20,0.39,0.61,0.0
2022-01-20,0.38,0.62,0.0
2022-01-20,0.37,0.6,0.03
2022-01-11,0.32,0.63,0.05
,0.4,0.56,0.04
,0.43,0.57,0.0
2021-12-23,0.51,0.49,0.0
2021-12-16,0.44,0.56,0.0
2021-12-16,0.41,0.55,0.04
2021-12-11,0.41,0.52,0.07
,0.44,0.56,0.0
,0.36,0.58,0.06
2021-11-26,0.43,0.57,0.0
2021-11-25,0.42,0.58,0.0
2021-11-25,0.51,0.49,0.0
2021-11-18,0.44,0.56,0.0
2021-11-18,0.4,0.57,0.03
2021-11-23,0.34,0.6,0.06
2021-10-29,0.39,0.61,0.0
2021-10-28,0.48,0.52,0.0
2021-10-21,0.4,0.6,0.0
2021-10-21,0.42,0.58,0.0
2021-10-15,0.4,0.58,0.02
,0.4,0.56,0.04
,0.35,0.58,0.07
,0.39,0.61,0.0
2021-09-30,0.5,0.5,0.0
2021-09-23,0.42,0.58,0.0
2021-09-23,0.46,0.53,0.01
2021-09-16,0.38,0.59,0.03
,0.4,0.53,0.07
2021-09-01,0.37,0.57,0.06
2021-08-27,0.38,0.62,0.0
2021-08-26,0.4,0.6,0.0
2021-08-26,0.48,0.52,0.0
2021-08-20,0.41,0.59,0.0
2021-07-27,0.47,0.53,0.0
2021-07-16,0.39,0.61,0.0
2021-07-15,0.38,0.62,0.0
2021-07-10,0.39,0.55,0.06
,0.36,0.59,0.05
,0.39,0.6,0.01
2021-06-25,0.41,0.59,0.0
2021-06-24,0.41,0.58,0.01
2021-06-24,0.5,0.5,0.0
2021-06-12,0.36,0.58,0.06
2021-05-29,0.4,0.57,0.03
2021-05-28,0.41,0.59,0.0
2021-05-27,0.48,0.52,0.0
2021-05-21,0.41,0.58,0.01
2021-05-20,0.42,0.58,0.0
2021-05-20,0.4,0.58,0.02
,0.33,0.62,0.05
2021-04-29,0.41,0.59,0.0
2021-04-29,0.46,0.54,0.0
2021-04-22,0.38,0.61,0.01
2021-04-22,0.39,0.6,0.01
2021-04-15,0.37,0.6,0.03
2021-04-10,0.37,0.58,0.05
,0.33,0.63,0.04
2021-03-26,0.39,0.61,0.0
2021-03-25,0.39,0.61,0.0
2021-03-25,0.46,0.54,0.0
2021-03-18,0.39,0.61,0.0
2021-03-18,0.37,0.6,0.03
,0.41,0.53,0.06
2021-03-23,0.34,0.6,0.06
2021-02-26,0.41,0.58,0.01
2021-02-25,0.48,0.52,0.0
2021-02-18,0.41,0.59,0.0
2021-02-18,0.42,0.58,0.0
2021-02-18,0.41,0.56,0.03
,0.41,0.59,0.0
2021-02-23,0.36,0.6,0.04
2021-01-28,0.45,0.55,0.0
2021-01-23,0.35,0.6,0.03
