Date,GD,UNM,FG,C4C,SG,Girchi,GLP,APG,Other
2024-10-26,53.064,9.847,8.222,11.176,8.998,3.215,0.752,2.527,2.1989999999999963
2024-10-20,35.0,16.0,8.0,19.0,9.0,3.0,2.0,3.0,5.0
2024-10-18,34.0,18.0,11.0,14.0,10.0,4.0,5.0,3.0,1.0
2024-10-08,36.0,14.0,10.0,18.0,8.0,3.0,2.0,3.0,6.0
2024-09-29,33.0,19.0,11.0,13.0,12.0,4.0,4.0,3.0,1.0
2024-09-22,32.0,20.0,11.9,11.9,9.9,4.7,5.0,3.6,1.0
2024-09-15,32.3,20.0,10.5,10.9,9.3,6.0,5.1,3.6,2.3
2024-09-08,34.0,19.2,10.6,9.1,9.9,5.9,5.1,3.0,3.3
2024-07-24,32.4,19.2,11.2,9.9,15.0,5.2,3.3,2.6,1.3
2024-07-01,35.199999999999996,21.299999999999997,6.9,17.5,11.9,1.9,1.8,3.0,0.3
2024-04-10,38.0,21.1,5.2,15.5,8.7,1.7,2.7,2.8000000000000003,3.9
2023-12-22,39.1,22.2,8.8,5.0,12.1,2.9,4.7,4.7,0.5
2023-11-06,40.0,22.0,9.0,4.0,12.0,4.0,4.0,5.0,1.0
2023-10-14,26.0,17.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0
2023-09-24,40.0,23.0,10.0,4.0,4.0,4.0,4.0,4.0,1.0
2023-06-14,39.0,29.0,6.0,6.0,9.0,3.0,5.0,3.0,
2023-03-23,20.0,17.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0
2022-10-02,25.0,13.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0
2022-03-24,31.0,18.0,4.0,3.0,2.0,,2.0,1.0,2.0
2020-10-31,48.22,34.12,0.16,,4.48,2.89,1.0,3.5700000000000003,5.54
