Date,Union,SPD,Grüne,FDP,Linke,Others
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9
2005-09-16,41.5,32.5,7.0,8.0,8.5,2.5
2005-09-13,41.7,32.9,7.2,7.0,8.5,2.7
2005-09-09,41.5,32.7,7.2,7.0,8.9,2.7
2005-09-02,41.7,29.6,8.1,8.0,9.7,2.9
2005-08-27,43.5,28.1,7.7,7.8,10.1,2.8
2005-08-23,41.8,27.9,8.1,8.7,10.3,3.2
2005-08-16,41.9,27.9,8.0,8.4,10.5,3.3
2005-07-19,45.2,26.4,8.2,8.0,9.2,3.0
2005-06-15,46.9,27.4,9.2,8.1,4.8,3.6
2005-05-18,44.1,28.6,9.8,8.2,5.4,3.9
2005-04-20,44.0,29.3,9.3,8.5,5.1,3.8
2005-03-16,41.0,31.5,9.4,8.8,5.1,4.2
2005-02-16,37.2,32.9,11.1,8.8,5.7,4.3
2005-01-26,38.9,30.6,11.1,8.6,6.1,4.7
2004-12-15,39.7,30.1,11.9,8.4,6.0,3.9
2004-11-18,38.9,30.9,10.9,8.8,5.8,4.7
2004-10-20,41.5,27.0,12.1,8.4,6.3,4.7
2004-09-15,44.6,23.7,11.4,8.0,7.5,4.8
2004-08-17,42.9,25.3,11.3,8.2,7.4,4.9
2004-07-21,44.2,24.2,12.2,8.5,6.0,4.9
2004-06-16,45.9,25.0,10.8,7.9,5.4,5.0
2004-05-19,46.7,24.5,11.9,7.9,5.1,3.9
2004-04-21,47.1,24.5,11.5,8.3,5.3,3.3
2004-03-17,47.2,23.8,11.9,8.1,4.8,4.2
2004-02-18,47.8,24.2,10.4,8.4,5.2,4.0
2004-01-28,46.9,25.3,10.6,7.9,5.2,4.1
2003-12-17,47.4,25.5,11.4,7.8,4.8,3.1
2003-11-12,46.9,26.1,11.1,7.4,4.8,3.7
2003-10-15,46.8,26.9,11.2,7.8,4.3,3.0
2003-09-17,43.7,30.8,9.7,7.9,4.6,3.3
2003-08-20,43.7,31.0,9.9,7.6,4.3,3.5
2003-07-23,42.9,30.6,10.0,7.8,4.4,4.3
2003-06-18,43.1,29.9,10.7,7.8,4.0,4.5
2003-05-14,43.9,29.4,11.3,8.9,4.2,2.3
2003-04-16,43.6,30.6,10.4,8.8,4.2,2.4
2003-03-19,46.3,27.4,10.9,8.8,4.2,2.4
2003-02-19,47.0,27.6,9.8,8.6,4.2,2.8
2003-01-29,45.0,31.4,8.3,8.3,4.4,2.6
2002-12-18,47.6,26.4,10.5,7.3,5.0,3.2
2002-11-15,44.1,32.3,9.4,6.8,4.0,3.4
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9
2005-09-09,41.0,34.0,7.0,7.0,8.0,3.0
2005-09-02,43.0,32.0,7.0,7.0,8.0,3.0
2005-08-26,43.0,30.0,8.0,8.0,8.0,3.0
2005-08-19,43.0,29.0,9.0,8.0,8.0,3.0
2005-08-12,42.0,29.0,9.0,8.0,9.0,3.0
2005-08-05,42.0,28.0,9.0,8.0,9.0,4.0
2005-07-22,43.0,26.0,10.0,7.0,10.0,4.0
2005-07-08,44.0,27.0,9.0,7.0,8.0,5.0
2005-06-24,44.0,27.0,9.0,7.0,8.0,5.0
2005-06-10,44.0,29.0,8.0,7.0,5.0,7.0
2005-05-27,45.0,30.0,8.0,6.0,5.0,6.0
2005-04-29,44.0,30.0,9.0,6.0,5.0,6.0
2005-04-15,43.0,31.0,9.0,6.0,5.0,6.0
2005-03-18,42.0,31.0,10.0,6.0,5.0,6.0
2005-02-25,41.0,32.0,9.0,7.0,5.0,6.0
2005-01-28,40.0,32.0,10.0,7.0,5.0,6.0
2005-01-14,39.0,32.0,10.0,7.0,6.0,6.0
2004-12-10,41.0,30.0,10.0,7.0,6.0,6.0
2004-11-26,41.0,30.0,10.0,7.0,6.0,6.0
2004-11-12,41.0,29.0,11.0,7.0,6.0,6.0
2004-10-29,40.0,30.0,11.0,7.0,6.0,6.0
2004-10-15,42.0,28.0,11.0,6.0,6.0,7.0
2004-09-24,44.0,27.0,10.0,6.0,6.0,7.0
2004-08-27,45.0,26.0,10.0,6.0,6.0,7.0
2004-07-23,45.0,26.0,11.0,7.0,5.0,6.0
2004-07-09,46.0,25.0,12.0,7.0,5.0,5.0
2004-06-25,46.0,27.0,11.0,7.0,5.0,4.0
2004-05-28,48.0,29.0,9.0,6.0,4.0,4.0
2004-05-14,48.0,28.0,10.0,6.0,4.0,4.0
2004-04-23,48.0,29.0,10.0,5.0,4.0,4.0
2004-04-02,48.0,29.0,10.0,5.0,4.0,4.0
2004-03-19,48.0,29.0,10.0,5.0,4.0,4.0
2004-03-05,49.0,28.0,10.0,5.0,4.0,4.0
2004-02-13,48.0,29.0,10.0,5.0,4.0,4.0
2004-01-16,48.0,28.0,10.0,5.0,4.0,5.0
2003-12-12,48.0,28.0,10.0,5.0,4.0,5.0
2003-11-28,48.0,29.0,10.0,5.0,4.0,4.0
2003-11-14,48.0,29.0,10.0,5.0,4.0,4.0
2003-10-24,48.0,29.0,9.0,6.0,4.0,4.0
2003-10-10,47.0,30.0,10.0,6.0,3.0,4.0
2003-09-12,45.0,30.0,10.0,7.0,4.0,4.0
2003-08-22,45.0,31.0,10.0,6.0,4.0,4.0
2003-07-18,46.0,32.0,8.0,6.0,4.0,4.0
2003-06-27,47.0,30.0,9.0,6.0,4.0,4.0
2003-06-06,46.0,31.0,9.0,6.0,4.0,4.0
2003-05-16,46.0,31.0,9.0,6.0,4.0,4.0
2003-05-02,46.0,32.0,9.0,6.0,4.0,3.0
2003-04-11,45.0,33.0,9.0,6.0,4.0,3.0
2003-03-28,47.0,32.0,9.0,5.0,4.0,3.0
2003-03-14,48.0,31.0,9.0,5.0,4.0,3.0
2003-02-21,48.0,30.0,9.0,6.0,4.0,3.0
2003-02-07,48.0,30.0,9.0,6.0,4.0,3.0
2003-01-24,47.0,31.0,9.0,5.0,4.0,4.0
2002-12-13,46.0,32.0,9.0,5.0,4.0,4.0
2002-11-15,44.0,34.0,9.0,5.0,4.0,4.0
2002-10-18,40.0,38.0,8.0,6.0,4.0,4.0
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9
2005-07-12,35.0,32.0,9.0,10.0,10.0,4.0
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9
2005-09-13,42.0,33.5,7.0,6.5,8.0,3.0
2005-09-10,40.5,34.5,7.0,7.0,8.0,3.0
2005-09-08,42.0,33.0,7.0,7.0,9.0,2.0
2005-09-07,42.0,32.0,7.0,7.0,9.0,3.0
2005-09-01,42.0,31.0,7.0,7.0,10.0,3.0
2005-08-30,42.0,30.0,7.0,7.0,10.0,4.0
2005-08-25,42.0,30.0,8.0,7.0,10.0,3.0
2005-08-23,42.0,30.0,8.0,7.0,10.0,3.0
2005-08-18,42.0,29.0,7.0,7.0,11.0,4.0
2005-08-16,42.0,29.0,8.0,7.0,11.0,3.0
2005-08-11,41.0,28.0,8.0,8.0,12.0,3.0
2005-08-10,42.0,28.0,7.0,7.0,12.0,4.0
2005-08-04,43.0,26.0,8.0,7.0,13.0,3.0
2005-08-03,42.0,26.0,8.0,8.0,12.0,4.0
