Date,Union,SPD,AfD,FDP,Linke,Grüne,FW,Others
2021-09-26,24.2,25.7,10.4,11.4,4.9,14.7,2.4,6.3
2021-09-24,22.5,25.5,11.0,12.0,7.0,14.0,–,8.0
2021-09-23,22.0,26.0,11.0,12.0,7.0,16.0,–,6.0
2021-09-23,23.0,25.0,10.0,11.0,6.0,16.5,3,5.5
2021-09-23,22.0,25.0,10.0,12.0,6.0,17.0,3,5.0
2021-09-23,25.0,26.0,10.0,10.5,5.0,16.0,–,7.5
2021-09-23,23.0,25.0,10.0,12.0,6.0,16.0,–,8.0
2021-09-22,21.0,25.0,12.0,11.0,7.0,14.0,2,7.0
2021-09-21,21.5,25.0,11.0,12.5,6.5,15.0,–,8.5
2021-09-21,21.0,25.0,11.0,11.0,7.0,16.0,–,9.0
2021-09-20,22.0,25.0,11.0,12.0,6.5,15.0,–,8.5
2021-09-20,22.0,25.0,11.0,11.0,6.0,17.0,3,5.0
2021-09-17,21.0,26.0,11.0,12.0,6.0,15.0,3,6.0
2021-09-16,21.0,27.0,11.0,10.0,7.0,18.0,–,6.0
2021-09-16,22.0,25.0,11.0,11.0,6.0,16.0,–,9.0
2021-09-16,22.0,27.0,11.0,12.0,7.0,15.0,–,8.0
2021-09-15,22.0,26.0,11.0,11.0,6.0,15.0,3,6.0
2021-09-15,20.0,27.0,11.0,12.5,6.5,15.0,–,8.0
2021-09-15,23.0,25.0,10.0,12.0,6.0,17.0,–,7.0
2021-09-14,20.0,25.0,11.0,10.0,8.0,15.0,3,7.0
2021-09-14,20.0,26.0,12.0,11.0,6.0,17.0,–,8.0
2021-09-13,20.5,26.0,11.5,12.5,6.5,15.0,–,8.0
2021-09-13,23.0,25.0,11.0,13.0,6.0,16.0,–,6.0
2021-09-13,21.0,25.0,11.0,11.0,6.0,17.0,3,6.0
2021-09-10,20.0,26.0,11.0,13.0,6.0,15.0,–,9.0
2021-09-09,22.0,25.0,11.0,11.0,6.0,17.0,3,5.0
2021-09-07,21.0,25.0,12.0,12.0,6.0,17.0,–,7.0
2021-09-08,19.0,28.0,11.0,12.0,6.0,14.0,–,10.0
2021-09-08,23.0,25.0,11.0,11.0,6.0,17.0,–,7.0
2021-09-07,21.0,26.0,12.0,10.0,6.0,15.0,–,10.0
2021-09-07,25.0,27.0,11.0,9.5,6.0,15.5,–,6.0
2021-09-06,20.5,26.0,11.0,12.5,6.5,15.5,3,5.0
2021-09-06,23.0,25.0,11.0,12.0,6.0,17.0,–,6.0
2021-09-06,19.0,25.0,11.0,13.0,6.0,17.0,–,9.0
2021-09-03,20.0,25.0,12.0,13.0,7.0,16.0,–,7.0
