Date,Union,AfD,SPD,Grüne,Linke,BSW,FDP,Others
2025-05-05,24.5,24.5,16.0,11.0,10.0,4.0,4.0,6.0
2025-05-02,25.0,25.0,15.0,12.0,10.0,3.0,3.0,7.0
2025-05-02,25.0,24.0,16.0,12.0,10.0,4.0,4.0,5.0
2025-04-30,27.0,23.0,15.0,11.0,10.0,3.0,4.0,7.0
2025-04-30,26.0,24.5,16.5,12.0,10.5,3.5,4.0,3.0
2025-04-28,26.0,26.0,14.0,12.0,10.0,5.0,4.0,3.0
2025-04-28,25.0,25.0,15.5,11.0,10.0,4.0,3.0,6.5
2025-04-28,24.0,26.0,14.0,12.0,10.0,4.0,3.0,7.0
2025-04-25,25.0,25.0,15.0,12.0,10.0,4.0,3.0,6.0
2025-04-22,25.0,25.0,15.0,11.0,10.0,5.0,3.5,5.5
2025-04-22,26.0,24.0,16.0,12.0,9.0,4.0,3.0,6.0
2025-04-17,25.0,26.0,15.0,11.0,9.0,4.0,4.0,6.0
2025-04-17,25.0,24.0,16.0,11.0,10.0,5.0,4.0,5.0
2025-04-14,25.5,24.5,16.0,11.0,10.0,4.5,3.5,5.0
2025-04-14,25.0,24.0,15.0,12.0,10.0,4.0,3.0,7.0
2025-04-11,25.0,24.0,16.0,11.0,10.0,5.0,3.0,6.0
2025-04-10,26.0,24.0,15.0,12.0,10.0,3.0,4.0,6.0
2025-04-09,27.0,23.5,16.0,12.0,10.0,4.0,3.0,4.5
2025-04-07,24.5,24.5,16.0,10.5,10.5,4.5,4.0,5.5
2025-04-07,26.0,25.0,15.0,11.0,10.0,4.0,4.0,5.0
2025-04-07,25.0,24.0,15.0,12.0,10.0,4.0,3.0,7.0
2025-04-05,24.0,25.0,15.0,11.0,11.0,5.0,4.0,5.0
2025-04-04,24.0,24.0,16.0,11.0,11.0,4.0,4.0,6.0
2025-04-02,26.0,24.0,16.0,11.0,10.0,4.0,4.0,5.0
2025-03-31,26.5,23.5,15.5,12.0,10.5,4.5,3.5,4.0
2025-03-31,25.0,24.0,15.0,12.0,10.0,4.0,4.0,6.0
2025-03-28,26.0,23.0,16.0,12.0,10.0,5.0,3.0,5.0
2025-03-25,27.0,22.0,15.0,13.0,10.0,4.0,3.0,6.0
2025-03-24,26.0,24.0,15.0,12.0,10.0,5.0,3.0,4.0
2025-03-24,27.0,23.5,14.5,12.0,10.5,4.5,3.5,4.5
2025-03-24,26.0,23.0,15.0,12.0,10.0,4.0,4.0,6.0
2025-03-21,27.0,23.0,15.0,12.0,10.0,5.0,3.0,5.0
2025-03-20,27.0,22.0,16.0,12.0,10.0,3.0,4.0,6.0
2025-03-17,29.0,22.0,15.5,11.0,10.5,5.0,3.0,4.0
2025-03-17,27.0,23.0,14.0,12.0,11.0,3.0,4.0,6.0
2025-03-14,28.0,22.0,16.0,11.0,10.0,5.0,3.0,5.0
2025-03-11,29.0,21.0,16.0,11.5,10.0,4.0,3.0,5.0
2025-03-10,28.5,22.0,16.5,10.5,10.5,4.5,3.5,4.0
2025-03-10,28.0,22.0,15.0,11.0,11.0,3.0,4.0,6.0
2025-03-07,28.0,21.0,16.0,11.0,10.0,5.0,4.0,5.0
2025-03-06,28.0,21.0,15.0,13.0,10.0,3.0,4.0,6.0
2025-03-05,29.0,21.0,16.0,12.0,9.0,5.0,3.0,5.0
2025-03-03,29.5,22.0,15.5,11.0,9.5,5.0,3.5,4.0
2025-03-03,28.0,22.0,15.0,11.0,12.0,3.0,3.0,6.0
2025-03-01,29.0,22.0,15.0,12.0,9.0,5.0,4.0,5.0
2025-02-28,30.0,22.0,15.0,11.0,9.0,5.0,4.0,4.0
2025-02-23,28.5,20.8,16.4,11.6,8.8,5.0,4.3,4.6
