Date,Rot²-Grün,GroKo,Rot-Grün,Jamaika,Deutschland,Kenia,Kiwi,Rechts,Kemmerich,Brombeer
2025-05-23,37.0,43.0,27.0,38.0,43.0,54.0,38.0,51.0,51.0,43.0
2025-05-22,38.0,42.0,28.0,38.0,42.0,54.0,38.0,49.0,49.0,42.0
2025-05-20,38.0,41.0,27.0,38.0,41.0,53.0,38.0,49.0,49.0,41.0
2025-05-19,36.5,41.5,26.5,37.0,41.5,52.5,37.0,50.5,50.5,41.5
2025-05-19,36.0,40.0,26.0,38.0,40.0,52.0,38.0,49.0,49.0,40.0
2025-05-19,37.0,41.0,26.0,37.0,41.0,52.0,37.0,50.0,50.0,41.0
2025-05-16,37.0,42.0,27.0,37.0,42.0,53.0,37.0,51.0,51.0,42.0
2025-04-15,36.0,42.0,26.0,38.0,42.0,53.0,38.0,52.0,52.0,47.0
2025-05-12,36.0,42.0,27.0,39.0,42.0,54.0,39.0,52.0,52.0,42.0
2025-05-12,37.0,41.0,27.0,36.0,41.0,52.0,36.0,49.5,49.5,41.0
2025-05-12,36.0,40.0,26.0,36.0,40.0,51.0,36.0,50.0,50.0,40.0
2025-05-10,37.0,40.0,27.0,37.0,40.0,52.0,37.0,50.0,50.0,45.0
2025-05-09,37.0,41.0,27.0,36.0,41.0,52.0,36.0,49.0,49.0,41.0
2025-05-06,37.0,43.0,27.0,38.0,43.0,54.0,38.0,50.0,50.0,43.0
2025-05-05,37.0,40.5,27.0,35.5,40.5,51.5,35.5,49.0,49.0,40.5
2025-05-02,37.0,40.0,27.0,37.0,40.0,52.0,37.0,50.0,50.0,40.0
2025-05-02,38.0,41.0,28.0,37.0,41.0,53.0,37.0,49.0,49.0,41.0
2025-04-30,36.0,42.0,26.0,38.0,42.0,53.0,38.0,50.0,50.0,42.0
2025-04-30,39.0,42.5,28.5,38.0,42.5,54.5,38.0,50.5,50.5,42.5
2025-04-28,36.0,40.0,26.0,38.0,40.0,52.0,38.0,52.0,52.0,45.0
2025-04-28,36.5,40.5,26.5,36.0,40.5,51.5,36.0,50.0,50.0,40.5
2025-04-28,36.0,38.0,26.0,36.0,38.0,50.0,36.0,50.0,50.0,38.0
2025-04-25,37.0,40.0,27.0,37.0,40.0,52.0,37.0,50.0,50.0,40.0
2025-04-22,36.0,40.0,26.0,36.0,40.0,51.0,36.0,50.0,50.0,45.0
2025-04-22,37.0,42.0,28.0,38.0,42.0,54.0,38.0,50.0,50.0,42.0
2025-04-17,35.0,40.0,26.0,36.0,40.0,51.0,36.0,51.0,51.0,40.0
2025-04-17,37.0,41.0,27.0,36.0,41.0,52.0,36.0,49.0,49.0,46.0
2025-04-14,37.0,41.5,27.0,36.5,41.5,52.5,36.5,50.0,50.0,41.5
2025-04-14,37.0,40.0,27.0,37.0,40.0,52.0,37.0,49.0,49.0,40.0
2025-04-11,37.0,41.0,27.0,36.0,41.0,52.0,36.0,49.0,49.0,46.0
2025-04-10,37.0,41.0,27.0,38.0,41.0,53.0,38.0,50.0,50.0,41.0
2025-04-09,38.0,43.0,28.0,39.0,43.0,55.0,39.0,50.5,50.5,43.0
2025-04-07,37.0,40.5,26.5,35.0,40.5,51.0,35.0,49.0,49.0,40.5
2025-04-07,36.0,41.0,26.0,37.0,41.0,52.0,37.0,51.0,51.0,41.0
2025-04-07,37.0,40.0,27.0,37.0,40.0,52.0,37.0,49.0,49.0,40.0
2025-04-05,37.0,39.0,26.0,35.0,39.0,50.0,35.0,49.0,49.0,44.0
2025-04-04,38.0,40.0,27.0,35.0,40.0,51.0,35.0,48.0,48.0,40.0
2025-04-02,37.0,42.0,27.0,37.0,42.0,53.0,37.0,50.0,50.0,42.0
2025-03-31,38.0,42.0,27.5,38.5,42.0,54.0,38.5,50.0,50.0,42.0
2025-03-31,37.0,40.0,27.0,37.0,40.0,52.0,37.0,49.0,49.0,40.0
2025-03-28,38.0,42.0,28.0,38.0,42.0,54.0,38.0,49.0,49.0,47.0
2025-03-25,38.0,42.0,28.0,40.0,42.0,55.0,40.0,49.0,49.0,42.0
2025-03-24,37.0,41.0,27.0,38.0,41.0,53.0,38.0,50.0,50.0,46.0
2025-03-24,37.0,41.5,26.5,39.0,41.5,53.5,39.0,50.5,50.5,41.5
2025-03-24,37.0,41.0,27.0,38.0,41.0,53.0,38.0,49.0,49.0,41.0
2025-03-21,37.0,42.0,27.0,39.0,42.0,54.0,39.0,50.0,50.0,47.0
2025-03-20,38.0,43.0,28.0,39.0,43.0,55.0,39.0,49.0,49.0,43.0
2025-03-17,37.0,44.5,26.5,40.0,44.5,55.5,40.0,51.0,51.0,49.5
2025-03-17,37.0,41.0,26.0,39.0,41.0,53.0,39.0,50.0,50.0,41.0
2025-03-14,37.0,44.0,27.0,39.0,44.0,55.0,39.0,50.0,50.0,49.0
2025-03-11,37.5,45.0,27.5,40.5,45.0,56.5,40.5,50.0,50.0,45.0
2025-03-10,37.5,45.0,27.0,39.0,45.0,55.5,39.0,50.5,50.5,45.0
2025-03-10,37.0,43.0,26.0,39.0,43.0,54.0,39.0,50.0,50.0,43.0
2025-03-07,37.0,44.0,27.0,39.0,44.0,55.0,39.0,49.0,49.0,49.0
2025-03-06,38.0,43.0,28.0,41.0,43.0,56.0,41.0,49.0,49.0,43.0
2025-03-05,37.0,45.0,28.0,41.0,45.0,57.0,41.0,50.0,50.0,50.0
2025-03-03,36.0,45.0,26.5,40.5,45.0,56.0,40.5,51.5,51.5,50.0
2025-03-03,38.0,43.0,26.0,39.0,43.0,54.0,39.0,50.0,50.0,43.0
2025-03-01,36.0,44.0,27.0,41.0,44.0,56.0,41.0,51.0,51.0,49.0
2025-02-28,35.0,45.0,26.0,41.0,45.0,56.0,41.0,52.0,52.0,50.0
2025-02-23,36.8,44.9,28.0,40.1,44.9,56.5,40.1,49.3,49.3,44.9
