Date,Mehrheit
2024-09-06,42.5
2024-09-05,41.5
2024-09-04,42.0
2024-09-03,41.5
2024-09-02,42.75
2024-09-02,40.5
2024-08-30,43.0
2024-08-26,45.5
2024-08-26,40.5
2024-08-23,42.5
2024-08-19,42.5
2024-08-19,40.5
2024-08-16,42.5
2024-08-15,42.25
2024-08-14,41.5
2024-08-13,42.5
2024-08-12,41.75
2024-08-12,40.0
2024-08-12,41.5
2024-08-09,42.0
2024-08-07,42.0
2024-08-06,41.5
2024-08-05,41.25
2024-08-05,40.0
2024-08-04,40.5
2024-08-02,41.5
2024-07-29,41.25
2024-07-29,40.0
2024-07-26,42.0
2024-07-22,41.25
2024-07-22,40.0
2024-07-19,41.0
2024-07-19,45.5
2024-07-15,42.0
2024-07-15,40.0
2024-07-12,42.0
2024-07-11,41.5
2024-07-09,41.0
2024-07-08,44.0
2024-07-08,40.0
2024-07-07,40.0
2024-07-05,41.5
2024-07-03,41.5
2024-07-03,45.0
2024-07-01,44.0
2024-07-01,43.0
2024-06-28,44.5
2024-06-27,41.0
2024-06-24,41.25
2024-06-24,40.0
2024-06-21,41.0
2024-06-17,41.0
2024-06-17,40.0
2024-06-17,41.5
2024-06-15,41.0
2024-06-13,44.5
2024-06-12,40.5
2024-06-11,41.0
2024-06-10,40.5
2024-06-10,43.5
2024-06-09,41.550000000000004
2024-06-07,41.0
2024-06-05,41.0
2024-06-05,41.0
2024-06-03,40.75
2024-06-03,43.5
2024-05-31,41.0
2024-05-29,39.0
2024-05-27,40.75
2024-05-27,43.0
2024-05-24,41.0
2024-05-21,41.25
2024-05-19,44.0
2024-05-17,38.5
2024-05-17,41.0
2024-05-16,37.5
2024-05-16,45.5
2024-05-14,38.0
2024-05-13,41.5
2024-05-13,38.0
2024-05-10,41.0
2024-05-08,43.0
2024-05-06,41.75
2024-05-06,40.0
2024-05-06,42.0
2024-05-05,41.0
2024-05-03,41.0
2024-04-30,39.5
2024-04-29,42.0
2024-04-29,37.5
2024-04-26,41.5
2024-04-25,38.5
2024-04-22,41.75
2024-04-22,37.5
2024-04-19,41.5
2024-04-18,46.25
2024-04-16,39.0
2024-04-15,44.75
2024-04-15,38.0
2024-04-12,41.5
2024-04-11,41.5
2024-04-10,42.0
2024-04-08,41.75
2024-04-08,38.0
2024-04-07,41.0
2024-04-05,42.0
2024-04-03,39.0
2024-04-02,41.75
2024-03-28,38.5
2024-03-28,42.0
2024-03-25,42.0
2024-03-25,38.5
2024-03-22,42.0
2024-03-21,42.0
2024-03-20,42.0
2024-03-19,39.5
2024-03-18,41.75
2024-03-18,38.5
2024-03-15,41.0
2024-03-14,43.0
2024-03-11,44.25
2024-03-11,38.0
2024-03-08,42.0
2024-03-07,39.0
2024-03-06,42.0
2024-03-05,42.0
2024-03-04,44.75
2024-03-04,38.5
2024-03-03,41.5
2024-03-01,42.0
2024-02-27,39.5
2024-02-26,42.75
2024-02-26,38.0
2024-02-23,42.5
2024-02-22,44.0
2024-02-22,39.0
2024-02-20,39.5
2024-02-19,42.25
2024-02-19,38.0
2024-02-16,42.5
2024-02-15,46.0
2024-02-12,42.75
2024-02-12,39.0
2024-02-08,42.5
2024-02-06,42.0
2024-02-05,42.75
2024-02-05,39.5
2024-02-05,39.0
2024-02-04,42.0
2024-02-02,42.5
2024-02-01,42.0
2024-01-31,39.5
2024-01-29,42.5
2024-01-29,40.0
2024-01-26,43.0
2024-01-24,40.5
2024-01-24,45.0
2024-01-23,40.0
2024-01-22,43.5
2024-01-22,39.0
2024-01-22,39.5
2024-01-19,42.5
2024-01-18,44.0
2024-01-15,40.0
2024-01-15,40.0
2024-01-12,42.5
2024-01-12,39.5
2024-01-11,41.5
2024-01-11,40.0
2024-01-08,41.5
2024-01-08,43.0
2024-01-08,40.5
2024-01-07,43.0
2024-01-05,41.0
2024-01-04,40.5
2024-01-03,40.0
2024-01-02,41.25
2024-01-02,44.5
2023-12-29,41.0
2023-12-27,41.0
2023-12-22,40.5
2023-12-22,40.5
2023-12-20,40.5
2023-12-19,41.0
2023-12-18,41.25
2023-12-18,40.5
2023-12-15,41.0
2023-12-14,41.0
2023-12-14,42.0
2023-12-12,40.5
2023-12-11,43.5
2023-12-11,41.5
2023-12-11,40.0
2023-12-08,43.0
2023-12-06,41.0
2023-12-06,43.5
2023-12-05,40.5
2023-12-04,43.25
2023-12-04,40.0
2023-12-03,42.5
2023-12-01,43.5
2023-11-28,40.5
2023-11-27,42.5
2023-11-27,43.25
2023-11-27,40.0
2023-11-24,43.0
2023-11-23,41.5
2023-11-21,41.0
2023-11-20,43.0
2023-11-20,40.0
2023-11-17,43.0
2023-11-16,43.75
2023-11-14,43.0
2023-11-13,41.0
2023-11-13,39.5
2023-11-10,41.0
2023-11-09,41.0
2023-11-08,40.5
2023-11-07,40.5
2023-11-07,43.0
2023-11-06,43.5
2023-11-06,39.5
2023-11-05,43.0
2023-11-03,43.5
2023-11-01,41.0
2023-10-31,40.5
2023-10-30,43.25
2023-10-30,40.0
2023-10-27,43.5
2023-10-25,43.25
2023-10-24,40.0
2023-10-23,42.75
2023-10-23,40.0
2023-10-20,40.0
2023-10-19,40.0
2023-10-19,41.5
2023-10-17,40.5
2023-10-16,43.25
2023-10-16,40.5
2023-10-13,43.5
2023-10-11,40.0
2023-10-10,43.5
2023-10-10,43.0
2023-10-09,43.0
2023-10-09,43.0
2023-10-08,43.0
2023-10-06,43.0
2023-10-02,43.5
2023-09-29,40.0
2023-09-29,43.5
2023-09-28,43.0
2023-09-27,43.0
2023-09-26,43.0
2023-09-25,43.5
2023-09-25,43.0
2023-09-25,42.5
2023-09-22,43.0
2023-09-19,43.5
2023-09-18,42.5
2023-09-18,43.5
2023-09-18,43.0
2023-09-15,43.0
2023-09-15,44.0
2023-09-14,43.0
2023-09-13,44.0
2023-09-12,43.0
2023-09-11,43.75
2023-09-11,42.5
2023-09-08,43.5
2023-09-06,41.0
2023-09-05,42.5
2023-09-04,43.25
2023-09-04,42.5
2023-09-03,46.0
2023-09-01,43.0
2023-08-30,43.5
2023-08-29,42.5
2023-08-28,43.5
2023-08-28,42.5
2023-08-27,44.0
2023-08-25,43.5
2023-08-22,42.5
2023-08-21,43.75
2023-08-21,42.5
2023-08-18,44.0
2023-08-17,43.5
2023-08-16,43.0
2023-08-16,44.0
2023-08-15,42.5
2023-08-14,43.5
2023-08-14,42.5
2023-08-11,43.5
2023-08-09,43.0
2023-08-08,46.0
2023-08-07,44.25
2023-08-07,42.5
2023-08-06,44.0
2023-08-04,44.0
2023-08-02,43.5
2023-08-01,43.5
2023-08-02,43.5
2023-07-31,43.5
2023-07-31,42.0
2023-07-28,43.5
2023-07-27,43.0
2023-07-25,43.5
2023-07-24,44.0
2023-07-24,42.0
2023-07-21,43.5
2023-07-19,43.0
2023-07-19,44.5
2023-07-18,43.5
2023-07-17,43.25
2023-07-17,43.0
2023-07-14,43.0
2023-07-13,43.5
2023-07-11,43.5
2023-07-10,43.25
2023-07-09,43.5
2023-07-07,42.5
2023-07-07,43.0
2023-07-05,43.5
2023-07-04,46.0
2023-07-04,43.0
2023-07-03,43.25
2023-07-03,43.0
2023-07-03,42.5
2023-06-30,43.0
2023-06-29,43.5
2023-06-27,42.5
2023-06-26,43.25
2023-06-26,43.0
2023-06-25,43.25
2023-06-23,43.0
2023-06-22,45.0
2023-06-21,43.0
2023-06-20,44.0
2023-06-19,43.75
2023-06-19,43.0
2023-06-16,43.5
