Date,Scholz,Merz,Habeck,Neither
2024-11-25,13,30,22,35
2024-11-22,15,31,18,36
2024-11-18,13,34,21,32
2024-11-15,16,32,16,36
2024-11-11,16,32,20,32
2024-10-04,23,31,13,33
2024-09-27,19,35,16,30
2024-07-12,17,31,16,36
2024-05-17,17,26,18,39
2024-05-13,17,25,17,41
2024-05-06,18,23,17,42
2024-04-29,17,23,17,43
2024-04-22,17,22,16,45
2024-04-15,17,22,16,45
2024-04-12,20,30,14,36
2024-04-08,18,21,17,44
2024-03-28,19,22,17,42
2024-03-25,18,22,17,43
2024-03-18,16,21,18,45
2024-03-11,15,21,19,45
2024-03-04,15,23,18,44
2024-02-26,15,25,18,42
2024-02-19,14,24,18,44
2024-02-12,15,23,19,43
2024-02-05,12,25,19,44
2024-01-29,12,24,19,45
2024-01-22,13,25,17,45
2024-01-15,15,24,15,46
2024-01-08,15,24,15,46
2023-12-22,15,25,17,43
2023-12-18,15,24,18,43
2023-12-11,15,24,18,43
2023-12-04,16,24,18,42
2023-11-27,17,22,19,42
2023-11-20,19,21,18,42
2023-11-13,19,22,18,41
2023-11-06,20,21,17,42
2023-09-30,20,20,16,44
2023-09-23,20,21,15,44
2023-09-16,19,20,17,44
2023-09-09,22,20,16,42
2023-09-29,22,20,16,42
2023-09-25,22,20,16,42
2023-09-18,21,19,16,44
2023-09-11,21,19,16,44
2023-09-04,21,20,16,43
2023-08-28,21,19,15,45
2023-08-21,21,19,15,45
2023-08-14,21,18,15,46
2023-08-07,21,17,16,46
2023-07-31,22,18,17,43
2023-07-24,23,20,16,41
2023-07-17,23,20,17,40
2023-07-07,22,20,16,42
2023-07-03,21,20,16,43
2023-06-26,23,20,16,41
2023-06-19,25,20,15,40
2023-06-12,25,21,15,39
2023-06-05,25,23,14,38
2023-05-26,25,23,14,38
2023-05-22,26,22,13,39
2023-05-15,24,23,14,39
2023-05-08,24,22,15,39
2023-04-30,31,26,8,35
2023-04-28,23,22,16,39
2023-04-24,22,24,16,38
2023-04-17,23,25,17,35
2023-04-06,21,23,18,38
2023-04-03,23,21,17,39
2023-03-27,24,22,18,36
2023-03-26,29,18,13,40
2023-03-20,26,21,17,36
2023-03-13,27,21,17,35
2023-03-06,25,20,19,36
2023-03-01,27,17,11,45
2023-02-27,27,19,19,35
2023-02-20,25,20,19,36
2023-02-13,27,20,20,33
2023-02-06,26,20,20,34
2023-01-30,25,21,20,34
2023-01-27,26,16,12,46
2023-01-23,23,21,21,35
2023-01-16,22,21,15,42
2023-01-16,22,20,20,38
2023-01-09,21,20,20,39
2022-12-19,23,19,20,38
2022-12-12,24,19,19,38
2022-12-09,24,22,13,41
2022-12-05,22,20,20,38
2022-11-28,23,20,20,37
2022-11-21,22,20,20,38
2022-11-14,21,20,20,39
2022-11-08,25,22,13,40
2022-11-07,22,19,19,40
2022-10-31,23,19,19,39
2022-10-24,24,19,18,39
2022-10-21,28,19,15,38
2022-10-17,23,19,19,39
2022-10-10,24,18,17,41
2022-10-06,28,25,14,33
2022-09-30,22,20,17,41
2022-09-26,22,22,17,39
2022-09-22,29,25,15,31
2022-09-19,23,22,18,37
2022-09-13,21,20,21,38
2022-09-11,30,24,15,31
2022-09-09,24,23,19,34
2022-09-05,21,18,25,36
2022-08-29,20,16,27,37
2022-08-22,20,16,25,39
2022-08-19,18,19,25,38
2022-08-18,36,13,30,21
2022-08-15,22,16,26,36
2022-08-12,32,15,28,25
2022-08-08,24,16,27,33
2022-08-01,23,18,28,31
2022-07-29,24,18,21,37
2022-07-25,25,17,30,28
2022-07-20,39,11,32,18
2022-07-18,26,17,31,26
2022-06-26,40,13,31,16
2022-06-08,38,13,27,22
2022-06-01,35,14,29,21
2022-05-16,37,21,25,17
2022-05-09,38,21,24,17
