Date,SPD,AfD,CDU,Grüne,Linke,BVB/FW,FDP,BSW,Others
11 Sep 2024,26.0,27.0,16.0,4.5,4.0,4.5,,13.0,5.0
 5 Sep 2024,20.5,30.0,15.0,5.5,3.5,4.5,1.0,14.5,5.5
4 Sep 2024,23.0,27.0,18.0,5.0,4.0,3.0,,15.0,5.0
6 Aug 2024,20.0,24.0,19.0,5.0,5.0,4.0,2.0,17.0,4.0
15 Jul 2024,19.0,24.0,18.0,7.0,5.0,4.0,3.0,17.0,3.0
9 Jul 2024,19.0,23.0,19.0,7.0,4.0,3.0,3.0,16.0,6.0
23 Jun 2024,16.0,29.0,16.5,5.0,3.5,5.5,1.5,17.0,6.0
21 May 2024,19.0,25.0,19.0,7.0,6.0,5.0,3.0,13.0,3.0
8 Apr 2024,22.0,26.0,18.0,8.0,6.0,3.0,,10.0,7.0
 7 Apr 2024,21.0,27.0,15.0,7.0,5.5,5.5,2.0,9.5,7.5
22 Mar 2024,19.0,25.0,19.0,8.0,7.0,4.0,3.0,12.0,3.0
15 Jan 2024,17.0,28.0,18.0,8.0,6.0,4.0,3.0,13.0,3.0
10 Jan 2024,22.0,32.0,16.0,7.0,6.0,5.0,3.0,4.0,5.0
22 Nov 2023,20.0,27.0,18.0,8.0,6.0,3.0,3.0,11.0,4.0
1 Nov 2023,27.0,32.0,13.5,6.5,7.0,6.0,2.5,,5.5
11 Sep 2023,20.0,32.0,18.0,8.0,8.0,6.0,4.0,,4.0
14 Aug 2023,25.0,30.0,15.0,7.0,8.0,7.0,2.0,,6.0
3 Jul 2023,21.0,28.0,18.0,9.0,10.0,5.0,3.0,,6.0
1 Jun 2023,24.0,24.0,17.0,10.0,12.0,8.0,4.0,,2.0
24 Apr 2023,22.0,23.0,23.0,9.0,7.0,5.0,5.0,,6.0
4 Apr 2023,21.0,25.0,19.0,10.0,10.0,5.0,4.0,,6.0
13 Mar 2023,23.5,26.0,17.0,9.0,8.0,6.5,3.0,,7.0
15 Dec 2022,27.0,23.0,17.0,7.0,9.0,5.0,6.0,,6.0
18 Nov 2022,26.0,26.0,13.5,10.0,8.0,7.0,3.5,,6.0
10 Oct 2022,22.0,25.0,17.0,11.0,10.0,5.0,4.0,,6.0
26 Sep 2022,24.0,24.0,18.0,11.0,9.0,4.0,4.0,,6.0
11 Sep 2022,26.5,25.0,12.0,12.0,6.0,7.0,5.0,,6.5
17 May 2022,30.0,19.0,16.0,13.0,6.0,6.0,4.5,,5.5
24 Apr 2022,30.0,19.0,18.0,10.0,7.0,4.0,6.0,,3.0
29 Mar 2022,29.0,20.0,15.0,11.0,6.0,8.0,5.0,,6.0
17 Dec 2021,28.0,17.0,14.0,11.0,11.0,8.0,6.0,,5.0
16 Dec 2021,34.0,19.0,10.0,9.0,7.0,8.0,7.0,,6.0
14 Oct 2021,32.0,19.5,9.0,9.5,7.0,9.5,7.0,,6.5
30 Aug 2021,34.0,17.0,13.0,8.0,9.0,7.0,7.0,,5.0
15 May 2021,23.0,18.0,16.0,16.0,11.0,4.0,7.0,,5.0
13 May 2021,22.0,18.0,14.0,19.0,9.0,8.0,5.0,,5.0
19 Mar 2021,24.0,18.0,14.0,14.0,10.5,9.0,5.0,,5.5
15 Dec 2020,23.0,16.0,20.0,15.0,12.0,6.0,4.0,,4.0
17 Nov 2020,26.0,19.0,20.0,12.0,11.0,3.0,5.0,,4.0
7 Oct 2020,23.0,19.0,17.0,13.5,12.5,7.5,2.0,,5.5
6 Oct 2020,21.0,20.0,17.0,16.0,13.0,5.0,4.0,,4.0
27 Aug 2020,26.0,16.5,19.0,11.0,12.0,7.0,3.0,,5.5
19 Jun 2020,28.0,16.0,22.0,10.0,10.0,7.0,3.0,,4.0
11 May 2020,29.5,20.0,23.0,7.5,7.5,4.0,4.0,,4.5
8 Apr 2020,28.0,21.0,20.5,8.0,8.0,6.0,3.0,,5.5
4 Apr 2020,27.0,20.0,19.0,12.0,11.0,3.0,4.0,,4.0
25 Feb 2020,22.0,18.0,14.0,15.0,15.0,7.0,3.0,,6.0
16 Nov 2019,25.0,22.0,14.0,12.0,12.0,5.0,5.0,,5.0
1 Sep 2019,26.2,23.5,15.6,10.8,10.7,5.0,4.1,,4.1
