Date,CDU,SPD,Grüne,Linke,AfD,FDP,BiW,Others
19 Mar 2023,25.5,28,19,9,1,5,6.5,6
27 Feb 2023,27,28,19,8,7,4,0,7
17 Feb 2023,21.5,27.5,19.5,9,10,4.5,2.5,5.5
23 Dec 2022,20,29,20,10,9.5,4.5,2.5,4.5
1 Dec 2022,22,28,19.5,9.5,10,4.5,2,4.5
22 Oct 2022,21,26,21,6.5,11,5,4,5.5
26 Sep 2022,23,28,18,9,9.5,5.5,3,4
29 Aug 2022,24.5,30.5,18.5,8.5,7.5,5,2,3.5
28 Jul 2022,24.5,30,21,8.5,5,5,2,4
22 Jun 2022,23.5,32,19,9,5.5,5,1.5,4.5
27 May 2022,20,34.5,20,10,5.5,5,2,3
16 May 2022,22,30,21,8,6,6,0,7
 5 Mar 2022,18,31,20,10,6,8,3,4
26 May 2019,26.7,24.9,17.4,11.3,6.1,5.9,2.4,5.3
