Date,SPD,Grüne,CDU,Linke,AfD,FDP,BSW,Other
2025-01-13,31.0,22.0,17.0,5.0,9.0,4.0,4.0,8.0
2024-12-10,32.0,20.0,17.0,7.0,10.0,4.0,4.0,7.0
2024-11-25,30.0,21.0,19.0,6.0,9.0,3.0,4.0,8.0
2024-10-28,30.0,21.0,21.0,5.0,8.0,4.0,4.0,7.0
2024-04-25,32.0,21.5,18.0,6.0,8.5,3.5,2.0,8.5
2024-02-05,30.0,21.0,20.0,7.0,9.0,5.0,,8.0
2023-10-24,31.0,19.0,18.0,10.0,14.0,4.0,,4.0
2023-10-02,24.5,21.5,21.0,8.5,13.0,3.0,,8.5
2022-09-16,32.0,27.0,15.0,8.0,7.0,6.0,,5.0
2022-01-29,40.0,26.5,10.0,6.0,5.0,7.0,,5.5
2020-06-11,37.0,23.0,13.0,10.0,6.0,5.0,,4.0
2020-02-23,39.2,24.2,11.2,9.1,5.3,4.9,,6.1
