Date,CDU,AfD,Linke,SPD,FDP,Grüne,BSW,Other
2025-01-13,32.0,31.0,4.0,8.0,4.0,3.0,14.0,4.0
2024-10-28,32.0,30.0,3.0,7.0,4.0,3.0,16.0,5.0
2024-07-05,29.0,29.0,4.0,8.0,4.0,4.0,16.0,6.0
2024-06-11,31.0,30.0,5.0,7.0,4.0,4.0,13.0,6.0
2024-04-17,32.0,29.0,5.0,8.0,4.0,5.0,10.0,7.0
2024-01-29,34.5,32.5,6.0,5.0,7.0,5.5,,9.5
2023-10-23,32.0,33.0,9.0,8.0,4.0,5.0,,9.0
2023-06-26,31.0,29.0,9.0,9.0,6.0,6.0,,10.0
2023-05-28,37.0,26.0,10.0,12.0,6.0,4.0,,5.0
2023-03-13,35.0,26.0,11.0,8.0,6.0,7.0,,7.0
2023-01-13,31.5,26.0,10.0,13.0,4.5,4.5,,10.5
2022-06-15,33.0,23.0,9.0,15.0,5.0,6.0,,9.0
2022-02-22,33.0,20.0,11.0,16.0,6.0,5.0,,9.0
2022-02-21,33.0,20.0,9.0,19.0,6.5,5.0,,7.5
2021-06-06,37.1,20.8,11.0,8.4,6.4,5.9,,10.4
