Date,CDU,AfD,Linke,Grüne,SPD,FDP,BSW,Others
2024-09-01,31.5,30.4,4.8,5.5,7.6,1.0,11.5,7.70000000000001
2024-08-31,33.0,31.0,3.0,5.5,6.0,,13.5,8.0
2024-08-29,33.0,31.0,3.0,6.0,7.0,,12.0,8.0
2024-08-29,33.0,30.0,4.0,6.0,6.0,,12.0,9.0
2024-08-23,30.0,32.0,4.0,5.0,6.0,,15.0,8.0
2024-08-22,33.0,30.0,4.0,6.0,7.0,,11.0,9.0
2024-08-21,31.0,30.0,4.0,6.0,7.0,,14.0,8.0
2024-08-18,34.5,30.0,4.5,4.5,5.0,1.0,14.0,6.5
2024-08-14,33.0,30.0,3.0,6.0,6.0,,13.0,9.0
2024-08-12,29.0,32.0,5.0,5.0,5.0,2.0,15.0,7.0
2024-08-08,34.0,30.0,4.0,6.0,6.0,,11.0,9.0
2024-06-18,29.0,30.0,3.0,7.0,7.0,,15.0,9.0
2024-06-17,30.0,32.0,4.0,5.0,5.0,2.0,15.0,7.0
2024-04-02,31.0,30.0,5.0,6.0,6.0,3.0,10.0,9.0
2024-03-18,30.0,34.0,5.0,5.0,6.0,2.0,11.0,7.0
2024-03-15,31.5,31.0,3.0,6.5,6.0,,13.5,8.5
2024-01-23,30.0,35.0,4.0,7.0,7.0,,8.0,9.0
2024-01-10,30.0,34.0,6.0,8.0,7.0,3.0,4.0,8.0
2024-01-09,33.5,32.0,8.5,7.0,6.0,2.5,,10.0
2024-01-01,33.0,37.0,8.0,7.0,3.0,1.0,,11.0
2023-12-03,33.0,33.0,7.0,7.0,7.0,2.0,,11.0
2023-11-07,28.5,32.5,7.5,5.5,8.5,4.0,,13.5
2023-08-22,29.0,35.0,9.0,6.0,7.0,5.0,,7.0
2023-06-12,30.0,32.5,9.0,7.0,10.0,5.0,,6.5
2023-05-28,31.0,32.0,9.5,7.0,9.5,4.0,,7.0
2022-12-20,29.5,31.0,8.0,9.5,10.5,3.5,,8.0
2022-09-19,34.0,30.0,10.0,7.0,7.0,3.0,,9.0
2022-06-15,35.0,28.0,7.5,9.5,9.0,3.0,,8.0
2022-05-16,33.0,27.0,5.5,9.5,12.0,4.0,,9.0
2022-04-06,25.0,28.0,9.0,9.0,12.0,7.0,,10.0
2022-04-01,29.0,26.5,6.0,9.0,15.0,5.0,,9.5
2022-02-22,27.0,24.0,10.0,8.0,13.0,7.0,,11.0
2021-10-12,22.0,25.5,7.0,9.0,19.0,10.0,,7.5
2021-09-13,31.0,26.0,11.0,7.0,11.0,8.0,,6.0
2021-08-18,35.0,21.0,10.0,7.0,11.0,6.0,,10.0
2021-08-09,34.0,25.0,13.0,7.0,8.0,8.0,,5.0
2021-05-25,24.0,26.0,11.0,13.0,6.0,12.0,,8.0
2020-12-17,40.0,30.0,9.5,8.0,7.0,1.5,,4.0
2020-12-15,34.0,26.0,11.0,10.0,7.0,5.0,,7.0
2020-09-03,38.0,27.5,10.0,10.5,5.0,3.0,,6.0
2020-07-02,36.0,26.0,11.0,10.0,7.0,4.0,,6.0
2020-06-09,40.0,26.0,8.5,9.5,6.0,3.0,,7.0
2020-04-05,36.5,29.0,9.0,7.5,7.5,4.0,,6.5
2019-09-01,32.1,27.5,10.4,8.6,7.7,4.5,,9.2
