Date,ΝΔ,ΣΥΡΙΖΑ,ΠΑΣΟΚ,KKE,ΣΠ,ΕΛ,Νίκη,ΠΕ,ΜέΡΑ25,ΦΛ,ΝΑ,ΚΔ
2025-05-09,31.9,5.0,12.9,7.3,0.7,7.1,2.4,18.9,2.6,2.6,1.9,2.3
2025-05-06,30.0,5.0,14.1,8.1,1.7,9.7,4.1,8.9,3.8,3.3,1.9,4.3
2025-05-03,29.4,8.0,12.4,8.5,,10.0,3.7,13.8,2.6,3.2,1.3,2.9
2025-04-28,28.7,6.6,14.3,9.5,,10.8,3.2,14.6,1.3,2.3,2.2,2.3
2025-04-25,29.0,7.0,13.0,8.5,1.0,9.5,3.5,14.0,3.0,3.0,3.0,3.0
2025-04-24,29.0,4.8,13.2,7.9,1.2,8.9,4.0,12.8,3.6,3.9,1.5,4.2
2025-04-07,26.9,6.6,12.4,7.4,,11.3,4.0,17.8,3.3,3.7,2.0,3.2
2025-04-02,27.3,6.9,12.5,8.3,1.2,10.4,2.1,15.0,2.7,3.1,2.5,1.7
2025-04-04,29.7,6.6,10.5,7.6,1.5,8.8,2.3,17.9,4.2,3.5,0.8,3.4
2025-04-03,25.5,7.5,13.5,9.0,,12.5,3.0,15.5,3.0,4.0,2.0,2.0
2025-04-04,27.0,5.5,12.5,8.5,1.7,9.0,3.9,14.6,3.4,3.7,1.1,3.3
2025-03-21,25.5,6.7,12.5,9.9,1.7,10.9,3.2,14.1,3.6,4.0,2.2,3.3
2025-03-18,26.9,6.5,15.6,9.0,,10.5,3.2,15.0,2.1,3.7,2.2,2.2
2025-03-16,27.5,8.0,14.0,8.0,0.5,9.5,4.0,14.0,3.0,4.0,2.5,2.5
2025-03-14,28.1,6.0,14.3,8.3,1.2,11.4,3.1,15.9,2.3,4.1,1.2,2.4
2025-03-12,26.4,7.3,13.3,8.4,0.8,9.9,4.7,14.6,2.9,3.9,2.7,2.8
2025-03-12,27.8,8.1,13.9,9.3,,9.8,3.2,12.3,3.2,3.9,1.3,2.1
2025-03-10,25.8,5.0,13.1,9.6,1.8,10.0,3.0,15.2,3.6,4.3,1.3,4.2
2025-03-08,27.0,6.0,13.7,8.5,1.9,8.0,3.1,16.6,3.3,3.7,0.9,3.1
2025-03-06,27.3,6.9,17.6,9.1,1.4,10.5,2.7,10.5,2.2,4.2,1.9,2.3
2025-03-04,25.7,7.1,13.8,9.2,,12.4,3.2,11.2,2.3,4.5,1.7,3.5
2025-03-04,26.7,8.0,15.4,9.0,1.3,11.4,3.1,12.0,3.1,4.7,1.3,2.7
2025-03-01,27.9,7.2,17.9,9.5,,11.1,2.7,8.3,2.2,5.1,2.1,2.5
2025-02-21,28.5,8.0,15.5,9.0,1.0,10.0,3.0,8.0,3.5,4.5,2.5,3.5
2025-02-20,25.0,9.0,16.5,10.0,,12.5,2.0,10.0,2.0,6.5,3.0,1.5
2025-02-19,27.2,6.1,13.5,9.7,2.0,9.7,3.3,9.1,3.3,5.8,1.7,4.7
