Date,ΝΔ,ΣΥΡΙΖΑ,ΠΑΣΟΚ,KKE,ΕΛ,Νίκη,ΠΕ,ΜέΡΑ25,Σπαρτιάτες
,43.9,19.6,11.8,7.5,4.1,3.0,3.3,2.5,2.7
2023-06-20,40.5,20.0,11.9,7.0,3.8,3.8,3.8,2.1,2.7
2023-06-21,42.3,19.7,11.1,7.2,3.7,3.0,3.6,2.1,2.2
2023-06-19,42.1,21.4,10.0,6.4,4.6,2.1,3.6,2.7,
2023-06-19,41.0,20.0,11.5,7.0,4.0,3.4,4.4,2.7,2.5
2023-06-16,42.9,17.9,12.3,8.1,4.1,3.0,4.0,2.8,2.4
2023-06-16,40.6,19.6,11.5,6.8,4.7,3.9,4.7,2.5,1.6
2023-06-15,42.7,20.1,11.6,7.2,3.4,3.3,4.1,2.5,2.4
2023-06-14,44.5,18.9,12.4,6.9,3.7,3.1,3.7,2.7,2.2
2023-06-14,41.4,20.2,11.0,7.5,4.1,3.3,3.9,2.8,1.5
2023-06-12,42.0,19.5,12.0,7.0,4.0,4.0,4.5,1.8,1.8
2023-06-11,42.0,19.8,11.2,7.3,4.0,3.3,5.2,2.1,1.5
2023-06-10,40.3,19.2,11.1,6.7,5.0,3.3,5.5,3.3,
2023-06-10,43.1,19.7,11.5,6.6,3.6,3.8,4.7,1.8,
2023-06-08,43.9,20.9,12.2,6.9,3.2,3.6,4.7,2.2,
2023-06-07,41.2,20.0,11.4,7.0,4.4,4.1,4.8,2.4,
2023-05-31,43.9,22.1,12.2,6.7,3.9,3.3,4.6,1.7,
2023-05-31,42.2,20.9,11.4,7.4,4.1,3.8,4.7,2.4,
2023-05-30,41.0,19.1,11.7,7.6,4.4,3.8,4.8,2.5,
2023-05-23,41.3,19.5,14.4,7.2,4.6,3.5,3.9,2.0,
2023-05-21,40.8,20.1,11.5,7.2,4.5,2.9,2.9,2.6,
