Date,D,B,V,S,F,P,C,M,J
2023-05-31,20.8,10.2,5.7,28.4,5.5,10.1,7.6,6.9,4.9
2023-05-16,19.2,10.0,6.1,27.3,5.6,11.0,9.1,6.4,5.2
2023-05-01,21.9,9.6,6.6,27.8,6.0,10.0,7.4,6.2,4.3
2023-04-19,18.7,10.2,8.2,25.7,4.4,11.4,10.6,6.0,4.9
2023-04-02,22.3,9.9,7.1,25.1,5.6,9.4,9.1,6.3,5.1
2023-03-20,20.2,13.2,6.0,24.4,5.2,10.2,9.1,5.7,6.0
2023-02-28,22.5,10.8,6.8,24.0,5.6,12.1,7.7,5.3,5.0
2023-02-13,20.1,12.3,6.7,23.3,5.9,12.7,8.2,5.8,5.0
2023-02-06,23.2,11.8,5.9,22.1,9.5,12.5,6.9,4.1,4.1
2023-01-18,21.8,12.1,8.3,23.6,5.1,10.4,9.1,5.9,3.6
2023-01-31,23.5,11.3,6.8,25.3,5.5,10.4,7.3,5.5,4.4
2023-01-02,23.8,12.1,6.8,23.4,6.2,11.3,6.9,4.6,4.6
2022-12-30,23.2,10.8,6.7,20.5,9.7,14.3,6.2,4.5,4.0
2022-12-28,20.0,12.2,7.8,20.1,7.0,12.5,7.5,6.7,6.1
2022-11-30,24.1,12.2,7.5,21.1,4.5,12.2,7.4,5.6,5.2
2022-11-22,21.8,14.8,7.1,19.0,5.0,13.4,9.0,4.9,5.0
2022-11-17,21.1,14.6,8.0,19.1,6.4,11.8,10.6,4.2,4.2
2022-10-31,24.4,13.8,8.4,16.6,5.3,12.9,8.4,5.0,5.0
2022-10-17,22.8,15.0,7.7,14.4,4.6,14.3,9.5,5.0,6.5
2022-10-02,24.1,13.4,8.2,16.3,5.1,13.6,8.5,5.4,5.1
2022-09-27,20.8,15.6,8.7,15.2,5.0,12.3,10.4,5.3,6.8
2022-08-31,21.8,15.6,8.4,15.5,5.6,14.8,8.4,4.6,5.1
2022-08-17,20.9,19.6,7.5,12.9,4.6,13.9,8.9,4.5,7.3
2022-08-01,22.1,15.4,8.6,13.7,6.6,15.0,8.6,4.4,5.3
2022-07-25,24.4,18.0,7.7,10.9,6.9,12.7,8.3,6.0,5.1
2022-06-30,22.8,17.5,7.2,13.7,7.0,16.1,6.7,4.6,4.1
2022-06-23,19.3,18.3,8.5,13.4,6.3,14.6,8.8,4.7,6.1
2022-06-13,18.5,17.3,9.0,13.5,5.6,17.5,7.8,4.2,6.3
2022-05-31,20.1,17.5,8.1,14.1,6.4,14.7,9.5,4.3,5.0
2022-04-26,17.9,12.4,9.6,16.8,8.0,16.2,9.6,4.1,5.4
2022-04-30,19.8,15.6,10.1,13.7,7.7,14.5,9.6,4.1,4.6
2022-04-12,22.4,15.5,8.8,13.0,7.7,13.2,10.5,4.2,4.6
2022-03-31,22.7,18.0,11.4,11.2,8.2,11.9,9.1,3.7,3.6
2022-02-28,21.9,18.1,10.5,11.1,7.5,13.2,9.7,3.9,3.9
2022-02-16,21.9,16.9,12.9,13.4,7.6,10.3,9.7,3.9,3.5
2022-01-31,22.4,17.0,10.7,10.8,8.8,12.5,9.4,3.7,4.3
2022-01-19,20.1,17.8,11.2,12.3,8.5,13.5,9.2,3.7,3.7
2021-12-30,23.3,17.7,10.6,10.5,8.6,12.5,8.7,3.4,4.5
2021-11-30,22.7,17.0,13.0,10.7,8.0,11.8,8.4,3.8,4.4
2021-10-31,22.8,17.2,13.4,9.8,7.9,11.0,8.9,4.3,4.6
2021-10-18,21.1,17.9,12.1,10.1,7.8,11.7,10.0,3.2,5.5
2021-09-25,24.4,17.3,12.6,9.9,8.9,8.6,8.3,5.5,4.1
