Date,Lega,PD,M5S,FI,FdI,AVS,PTD,A,Libertà,SUE,+E,IV
2024-05-24,8.6,22.0,14.7,8.6,27.3,4.6,2.5,4.0,2.0,4.2,,
2024-05-25,9.0,20.5,15.0,9.0,28.0,4.0,2.2,4.0,3.0,4.0,,
2024-05-23,8.8,22.0,14.5,8.7,27.0,4.3,2.2,3.7,2.8,4.2,,
2024-05-22,8.7,21.1,16.2,8.9,27.1,4.2,2.2,3.8,2.0,4.5,,
2024-05-23,9.0,19.6,15.7,8.5,26.8,4.0,2.5,3.9,1.8,4.5,,
2024-05-23,9.0,20.3,15.9,8.5,27.2,4.9,1.9,3.9,0.9,4.1,,
2024-05-23,9.3,20.9,15.7,7.9,26.9,4.2,,3.7,,4.5,,
2024-05-21,8.6,22.5,15.4,9.2,26.5,4.6,1.9,3.6,2.0,4.1,,
2024-05-21,8.7,20.8,15.5,8.2,26.9,4.3,2.2,3.7,2.2,4.6,,
2024-05-21,9.1,21.2,15.2,8.3,27.1,4.4,2.0,4.0,2.5,4.6,,
2024-04-22,8.5,20.0,15.9,8.4,26.8,4.3,2.1,4.1,2.2,4.7,,
2024-04-19,7.2,20.5,16.5,7.6,27.8,4.4,1.9,3.3,1.6,5.0,,
2024-04-18,8.5,20.2,16.4,8.0,28.0,4.2,,4.0,,4.1,,
2024-04-18,8.5,19.7,16.1,8.3,27.5,3.2,2.5,3.8,1.6,5.2,,
2024-04-17,8.5,19.7,16.4,8.3,27.4,3.8,1.9,3.8,1.9,5.1,,
2024-04-15,8.6,19.4,16.0,8.4,27.2,4.1,1.8,4.2,1.9,5.2,,
2024-04-13,7.9,19.8,16.2,10.1,27.3,3.7,1.6,3.6,2.0,5.5,,
2024-04-12,8.0,19.9,16.4,8.4,26.6,4.2,1.1,3.7,1.3,4.0,,
2024-04-11,8.8,19.5,15.6,8.0,27.8,3.3,2.4,3.9,1.8,5.1,,
2024-04-09,8.0,20.0,15.8,8.7,27.0,3.8,2.2,3.5,2.1,4.6,,
2024-04-08,8.8,19.8,15.6,7.8,26.9,3.9,1.6,4.0,1.5,5.3,,
2024-04-08,8.7,19.7,17.6,8.5,26.9,3.7,1.8,3.8,3.7,4.4,,
2024-04-05,7.8,20.2,16.7,9.0,27.2,3.3,1.2,3.2,,6.2,,
2024-04-05,7.5,19.8,16.0,7.8,27.7,3.9,2.2,3.1,1.6,4.6,,
2024-04-04,7.8,20.2,16.7,9.0,27.2,3.3,1.2,3.2,,6.2,,
2024-03-30,8.3,20.2,16.6,7.1,27.1,4.4,1.5,4.4,1.1,5.1,,
2024-03-27,8.8,19.3,17.5,8.0,27.5,3.5,2.0,4.0,1.7,4.7,,
2024-03-27,8.7,19.5,17.5,8.3,27.9,3.0,2.0,4.1,1.7,4.8,,
2024-03-25,8.0,20.5,16.1,8.7,27.5,3.3,1.5,2.5,,,2.8,3.3
2024-03-20,8.2,19.0,17.4,8.2,27.0,4.1,,3.0,,,2.6,3.4
2024-03-19,8.0,19.0,17.0,8.0,28.0,3.5,,3.5,,,2.5,3.0
2024-03-19,7.0,20.0,16.0,8.0,30.0,3.0,,3.5,,,2.5,3.0
2024-03-11,8.7,19.7,17.2,7.7,28.0,3.9,,4.0,,,2.7,3.5
2024-03-11,8.6,20.2,16.9,8.2,28.7,3.4,,,,,1.5,
2024-03-07,8.0,19.5,16.5,7.5,27.0,4.0,,3.5,,,3.5,3.0
2024-03-07,7.5,20.5,16.5,8.0,29.0,3.5,,3.0,,,3.5,3.0
2024-03-05,8.2,19.0,17.4,8.2,27.0,4.1,,3.0,,,2.6,3.4
2024-03-01,8.1,19.9,15.9,6.6,27.1,4.6,,3.7,,,3.4,3.5
2024-02-28,8.6,19.6,17.0,7.9,27.6,4.0,,4.3,,,2.6,3.1
2024-02-28,8.7,20.0,17.2,8.5,28.1,3.9,,,,,2.5,
2024-02-28,8.5,20.0,15.5,7.5,28.1,3.9,1.5,4.3,,,2.4,3.0
2024-02-28,9.1,19.7,16.0,7.6,27.3,4.6,0.7,4.0,,,2.1,3.0
2024-02-22,8.3,18.3,17.0,7.9,28.2,3.5,1.8,3.3,,,2.2,3.6
2024-02-22,8.7,19.9,15.5,6.6,27.1,3.7,1.4,3.3,,,4.2,4.9
2024-02-21,8.0,19.5,18.0,7.0,27.5,3.5,,3.5,,,3.5,3.0
2024-02-01,9.4,19.6,16.2,6.8,29.1,3.0,1.5,3.8,,,2.4,2.6
2024-01-31,9.0,20.0,15.8,7.2,28.0,3.6,,3.8,,,2.0,2.7
2024-01-31,7.0,21.0,16.0,10.0,28.0,3.0,2.0,2.0,,,3.0,5.0
2024-01-27,9.0,19.3,16.1,6.6,28.6,3.8,1.3,4.2,,,2.5,3.1
2024-01-26,9.3,19.2,13.6,6.5,28.4,4.3,,3.7,,,2.6,2.9
2024-01-24,9.1,21.5,14.6,7.8,27.8,3.0,1.5,3.2,,,2.4,2.5
2024-01-22,8.4,19.5,17.8,7.5,28.5,3.4,,4.3,,,2.5,2.8
